Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MYP_M_R
52,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
53,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
54,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
55,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
56,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
57,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
58,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
59,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
63,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
65,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
66,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
67,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
68,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
69,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
72,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
73,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
74,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
75,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
76,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
77,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
78,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
81,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
82,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
84,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,NULL,Grassland
85,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
86,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
87,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
88,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
90,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
91,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
92,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
93,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
94,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
95,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
96,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
97,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
98,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
99,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
100,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
101,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
102,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
103,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
104,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
105,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Grassland
106,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
107,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
108,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
109,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Bareland
110,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
111,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
112,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
113,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Bareland
114,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
115,NULL,NULL,Wetland,Water,Wetland,Cropland,NULL,Grassland
116,NULL,NULL,Wetland,Water,Wetland,Cropland,Wetland,Water
117,NULL,NULL,Wetland,Water,Wetland,Cropland,Water,Water
118,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
119,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
120,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Bareland
121,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
122,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Bareland
123,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
124,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
125,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
126,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
127,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
128,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
129,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Bareland
130,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
131,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
132,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
133,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
134,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
135,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
136,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Forest,Grassland
137,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
138,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
139,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
140,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
141,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
142,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
143,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
144,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
145,NULL,NULL,Water,NULL,Water,Grassland,Forest,Grassland
146,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
147,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
148,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
149,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
150,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
151,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
153,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
154,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
155,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
156,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
157,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
158,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
159,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
161,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
162,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
163,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
164,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
165,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Bareland
166,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
167,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
168,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
169,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
170,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Bareland
171,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
172,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
173,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
174,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
175,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
176,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
177,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
178,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
179,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
180,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
181,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
182,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Water
183,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
184,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
185,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
186,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
187,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
188,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
190,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
191,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
192,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
193,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
194,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
195,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
196,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
197,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
198,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
199,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
200,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
201,NULL,Wetland,Wetland,Water,Wetland,Grassland,Water,Grassland
202,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
203,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
204,NULL,Bareland,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
205,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
206,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland,Water,Water
207,NULL,Bareland,Shrubland,Water,Non_Wetland,Cropland,NULL,Water
208,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
209,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
210,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland,Water,Water
211,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
212,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland,Wetland,Bareland
213,NULL,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
214,NULL,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Water
215,NULL,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Forest
216,NULL,Bareland,Wetland,Water,Wetland,Grassland,Water,Water
217,NULL,Bareland,Wetland,Water,Wetland,Cropland,NULL,Water
218,NULL,Bareland,Wetland,Water,Wetland,Cropland,Wetland,Water
219,NULL,Bareland,Wetland,Water,Wetland,Cropland,Water,Water
220,NULL,Bareland,Wetland,Water,Wetland,Wetland,NULL,Grassland
221,NULL,Bareland,Wetland,Water,Wetland,Wetland,NULL,Water
222,NULL,Bareland,Wetland,Water,Wetland,Wetland,Grassland,Water
223,NULL,Bareland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
224,NULL,Bareland,Wetland,Water,Wetland,Wetland,Wetland,Water
225,NULL,Bareland,Wetland,Water,Wetland,Wetland,Water,Bareland
226,NULL,Bareland,Wetland,Water,Wetland,Wetland,Water,Water
227,NULL,Bareland,Wetland,Water,Wetland,Water,Wetland,Grassland
228,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
229,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
230,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
231,NULL,Bareland,Water,Water,Water,Grassland,Water,Water
232,NULL,Bareland,Water,Water,Water,Wetland,Water,Water
233,NULL,Bareland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
234,NULL,Bareland,Forest,Water,Non_Wetland,Wetland,NULL,Grassland
235,NULL,Bareland,Forest,Water,Non_Wetland,Wetland,Water,Water
236,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
237,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
238,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
239,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
240,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
241,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
242,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
243,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Water,Forest
244,NULL,Water,NULL,NULL,Non_Wetland,Water,Grassland,Forest
245,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
246,NULL,Water,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
247,NULL,Water,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
248,NULL,Water,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
249,NULL,Water,NULL,Water,Non_Wetland,Grassland,Water,Grassland
250,NULL,Water,NULL,Water,Non_Wetland,Grassland,Water,Forest
251,NULL,Water,NULL,Water,Non_Wetland,Water,Wetland,Grassland
252,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
253,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
254,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
255,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
256,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
257,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
258,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
259,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland,Forest,Bareland
260,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
261,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
262,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
264,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Bareland
265,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
266,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
267,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Water
268,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
269,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
270,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
271,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Water
272,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
273,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
274,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
275,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
276,NULL,Water,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
277,NULL,Water,Grassland,Water,Non_Wetland,Water,Water,Water
278,NULL,Water,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
279,NULL,Water,Wetland,NULL,Wetland,Grassland,Grassland,Forest
280,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
281,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
282,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
283,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
284,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Water
285,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
286,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
287,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
288,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
289,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
290,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
291,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
292,NULL,Water,Wetland,Water,Wetland,Grassland,Grassland,Grassland
293,NULL,Water,Wetland,Water,Wetland,Grassland,Grassland,Water
294,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
295,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Wetland
296,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
297,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Forest
298,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
299,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Bareland
300,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
301,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Forest
302,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
303,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
304,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
305,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
306,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Bareland
307,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
308,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Forest
309,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
310,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
311,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Forest
312,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
313,NULL,Water,Wetland,Water,Wetland,Water,Water,Wetland
314,NULL,Water,Wetland,Water,Wetland,Water,Water,Bareland
315,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
316,NULL,Water,Wetland,Water,Wetland,Water,Water,Forest
317,NULL,Water,Water,NULL,Water,Grassland,Wetland,Forest
318,NULL,Water,Water,Water,Water,Grassland,Wetland,Grassland
319,NULL,Water,Water,Water,Water,Grassland,Water,Grassland
320,NULL,Water,Water,Water,Water,Grassland,Water,Bareland
321,NULL,Water,Water,Water,Water,Grassland,Water,Water
322,NULL,Water,Water,Water,Water,Water,Water,Water
323,NULL,Water,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
324,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
325,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
326,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
327,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
328,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
329,NULL,Water,Forest,NULL,Non_Wetland,Cropland,Grassland,Bareland
330,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,Bareland
331,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,Bareland
332,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
333,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
334,NULL,Water,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
335,NULL,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
336,NULL,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
337,NULL,Water,Forest,Water,Non_Wetland,Grassland,Water,Grassland
338,NULL,Water,Forest,Water,Non_Wetland,Grassland,Water,Forest
339,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
340,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Water
341,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
342,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
343,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
344,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
345,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
