Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LKQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LKQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LKQ_M_R
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
87,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Water
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
123,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
124,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
125,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
126,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
127,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
128,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
129,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
130,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
131,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
132,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
133,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
134,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Bareland
135,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Water
136,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Forest
137,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Water
138,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Grassland
139,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Bareland
140,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Water
141,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Forest,Grassland
142,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Forest,Bareland
143,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Forest,Water
144,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
145,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Water
146,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
147,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
148,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Bareland
149,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
150,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
151,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
152,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
153,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
154,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Bareland
155,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Water
156,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Forest
157,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
158,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
159,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
160,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
161,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
162,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Built-up
163,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
164,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
165,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
166,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
167,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
168,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
169,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
170,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
171,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
172,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
173,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Bareland
174,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Water
175,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
176,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
177,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Bareland
178,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
179,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Forest
180,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
181,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
182,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
183,NULL,NULL,NULL,Water,Non_Wetland,Water,Forest,Grassland
184,NULL,NULL,NULL,Water,Non_Wetland,Water,Forest,Bareland
185,NULL,NULL,NULL,Water,Non_Wetland,Water,Forest,Water
186,NULL,NULL,NULL,Water,Non_Wetland,Water,Forest,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,NULL
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Water
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Forest,Grassland
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Wetland
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Forest
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Bareland,Grassland
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Grassland
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
311,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
312,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
313,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest,Grassland
314,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
315,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Wetland
316,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Bareland
317,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Forest
318,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
320,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
321,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
322,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
323,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
324,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
325,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
326,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
327,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
