Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KXB_M_R
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
128,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
129,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
130,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
131,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Built-up
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Cropland
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Bareland
318,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
319,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
