Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NZH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NZH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NZH_M_R
50,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
53,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
55,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
56,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
57,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
60,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
61,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
65,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
66,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
69,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
70,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
71,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
72,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
73,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
74,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
76,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
78,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
80,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
81,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
82,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
84,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
85,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
87,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
88,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
89,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
90,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
91,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
92,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
93,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
94,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
95,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
97,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
98,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
99,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
100,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
103,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
106,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
109,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
110,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
112,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
113,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
114,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
115,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
116,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
117,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
118,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
119,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
120,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
121,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
122,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
123,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
124,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
125,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
126,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
127,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
128,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
129,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
130,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
131,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
132,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
133,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
134,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
135,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
136,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
137,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
138,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
139,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
140,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
141,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
142,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
143,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
144,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
145,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
146,Grassland,NULL,Water,Water,Water,NULL,NULL,Bareland
147,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
148,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
149,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
150,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
151,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
152,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
153,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
154,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
155,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
156,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
157,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
158,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
159,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
160,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
161,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
162,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
163,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
164,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
165,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
166,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
167,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
168,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
169,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
170,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
171,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
172,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
173,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
174,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
175,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
176,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
177,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
178,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
179,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
180,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
181,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
182,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
183,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
184,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
185,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
186,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
187,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
188,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
189,Grassland,Water,Water,NULL,Water,NULL,NULL,Bareland
190,Grassland,Water,Water,NULL,Water,NULL,NULL,Forest
191,Grassland,Water,Water,Water,Water,NULL,NULL,Forest
192,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
193,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
194,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
195,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
196,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
197,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
198,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
199,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
200,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
201,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
202,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
203,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
204,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
205,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
206,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
207,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
208,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
209,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
210,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
211,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
212,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
213,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
214,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
215,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
216,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
217,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
218,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
219,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
220,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
221,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
222,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
223,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
224,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
225,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
226,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
227,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
228,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
229,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
230,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
231,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
232,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
233,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
234,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
235,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
236,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
237,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
238,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
239,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
240,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
241,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
242,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
243,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
244,Wetland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
245,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
246,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
247,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
248,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
249,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
250,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
251,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
252,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
253,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
254,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
255,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
256,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
257,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
258,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
259,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
260,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Bareland
261,Bareland,Water,Water,Water,Water,NULL,NULL,Water
262,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
263,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
264,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
265,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
266,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
267,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
268,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
269,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
270,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
271,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
272,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
273,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
274,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
275,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
276,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
277,Water,NULL,Water,NULL,Water,NULL,NULL,Water
278,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
279,Water,NULL,Water,Water,Water,NULL,NULL,Water
280,Water,NULL,Water,Water,Water,NULL,NULL,Forest
281,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
282,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
283,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
284,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
285,Water,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
286,Water,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
287,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
288,Water,Wetland,Water,Water,Water,NULL,NULL,Wetland
289,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
290,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
291,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
292,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
293,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
294,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
295,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
296,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
297,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
298,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
299,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
300,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
301,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
302,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
303,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
304,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
305,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
306,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
307,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
308,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
309,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
310,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
311,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
312,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
313,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
314,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
315,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
316,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
317,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
318,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
319,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
320,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
321,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
322,Water,Water,Water,NULL,Water,NULL,NULL,Water
323,Water,Water,Water,NULL,Water,NULL,NULL,Forest
324,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
325,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
326,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
327,Water,Water,Water,Water,Water,NULL,NULL,Grassland
328,Water,Water,Water,Water,Water,NULL,NULL,Wetland
329,Water,Water,Water,Water,Water,NULL,NULL,Water
330,Water,Water,Water,Water,Water,NULL,NULL,Forest
331,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
332,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
333,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
334,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
335,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
336,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
337,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
338,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
339,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
340,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
341,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
342,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
343,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
344,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
345,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
346,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
347,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
