Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZN_M_R
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
94,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
96,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
97,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
98,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
99,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
100,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
101,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
102,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
103,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
104,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
105,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
106,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
107,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
108,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
109,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Bareland
110,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
111,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
112,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
113,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
114,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
115,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
116,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
117,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
118,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
119,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
120,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
122,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
123,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
124,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
127,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
128,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
129,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
138,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
140,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
141,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
144,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
148,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
150,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
152,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
154,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
155,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
156,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
157,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
158,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
159,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
160,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
161,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
162,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
163,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
164,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
165,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
166,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
167,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
168,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
169,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
170,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
171,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
172,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
173,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Bareland
174,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
175,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
176,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
177,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
178,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
179,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
180,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
181,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
182,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
183,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
184,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
185,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
186,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
187,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
188,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
189,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
190,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
191,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
192,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
193,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
194,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
195,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
196,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
197,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
198,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
199,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
200,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
201,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
202,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
203,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
204,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Bareland
205,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
206,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
207,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
208,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
209,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
210,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
211,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
212,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
213,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
214,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
215,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
216,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
217,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Bareland
218,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
219,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Forest
220,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
221,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
222,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
223,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Forest
224,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
225,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
226,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
227,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
228,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
229,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
230,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
231,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
232,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
233,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
234,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
235,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
236,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
237,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
238,NULL,NULL,Water,NULL,Water,Grassland,Forest,Forest
239,NULL,NULL,Water,Water,Water,Water,Water,Grassland
240,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
241,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
242,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
243,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
244,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
245,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
246,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
247,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
248,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
249,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
250,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
251,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
252,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
253,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
254,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
255,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
256,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
257,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
258,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
259,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
260,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
261,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
262,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
263,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
264,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
265,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
266,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
267,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
268,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
269,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
270,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
271,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
272,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
273,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
274,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
275,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
276,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
277,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
278,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
279,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
280,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
281,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
282,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
283,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
284,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
285,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
286,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
287,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
288,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
289,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
290,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
291,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
292,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
293,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
294,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
295,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
296,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
297,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
298,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
299,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
300,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
301,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
302,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
303,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Water
304,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
305,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Forest
306,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
307,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Forest
308,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
309,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Water
310,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
311,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
312,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
313,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
314,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
315,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
316,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
317,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
318,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
319,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
320,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
321,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
322,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
323,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
324,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
325,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
326,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
327,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
328,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
329,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
330,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
331,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
332,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
