Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NFB_M_R
91,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
92,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
93,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
94,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
96,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
97,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
98,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
99,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
100,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
101,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
102,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
103,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
104,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
105,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
106,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
107,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
108,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
109,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
110,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
111,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
112,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
113,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
114,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
115,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
116,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
117,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
118,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
119,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
120,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
121,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
122,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
123,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
124,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
125,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
126,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
127,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
128,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
129,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
130,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
131,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
132,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
133,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
134,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
135,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
136,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
137,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
138,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
139,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
140,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
141,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
142,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
143,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
144,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
145,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
146,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
147,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
148,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
149,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
150,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
151,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
152,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
153,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Bareland
154,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
155,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
156,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
157,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
158,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
159,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
160,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
161,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
162,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
163,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
164,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Forest
165,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
166,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
167,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
168,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
169,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
170,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
171,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
172,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Water
173,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
174,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
175,NULL,NULL,Water,NULL,Water,Wetland,Water,Wetland
176,NULL,NULL,Water,NULL,Water,Wetland,Water,Bareland
177,NULL,NULL,Water,NULL,Water,Wetland,Water,Water
178,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
179,NULL,NULL,Water,NULL,Water,Water,Wetland,Water
180,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
181,NULL,NULL,Water,NULL,Water,Water,Water,Wetland
182,NULL,NULL,Water,NULL,Water,Water,Water,Water
183,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
184,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
185,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
186,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Water
187,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Forest
188,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
189,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
190,NULL,NULL,Water,Water,Water,Grassland,Wetland,Wetland
191,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
192,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
193,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
194,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
195,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
196,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
197,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
198,NULL,NULL,Water,Water,Water,Wetland,Water,Water
199,NULL,NULL,Water,Water,Water,Wetland,Water,Forest
200,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
201,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
202,NULL,NULL,Water,Water,Water,Water,Wetland,Water
203,NULL,NULL,Water,Water,Water,Water,Water,Grassland
204,NULL,NULL,Water,Water,Water,Water,Water,Wetland
205,NULL,NULL,Water,Water,Water,Water,Water,Water
206,NULL,NULL,Water,Water,Water,Water,Water,Forest
207,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
208,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
209,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
210,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
211,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
212,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
213,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
214,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
215,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
216,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
217,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
218,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
219,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
220,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
221,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
222,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
223,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
224,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
225,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
226,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
227,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
228,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
229,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
230,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
231,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
232,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
233,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
234,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
235,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
236,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
237,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
238,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
239,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
240,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
241,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
242,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
243,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
244,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
245,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
246,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
247,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Water
248,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
249,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
250,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Water
251,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Water
252,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
253,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
254,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
255,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
256,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
257,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
258,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
259,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
260,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
261,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
262,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
263,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
264,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
265,NULL,Wetland,Wetland,Water,Wetland,Grassland,Water,Wetland
266,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
267,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
268,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
269,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
270,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
271,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
272,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
273,NULL,Wetland,Water,NULL,Water,Wetland,Water,Grassland
274,NULL,Wetland,Water,Non_Water,Water,Wetland,Water,Grassland
275,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
276,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
277,NULL,Wetland,Water,Water,Water,Wetland,Water,Grassland
278,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
279,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
280,NULL,Bareland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
281,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
282,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
283,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
284,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
285,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Built-up
286,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
287,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
288,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
289,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
290,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
291,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
294,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
298,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
299,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
300,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
301,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Bareland
302,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Built-up
303,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
304,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
305,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
306,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
307,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
308,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
309,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
310,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
311,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
312,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
313,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
314,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
315,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
316,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland,Water,Water
317,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
318,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
319,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
320,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
321,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
322,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
323,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
324,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
325,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
326,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
327,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
328,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
329,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
330,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Built-up
331,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
332,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
333,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
334,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
335,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
336,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Built-up
337,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
338,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
339,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
340,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
341,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
342,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
