Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LVP_M_R
4487,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
4488,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Water
4489,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
4490,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
4491,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
4492,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
4493,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Water,NULL
4494,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Water,Wetland
4495,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
4496,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,NULL
4497,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4498,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Wetland
4499,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Forest
4500,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
4501,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,NULL
4502,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4503,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
4504,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Wetland
4505,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
4506,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
4507,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Shrubland,Forest
4508,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Forest
4509,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
4510,Grassland,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,Grassland
4511,Grassland,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,Wetland
4512,Grassland,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,Water
4513,Grassland,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,NULL
4514,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
4515,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
4516,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
4517,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4518,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
4519,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
4520,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
4521,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
4522,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
4523,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4524,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
4525,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4526,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
4527,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
4528,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
4529,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
4530,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4531,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4532,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
4533,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4534,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
4535,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4536,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
4537,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
4538,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
4539,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
4540,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4541,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
4542,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
4543,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4544,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4545,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
4546,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
4547,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4548,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
4549,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4550,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
4551,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
4552,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
4553,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4554,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
4555,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
4556,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
4557,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
4558,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
4559,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
4560,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
4561,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
4562,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Water,Cropland
4563,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4564,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
4565,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
4566,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
4567,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4568,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
4569,Grassland,Cropland,NULL,Water,Non_Wetland,NULL,Water,Wetland
4570,Grassland,Cropland,NULL,Water,Non_Wetland,NULL,Water,Water
4571,Grassland,Cropland,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
4572,Grassland,Cropland,NULL,Water,Non_Wetland,Shrubland,Shrubland,Cropland
4573,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
4574,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland,Shrubland,Water
4575,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
4576,Grassland,Cropland,NULL,Water,Non_Wetland,Bareland,Water,Water
4577,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4578,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4579,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
4580,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
4581,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4582,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
4583,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
4584,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4585,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
4586,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
4587,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
4588,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
4589,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
4590,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
4591,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
4592,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4593,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
4594,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4595,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4596,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
4597,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4598,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
4599,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4600,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
4601,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4602,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
4603,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
4604,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Water,Cropland
4605,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
4606,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4607,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
4608,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
4609,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4610,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4611,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
4612,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4613,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4614,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
4615,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4616,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
4617,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
4618,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
4619,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4620,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
4621,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
4622,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
4623,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
4624,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
4625,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
4626,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
4627,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
4628,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
4629,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Cropland
4630,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Water,Cropland
4631,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
4632,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
4633,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
4634,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
4635,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
4636,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4637,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
4638,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Cropland
4639,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Cropland
4640,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Cropland
4641,Grassland,Cropland,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
4642,Grassland,Cropland,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Cropland
4643,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Cropland
4644,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Water
4645,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland,Water,Water
4646,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
4647,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
4648,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
4649,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4650,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4651,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4652,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
4653,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4654,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
4655,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
4656,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
4657,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
4658,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4659,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4660,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
4661,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Shrubland,NULL
4662,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
4663,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
4664,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
4665,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
4666,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
4667,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
4668,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
4669,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
4670,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4671,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
4672,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
4673,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
4674,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
4675,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
4676,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
4677,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
4678,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
4679,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
4680,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
4681,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4682,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
4683,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4684,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4685,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
4686,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
4687,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4688,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
4689,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4690,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
4691,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
4692,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4693,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
4694,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
4695,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
4696,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
4697,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
4698,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
4699,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4700,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4701,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
4702,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
4703,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4704,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4705,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
4706,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
4707,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
4708,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4709,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
4710,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
4711,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
4712,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Cropland
4713,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
4714,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
4715,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
4716,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
4717,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
4718,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4719,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
4720,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4721,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
4722,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
4723,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
4724,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
4725,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
4726,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
4727,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
4728,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
4729,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,NULL
4730,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4731,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
4732,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4733,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
4734,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,Water,Water
4735,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,Water,Wetland
4736,Grassland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Water,Wetland
4737,Grassland,Cropland,Wetland,Water,Wetland,NULL,Water,Water
4738,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
4739,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Water,NULL
4740,Grassland,Cropland,Bareland,Water,Non_Wetland,NULL,Water,Water
4741,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
4742,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
4743,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
4744,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
4745,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Water,Built-up
4746,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
4747,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
4748,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
4749,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
4750,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
4751,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
4752,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
4753,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
4754,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
4755,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
4756,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
4757,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
4758,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,Cropland
4759,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
4760,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
4761,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Cropland
4762,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
4763,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4764,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4765,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
4766,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4767,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
4768,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4769,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Cropland
4770,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
4771,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
4772,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Bareland,Cropland
4773,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Water,Cropland
4774,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
4775,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
4776,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
4777,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
4778,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4779,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4780,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
4781,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
4782,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
4783,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
4784,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
4785,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Cropland
4786,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
4787,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4788,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
4789,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up,Shrubland,NULL
4790,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
4791,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
4792,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
4793,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
