Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MQE_M_R
86,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
87,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
88,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,NULL
89,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
90,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
91,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,NULL
92,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
93,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
94,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,NULL
95,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
96,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
97,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
98,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
99,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,NULL
100,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
101,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,NULL
102,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
103,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
104,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
105,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
106,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
107,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
108,NULL,NULL,Water,NULL,Water,Wetland,Wetland,NULL
109,NULL,NULL,Water,NULL,Water,Wetland,Water,NULL
110,NULL,NULL,Water,NULL,Water,Bareland,Grassland,NULL
111,NULL,NULL,Water,NULL,Water,Bareland,Water,NULL
112,NULL,NULL,Water,NULL,Water,Water,Wetland,NULL
113,NULL,NULL,Water,NULL,Water,Water,Water,NULL
114,NULL,NULL,Water,NULL,Water,Water,Forest,NULL
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
116,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
117,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
118,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
119,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
120,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
121,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
122,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
123,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,NULL
124,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
125,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
126,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
127,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
128,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
129,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
130,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
131,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
132,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
133,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
134,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
135,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,NULL
136,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,NULL
137,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,NULL
138,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,NULL
139,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
140,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
141,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
142,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
143,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
144,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
145,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
146,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
147,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
148,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
149,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
152,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
153,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
154,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
155,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
156,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
157,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
158,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
159,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
160,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,NULL
161,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
162,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
163,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
164,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
165,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
166,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
167,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
168,NULL,Bareland,Wetland,NULL,Wetland,Wetland,Water,NULL
169,NULL,Bareland,Wetland,NULL,Wetland,Bareland,Wetland,NULL
170,NULL,Bareland,Wetland,NULL,Wetland,Water,Water,NULL
171,NULL,Bareland,Water,NULL,Water,Wetland,Water,NULL
172,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
173,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
174,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
175,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
176,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
177,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
178,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
179,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
180,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
181,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
182,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
183,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
184,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
185,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
186,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
187,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
188,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Grassland,NULL
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
210,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
211,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
212,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
213,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,NULL
214,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Built-up,NULL
215,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,NULL
216,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,NULL
217,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,NULL
218,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,NULL
219,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
220,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
221,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,NULL
222,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
223,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
224,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
225,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
226,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,NULL
227,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
228,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
229,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
230,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
231,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
232,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
233,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
234,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
235,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
236,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,NULL
237,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
238,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
239,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
240,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
241,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
242,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
243,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,NULL
244,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
245,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
246,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
247,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
248,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
249,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
250,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
251,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,NULL
252,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
253,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
254,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,NULL
255,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,NULL
256,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,NULL
257,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Forest,NULL
258,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
259,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,NULL
260,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
261,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
262,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
263,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
264,NULL,Water,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
265,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,NULL
266,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,NULL
267,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
268,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,NULL
269,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,NULL
270,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
271,NULL,Water,Wetland,NULL,Wetland,Water,Water,NULL
272,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
273,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
274,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Grassland,NULL
275,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
276,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
277,NULL,Water,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
278,NULL,Water,Built-up,NULL,Non_Wetland,Water,Forest,NULL
279,NULL,Water,Water,NULL,Water,Wetland,Wetland,NULL
280,NULL,Water,Water,NULL,Water,Wetland,Water,NULL
281,NULL,Water,Water,NULL,Water,Bareland,Water,NULL
282,NULL,Water,Water,NULL,Water,Water,Wetland,NULL
283,NULL,Water,Water,NULL,Water,Water,Water,NULL
284,NULL,Water,Water,NULL,Water,Water,Forest,NULL
285,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
286,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,NULL
287,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
288,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,NULL
289,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
290,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
291,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
292,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
293,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
294,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
295,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
296,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
297,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
298,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
299,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
300,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,NULL
301,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
302,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
303,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
304,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
305,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
306,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
307,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
308,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
309,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
310,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
311,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
312,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
313,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,NULL
314,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,NULL
315,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
316,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,NULL
317,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,NULL
318,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
319,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
320,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
321,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
322,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
323,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
324,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
325,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
326,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
327,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
328,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
329,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
330,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
331,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
332,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
333,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
334,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
