Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KQB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Water
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Water
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Bareland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Bareland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Bareland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
269,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
271,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
272,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
273,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
275,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
276,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
277,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
278,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
280,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Built-up,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
283,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
284,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
285,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
287,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Bareland
289,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
290,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
291,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
292,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
293,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
294,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
295,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,NULL
296,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
297,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Wetland
299,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,NULL
300,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
301,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
302,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
303,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,NULL
304,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Bareland
305,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
306,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,NULL
307,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
308,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
309,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Grassland
310,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Water
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
331,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
332,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
