Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KHC_M_R
4591,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
4592,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
4593,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
4594,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
4595,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
4596,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
4597,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4598,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
4599,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
4600,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4601,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4602,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
4603,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4604,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
4605,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4606,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
4607,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4608,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
4609,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
4610,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
4611,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
4612,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
4613,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
4614,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
4615,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
4616,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4617,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
4618,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
4619,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
4620,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4621,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4622,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
4623,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4624,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4625,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
4626,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
4627,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4628,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
4629,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
4630,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
4631,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
4632,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
4633,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
4634,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
4635,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
4636,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
4637,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
4638,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
4639,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
4640,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
4641,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
4642,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
4643,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
4644,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
4645,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4646,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
4647,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4648,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
4649,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
4650,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
4651,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
4652,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
4653,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
4654,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
4655,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
4656,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
4657,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
4658,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
4659,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4660,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
4661,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
4662,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
4663,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4664,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
4665,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
4666,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4667,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
4668,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
4669,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
4670,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
4671,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
4672,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
4673,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
4674,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
4675,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
4676,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
4677,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
4678,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
4679,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
4680,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
4681,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
4682,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
4683,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Wetland
4684,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
4685,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Water,Built-up
4686,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Water,Forest
4687,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
4688,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
4689,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
4690,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
4691,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
4692,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4693,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
4694,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
4695,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
4696,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
4697,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
4698,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
4699,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
4700,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4701,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
4702,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
4703,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
4704,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
4705,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Forest
4706,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
4707,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
4708,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
4709,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
4710,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
4711,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
4712,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
4713,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
4714,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
4715,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
4716,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
4717,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4718,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
4719,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland,NULL,NULL
4720,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
4721,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
4722,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
4723,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
4724,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
4725,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
4726,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
4727,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
4728,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
4729,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
4730,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
4731,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4732,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
4733,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
4734,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
4735,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
4736,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
4737,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
4738,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
4739,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
4740,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
4741,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
4742,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
4743,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
4744,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
4745,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
4746,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
4747,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
4748,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
4749,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4750,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
4751,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
4752,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4753,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4754,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4755,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
4756,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4757,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4758,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Wetland,NULL
4759,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,NULL
4760,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
4761,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
4762,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
4763,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
4764,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
4765,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
4766,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
4767,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4768,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
4769,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
4770,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4771,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4772,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
4773,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4774,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
4775,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
4776,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
4777,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
4778,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
4779,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
4780,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
4781,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
4782,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
4783,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
4784,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
4785,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
4786,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
4787,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
4788,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
4789,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
4790,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Shrubland,NULL
4791,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4792,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
4793,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
4794,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
4795,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
4796,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
4797,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
4798,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
4799,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
4800,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
4801,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
4802,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
4803,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
4804,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
4805,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
4806,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Wetland,Grassland
4807,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Wetland,Forest
4808,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
4809,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
4810,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
4811,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4812,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
4813,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
4814,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
4815,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Built-up
4816,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Forest
4817,NULL,Forest,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
4818,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest,Forest,Forest
4819,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
4820,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Grassland
4821,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
4822,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
4823,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
4824,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
4825,NULL,Forest,Wetland,NULL,Wetland,Water,NULL,Grassland
4826,NULL,Forest,Wetland,NULL,Wetland,Forest,NULL,Forest
4827,NULL,Forest,Wetland,NULL,Wetland,Forest,Wetland,NULL
4828,NULL,Forest,Wetland,NULL,Wetland,Forest,Wetland,Wetland
4829,NULL,Forest,Wetland,NULL,Wetland,Forest,Wetland,Water
4830,NULL,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
4831,NULL,Forest,Wetland,NULL,Wetland,Forest,Water,Forest
4832,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
4833,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
4834,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
4835,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
4836,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
4837,NULL,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Water
4838,NULL,Forest,Wetland,Non_Water,Wetland,Water,Water,Grassland
4839,NULL,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
4840,NULL,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Wetland
4841,NULL,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Water
4842,NULL,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
4843,NULL,Forest,Wetland,Water,Wetland,Water,NULL,Water
4844,NULL,Forest,Wetland,Water,Wetland,Water,Water,Water
4845,NULL,Forest,Wetland,Water,Wetland,Forest,Forest,Water
4846,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
4847,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
4848,NULL,Forest,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
4849,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest,Forest,Forest
4850,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
4851,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
4852,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
4853,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
4854,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Water
4855,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
4856,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Shrubland,NULL
4857,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
4858,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
4859,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Water,Forest
4860,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,NULL
4861,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,Forest
4862,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
4863,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
4864,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
4865,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
4866,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
4867,NULL,Forest,Built-up,NULL,Non_Wetland,Forest,NULL,Built-up
4868,NULL,Forest,Built-up,NULL,Non_Wetland,Forest,NULL,Forest
4869,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
4870,NULL,Forest,Water,Non_Water,Water,Forest,Wetland,Wetland
4871,NULL,Forest,Water,Water,Water,Water,Water,Water
4872,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
4873,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
4874,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
4875,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
4876,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
4877,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
4878,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
4879,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
4880,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
4881,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
4882,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
4883,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
4884,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
4885,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
4886,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
4887,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Water,Forest
4888,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,NULL
4889,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
4890,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
4891,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
4892,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
4893,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
4894,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
4895,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4896,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4897,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4898,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4899,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
4900,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
4901,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4902,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
4903,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
4904,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
4905,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
4906,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
4907,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
4908,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
4909,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
4910,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4911,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
4912,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
4913,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
4914,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
4915,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
4916,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
4917,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
