Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBT_M_R
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
118,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
119,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
120,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
121,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
124,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
126,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
128,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
130,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
137,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
138,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
139,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
143,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
153,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
156,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
159,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
163,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
167,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
171,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
176,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
177,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
178,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
179,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
180,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
181,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
182,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
183,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
184,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
185,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
186,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
187,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
188,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
189,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
191,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
192,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
193,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
194,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
195,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
196,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
197,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
198,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
200,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
201,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
202,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
203,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
204,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
205,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
206,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
207,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
208,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
209,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
210,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
211,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
212,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
213,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
214,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
215,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
216,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
217,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
218,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
219,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
220,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Grassland
221,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Wetland
222,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Forest
223,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
224,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
225,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
226,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
227,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
228,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
229,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
230,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
231,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
232,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
233,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
234,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
235,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
236,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
237,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
238,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
239,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
240,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
241,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Wetland
242,NULL,NULL,Water,NULL,Water,Water,Grassland,Forest
243,NULL,NULL,Water,NULL,Water,Water,Wetland,Wetland
244,NULL,NULL,Water,NULL,Water,Water,Forest,Wetland
245,NULL,NULL,Water,Non_Water,Water,Water,Forest,Grassland
246,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
248,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
249,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
250,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
251,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
252,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
253,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
254,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
255,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
256,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
257,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
258,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
259,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
260,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
261,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
262,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
264,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
265,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
266,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
267,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
268,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
269,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
270,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
271,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
272,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
273,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
274,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
275,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
276,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
277,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
278,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
279,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
280,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
281,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
282,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
283,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
284,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
285,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
286,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
287,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
288,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
289,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
290,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
291,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
292,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Wetland
293,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
294,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
295,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
296,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
297,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
298,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
299,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
300,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
301,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
302,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
303,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
304,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
305,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
306,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
307,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
308,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
309,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
310,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
311,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
312,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
313,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
314,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
315,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
316,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
317,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Grassland,Grassland
318,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
319,NULL,NULL,Forest,Water,Non_Wetland,Water,Grassland,Forest
320,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
321,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
322,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
323,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
324,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
325,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
326,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
327,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
328,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
329,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
