Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXA_M_R
61,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
71,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
72,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
73,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
74,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
75,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
76,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
77,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
78,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
79,NULL,NULL,Water,Water,Water,NULL,NULL,Water
80,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
81,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
83,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
85,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
86,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
87,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
88,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
89,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
91,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
100,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
101,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
102,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
104,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
105,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
109,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
111,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
112,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
113,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
114,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
117,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
118,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
119,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
120,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
121,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
122,NULL,Cropland,Water,NULL,Water,NULL,NULL,Built-up
123,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
124,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
125,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
126,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
127,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
128,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
130,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
133,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
135,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
137,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Forest
138,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
139,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
140,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
141,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
142,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
143,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
144,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
145,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
146,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
147,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
149,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
151,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
152,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
153,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
154,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
155,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
156,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
157,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
158,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
159,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
160,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
161,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
163,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
165,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
167,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
169,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
170,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
171,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
172,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
173,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
174,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
175,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
177,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
178,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
180,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
182,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
183,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
185,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
188,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
189,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
190,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
192,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
193,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
194,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
195,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
196,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
197,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
205,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
206,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
207,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
208,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
209,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
210,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
211,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
212,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
213,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
214,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
216,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
217,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
218,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
219,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
220,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
221,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
222,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
223,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
224,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
225,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
226,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
227,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
229,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
230,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
231,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
232,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
233,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
234,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
235,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
236,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
237,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
238,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
239,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
240,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
241,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
242,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Built-up
243,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
244,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
245,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
247,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
248,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
249,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
250,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
251,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
252,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
253,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
254,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
255,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
256,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
257,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
259,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
260,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
261,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
262,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
263,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
264,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
265,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
266,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
267,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
268,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
269,NULL,Built-up,Water,NULL,Water,NULL,NULL,Wetland
270,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
271,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
272,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
273,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
274,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
275,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Bareland
276,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Built-up
277,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Water
278,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
279,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
280,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
281,NULL,Built-up,Water,Water,Water,NULL,NULL,Built-up
282,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
283,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
284,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
285,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
286,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
287,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
288,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
289,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
290,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
291,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
292,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
293,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Built-up
294,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
295,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
296,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
297,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
298,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
299,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
300,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
301,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
302,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
303,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
304,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
305,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
306,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
307,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
308,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
309,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
310,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
311,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
312,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
313,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
314,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
315,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
316,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
317,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
318,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
319,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
320,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
321,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
322,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
323,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
324,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
325,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
326,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
327,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
328,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
329,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
330,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
331,NULL,Water,Water,NULL,Water,NULL,NULL,Built-up
332,NULL,Water,Water,NULL,Water,NULL,NULL,Water
333,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
334,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
335,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
336,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
337,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
338,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
339,NULL,Water,Water,Water,Water,NULL,NULL,Water
340,NULL,Water,Water,Water,Water,NULL,NULL,Forest
341,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
342,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
343,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
344,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
345,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
346,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
