Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NYC_M_R
47,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
49,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
53,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
55,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
56,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
57,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
58,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
61,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
62,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
63,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
64,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
65,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
66,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
67,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
68,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
69,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
70,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
71,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
72,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Water
73,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
74,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
75,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
76,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Water
77,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
78,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
79,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
80,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
81,NULL,Water,Wetland,Water,Wetland,Shrubland,Water,Forest
82,NULL,Water,Water,NULL,Water,NULL,NULL,Water
83,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
84,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
85,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
86,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
87,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
88,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
89,NULL,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
90,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
91,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
92,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
94,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
95,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
96,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
97,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
98,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
99,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
100,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
101,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
102,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
103,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
104,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
105,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
106,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
107,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
108,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
109,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
110,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
111,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
112,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
113,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
114,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
115,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
116,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
118,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
119,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
120,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
121,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
122,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
123,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
124,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
125,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
126,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
127,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
128,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
129,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
130,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
131,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
132,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
133,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
134,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
135,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
136,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
137,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
138,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
139,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
140,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
141,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
142,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
143,NULL,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
144,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
145,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
146,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
147,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
148,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
149,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
150,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
151,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
152,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
153,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
154,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
155,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
156,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
157,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
158,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
159,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
160,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
161,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
162,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
163,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
164,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
165,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
166,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
167,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
168,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
169,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
170,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
171,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
172,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
173,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
174,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
175,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
176,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
177,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
178,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
179,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
180,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
181,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
182,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
183,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
184,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
185,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
186,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
187,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
188,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
189,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
190,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
191,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
192,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
193,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
194,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
195,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
196,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
197,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
198,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
199,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
200,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
201,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
202,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
203,Cropland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
204,Cropland,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
205,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
206,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
207,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
208,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
209,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
210,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
211,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
212,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
213,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
214,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
215,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
216,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
217,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
218,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
219,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
220,Cropland,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
221,Cropland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
222,Cropland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
223,Cropland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
224,Cropland,Water,Wetland,NULL,Wetland,Water,Water,Forest
225,Cropland,Water,Wetland,NULL,Wetland,Water,Forest,Water
226,Cropland,Water,Wetland,NULL,Wetland,Water,Forest,Forest
227,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
228,Cropland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
229,Cropland,Water,Water,NULL,Water,Water,Water,Water
230,Cropland,Water,Water,Non_Water,Water,Water,Water,Forest
231,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
232,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
233,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
234,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
235,Cropland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Bareland
236,Cropland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
237,Cropland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
238,Cropland,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
239,Cropland,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
240,Cropland,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
241,Cropland,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
242,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
243,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
244,Cropland,Forest,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
245,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
246,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
247,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
248,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
249,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
250,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
251,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
252,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
253,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
254,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
255,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
256,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
257,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
258,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
259,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
260,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
261,Cropland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
262,Cropland,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
263,Cropland,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
264,Cropland,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
265,Cropland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
266,Cropland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
267,Cropland,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
268,Cropland,Forest,Wetland,NULL,Wetland,Water,Forest,Water
269,Cropland,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
270,Cropland,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
271,Cropland,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
272,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
273,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
274,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
275,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
276,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
277,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Water,Forest
278,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Water
279,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
280,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
281,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
282,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
283,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
284,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
285,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
286,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
287,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
288,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
289,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
290,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
291,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Water
292,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
293,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
294,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
295,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
296,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
297,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
298,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Water
299,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
300,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
301,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
302,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
303,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
304,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
305,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
306,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
307,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
308,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
309,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
310,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
311,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
312,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
313,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
314,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
315,Wetland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
316,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
317,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
318,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
319,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
320,Wetland,NULL,Water,Non_Water,Water,Water,Wetland,Water
321,Wetland,NULL,Water,Water,Water,Water,Wetland,Water
322,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
323,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
324,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
325,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
326,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
327,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
328,Wetland,Water,Water,Non_Water,Water,Water,Wetland,Water
329,Wetland,Water,Water,Water,Water,Water,Wetland,Water
330,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
331,Wetland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
332,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
333,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
