Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MRS_M_R
11675,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
11676,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
11677,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
11678,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
11679,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
11680,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
11681,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Water,Forest
11682,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
11683,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
11684,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Wetland
11685,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
11686,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
11687,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
11688,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
11689,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
11690,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
11691,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
11692,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Wetland,NULL
11693,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
11694,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
11695,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
11696,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Water,Forest
11697,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
11698,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
11699,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
11700,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
11701,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
11702,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
11703,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
11704,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
11705,Grassland,Wetland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
11706,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
11707,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
11708,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
11709,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
11710,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Cropland
11711,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
11712,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
11713,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
11714,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
11715,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
11716,Grassland,Wetland,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
11717,Grassland,Wetland,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
11718,Grassland,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
11719,Grassland,Wetland,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
11720,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
11721,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
11722,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest,Wetland,Grassland
11723,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
11724,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest,Forest,Wetland
11725,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
11726,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
11727,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
11728,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Water,Cropland
11729,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
11730,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
11731,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
11732,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
11733,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
11734,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
11735,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
11736,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
11737,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
11738,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
11739,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
11740,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
11741,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Water,Forest
11742,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
11743,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
11744,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
11745,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
11746,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
11747,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
11748,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
11749,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
11750,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
11751,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
11752,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
11753,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
11754,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
11755,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
11756,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
11757,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
11758,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
11759,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Forest,Shrubland,Forest
11760,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
11761,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Forest,Wetland,Grassland
11762,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Forest,Wetland,Wetland
11763,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Forest,Water,Grassland
11764,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,Grassland,Cropland
11765,Grassland,Wetland,Grassland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
11766,Grassland,Wetland,Grassland,Water,Non_Wetland,Shrubland,Grassland,Grassland
11767,Grassland,Wetland,Grassland,Water,Non_Wetland,Shrubland,Grassland,Cropland
11768,Grassland,Wetland,Grassland,Water,Non_Wetland,Shrubland,Wetland,Grassland
11769,Grassland,Wetland,Grassland,Water,Non_Wetland,Shrubland,Wetland,Wetland
11770,Grassland,Wetland,Grassland,Water,Non_Wetland,Shrubland,Water,Grassland
11771,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
11772,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
11773,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland,Wetland,Wetland
11774,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Shrubland,Cropland
11775,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
11776,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Cropland
11777,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
11778,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
11779,Grassland,Wetland,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
11780,Grassland,Wetland,Grassland,Water,Non_Wetland,Water,Wetland,Cropland
11781,Grassland,Wetland,Grassland,Water,Non_Wetland,Forest,Wetland,Grassland
11782,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
11783,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
11784,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
11785,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
11786,Grassland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
11787,Grassland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
11788,Grassland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
11789,Grassland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
11790,Grassland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
11791,Grassland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
11792,Grassland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
11793,Grassland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
11794,Grassland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
11795,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
11796,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
11797,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
11798,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
11799,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
11800,Grassland,Wetland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
11801,Grassland,Wetland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
11802,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
11803,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Shrubland,NULL
11804,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
11805,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
11806,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
11807,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
11808,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
11809,Grassland,Wetland,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
11810,Grassland,Wetland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
11811,Grassland,Wetland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
11812,Grassland,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
11813,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest,Wetland,Grassland
11814,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
11815,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
11816,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
11817,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
11818,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
11819,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
11820,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
11821,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
11822,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
11823,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
11824,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
11825,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
11826,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
11827,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland,Water,Wetland
11828,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
11829,Grassland,Wetland,Cropland,Water,Non_Wetland,NULL,Bareland,Grassland
11830,Grassland,Wetland,Cropland,Water,Non_Wetland,Shrubland,Water,Grassland
11831,Grassland,Wetland,Cropland,Water,Non_Wetland,Grassland,Shrubland,Grassland
11832,Grassland,Wetland,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
11833,Grassland,Wetland,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
11834,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
11835,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland,Wetland,Cropland
11836,Grassland,Wetland,Cropland,Water,Non_Wetland,Bareland,Water,Wetland
11837,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
11838,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Grassland,Grassland
11839,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
11840,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
11841,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
11842,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
11843,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
11844,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
11845,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
11846,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
11847,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
11848,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Bareland,Grassland
11849,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Water,Grassland
11850,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
11851,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Cropland
11852,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
11853,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
11854,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Cropland
11855,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Water,Wetland
11856,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Water,Water
11857,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Forest,Grassland
11858,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
11859,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
11860,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
11861,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
11862,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
11863,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
11864,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Cropland
11865,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
11866,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
11867,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
11868,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
11869,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
11870,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
11871,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Forest,NULL
11872,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Grassland
11873,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Cropland
11874,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Wetland
11875,Grassland,Wetland,Wetland,NULL,Wetland,Bareland,NULL,Grassland
11876,Grassland,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Wetland
11877,Grassland,Wetland,Wetland,NULL,Wetland,Water,Bareland,Wetland
11878,Grassland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
11879,Grassland,Wetland,Wetland,NULL,Wetland,Forest,Shrubland,Wetland
11880,Grassland,Wetland,Wetland,NULL,Wetland,Forest,Wetland,NULL
11881,Grassland,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Grassland
11882,Grassland,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Wetland
11883,Grassland,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Forest
11884,Grassland,Wetland,Wetland,NULL,Wetland,Forest,Forest,Wetland
11885,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
11886,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland,Grassland
11887,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,Bareland,Grassland
11888,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,NULL,NULL
11889,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,NULL,Grassland
11890,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,NULL,Wetland
11891,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,NULL,Forest
11892,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Grassland
11893,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
11894,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Forest
11895,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
11896,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Wetland,NULL
11897,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
11898,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
11899,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Water,Water
11900,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Forest,Grassland
11901,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Forest,Forest
11902,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Shrubland,Grassland
11903,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
11904,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Cropland
11905,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
11906,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
11907,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Shrubland,Grassland
11908,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Shrubland,Wetland
11909,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Shrubland,Water
11910,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
11911,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
11912,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Cropland
11913,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
11914,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
11915,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
11916,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Bareland,Grassland
11917,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
11918,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Cropland
11919,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
11920,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
11921,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
11922,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Forest,Wetland
11923,Grassland,Wetland,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
11924,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Shrubland,Wetland
11925,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Shrubland,Water
11926,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Cropland
11927,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Cropland
11928,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
11929,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
11930,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Forest,Wetland
11931,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Forest,Forest
11932,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest,Shrubland,Grassland
11933,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest,Shrubland,Forest
11934,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest,Wetland,Grassland
11935,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest,Wetland,Wetland
11936,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest,Water,Grassland
11937,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest,Water,Cropland
11938,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest,Water,Wetland
11939,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest,Forest,Grassland
11940,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest,Forest,Cropland
11941,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest,Forest,Wetland
11942,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest,Forest,Water
11943,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest,Forest,Forest
11944,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,NULL,Grassland
11945,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,Shrubland,Grassland
11946,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,Shrubland,Wetland
11947,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,Grassland,Grassland
11948,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,Grassland,Cropland
11949,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,Grassland,Wetland
11950,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,Wetland,Grassland
11951,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,Wetland,Wetland
11952,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,Water,Grassland
11953,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,Water,Cropland
11954,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,Water,Wetland
11955,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Shrubland,Grassland
11956,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Grassland,Grassland
11957,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
11958,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Water,Grassland
11959,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Shrubland,Wetland
11960,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Grassland,Grassland
11961,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
11962,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Cropland
11963,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
11964,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
11965,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
11966,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
11967,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Cropland
11968,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
11969,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
11970,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Forest,Wetland
11971,Grassland,Wetland,Wetland,Water,Wetland,Bareland,Water,Wetland
11972,Grassland,Wetland,Wetland,Water,Wetland,Water,Shrubland,Wetland
11973,Grassland,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
11974,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
11975,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
11976,Grassland,Wetland,Wetland,Water,Wetland,Forest,Grassland,Grassland
11977,Grassland,Wetland,Wetland,Water,Wetland,Forest,Wetland,Grassland
11978,Grassland,Wetland,Wetland,Water,Wetland,Forest,Water,Wetland
11979,Grassland,Wetland,Wetland,Water,Wetland,Forest,Forest,Forest
11980,Grassland,Wetland,Bareland,NULL,Non_Wetland,Shrubland,NULL,Grassland
11981,Grassland,Wetland,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
11982,Grassland,Wetland,Bareland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
11983,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
11984,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
11985,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
11986,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
11987,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
11988,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
