Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFM_M_R
91,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
92,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
93,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
94,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
95,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
96,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
97,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
98,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
99,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
100,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
101,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
102,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
103,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
104,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Water
105,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
106,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Bareland,Grassland
107,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Bareland,Forest
108,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Water,Water
109,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
110,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Water
111,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
112,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
113,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
114,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
115,NULL,NULL,Cropland,Water,Non_Wetland,Water,Bareland,Grassland
116,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Water
117,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Forest
118,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
119,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
120,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
121,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
122,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
123,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
124,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
125,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
126,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
127,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
128,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
129,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
130,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
131,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
132,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
133,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
134,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
135,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
136,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
137,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
138,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
139,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
140,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
141,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
142,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
143,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
144,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
145,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
146,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
147,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
148,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Water
149,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
150,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
151,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
152,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
153,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
154,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
155,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
156,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
157,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
158,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
159,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
160,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
161,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
162,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
163,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
164,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
165,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Built-up
166,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
167,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
168,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
169,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
170,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Water
171,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Water
172,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
173,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
174,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
175,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
176,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
177,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Water
178,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
179,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
180,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
181,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
182,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
183,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
184,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Water
185,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
186,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Grassland,Grassland
187,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
188,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
189,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Water
190,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
191,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Grassland
192,NULL,NULL,Water,Water,Water,Grassland,Wetland,Water
193,NULL,NULL,Water,Water,Water,Grassland,Bareland,Grassland
194,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
195,NULL,NULL,Water,Water,Water,Grassland,Water,Water
196,NULL,NULL,Water,Water,Water,Wetland,Grassland,Grassland
197,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
198,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
199,NULL,NULL,Water,Water,Water,Wetland,Water,Water
200,NULL,NULL,Water,Water,Water,Bareland,Wetland,Water
201,NULL,NULL,Water,Water,Water,Bareland,Water,Water
202,NULL,NULL,Water,Water,Water,Water,Water,Grassland
203,NULL,NULL,Water,Water,Water,Water,Water,Water
204,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
205,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
206,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
207,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
208,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
209,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
210,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
211,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
212,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
213,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
214,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
215,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
216,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
217,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
218,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
219,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
220,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
221,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
222,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
223,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
224,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
225,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
226,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
227,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
228,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
229,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
230,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
231,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
232,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
233,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
234,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
235,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
236,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
237,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
238,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
239,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
240,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
241,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
242,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
243,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Forest
244,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Forest
245,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
246,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
247,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
248,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Water
249,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
250,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
251,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
252,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Grassland,Grassland
253,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
254,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
255,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
256,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
257,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
258,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
259,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
260,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
261,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
262,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Forest
263,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
264,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
265,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
266,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
267,NULL,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Water
268,NULL,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
269,NULL,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
270,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
271,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
272,NULL,Bareland,Water,Water,Water,Bareland,Water,Water
273,NULL,Bareland,Water,Water,Water,Water,Wetland,Water
274,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
275,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
276,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
277,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
278,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
279,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
280,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
281,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
282,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
283,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
284,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
285,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
286,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
287,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
288,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Grassland,Forest
289,NULL,Built-up,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
290,NULL,Built-up,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
291,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
292,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
293,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
294,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
295,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
296,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
297,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
298,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
299,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
300,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
301,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
302,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
303,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
304,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
305,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
306,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
307,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
308,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
309,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
310,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Bareland,Forest
311,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
312,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
313,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
314,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
315,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
316,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
317,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
318,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
319,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Water,Forest
320,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
321,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
322,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
323,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Wetland,Bareland,Forest
324,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
325,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
326,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
327,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
328,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
329,NULL,Built-up,Cropland,Water,Non_Wetland,Wetland,Bareland,Water
330,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
331,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
332,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Bareland,Forest
333,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Water,Water
334,NULL,Built-up,Cropland,Water,Non_Wetland,Water,Water,Water
335,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Forest
336,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Water,Forest
