Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NHB_M_R
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
52,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
53,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Bareland
54,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
55,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
56,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
57,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
58,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
60,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
61,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
62,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
63,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
64,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
65,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
66,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
67,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
70,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
71,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
72,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
75,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
77,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
78,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
79,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
80,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
81,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
82,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
83,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
84,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
87,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
88,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
91,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
92,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
93,NULL,Forest,Wetland,NULL,Wetland,Grassland,NULL,Grassland
94,NULL,Forest,Wetland,NULL,Wetland,Grassland,NULL,Forest
95,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
96,NULL,Forest,Water,NULL,Water,Grassland,NULL,Forest
97,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
98,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
99,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
100,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
102,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
103,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
104,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
105,NULL,Forest,Forest,NULL,Non_Wetland,Water,NULL,Grassland
106,NULL,Forest,Forest,NULL,Non_Wetland,Water,NULL,Forest
107,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,NULL
108,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
109,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
110,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
111,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
112,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
113,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
114,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
115,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
116,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
117,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
118,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
119,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
120,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
121,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
122,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
123,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
124,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
125,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
126,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
127,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
128,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
129,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
130,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
131,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
132,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
133,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
134,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
135,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
136,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
137,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
138,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
139,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
140,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
141,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
142,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
143,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
144,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
145,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
146,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
147,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
148,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
149,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
150,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
151,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
152,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
153,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
154,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
155,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
156,Grassland,Forest,Wetland,NULL,Wetland,Grassland,NULL,Forest
157,Grassland,Forest,Water,NULL,Water,Grassland,NULL,Forest
158,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
159,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
160,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
161,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
162,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
163,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
164,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
165,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
166,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
167,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
168,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
169,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
170,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
171,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
172,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
173,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
174,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
175,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
176,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
177,Cropland,NULL,Water,NULL,Water,Grassland,NULL,Forest
178,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
179,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
180,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
181,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
182,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
183,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
184,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
185,Cropland,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
186,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
187,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
188,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
189,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
190,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
191,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
192,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
193,Cropland,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
194,Cropland,Forest,Water,NULL,Water,NULL,NULL,Grassland
195,Cropland,Forest,Water,NULL,Water,NULL,NULL,Forest
196,Cropland,Forest,Water,NULL,Water,Grassland,NULL,Forest
197,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
198,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
199,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
200,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
201,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
202,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
203,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
204,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
205,Cropland,Forest,Forest,NULL,Non_Wetland,Water,NULL,Forest
206,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
207,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
208,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
209,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
210,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
211,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
212,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
213,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
214,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
215,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
216,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
217,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
218,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
219,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
220,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
221,Wetland,Water,Water,Water,Water,NULL,NULL,Water
222,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
223,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
224,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
225,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
226,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
227,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
228,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
229,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
230,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
231,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
232,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
233,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
234,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
235,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
236,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
237,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
238,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
239,Bareland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
240,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
241,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
242,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
243,Bareland,NULL,Water,NULL,Water,NULL,NULL,Forest
244,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
245,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
246,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
247,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
248,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
249,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
250,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
251,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
252,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
253,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
254,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
255,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
256,Bareland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
257,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
258,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
259,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
260,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
261,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
262,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
263,Bareland,Forest,Water,NULL,Water,NULL,NULL,Grassland
264,Bareland,Forest,Water,NULL,Water,NULL,NULL,Forest
265,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
266,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
267,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
268,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
269,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
270,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
271,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
272,Bareland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
273,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
274,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
275,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
276,Water,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
277,Water,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
278,Water,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
279,Water,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
280,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
281,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
282,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
283,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
284,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
285,Water,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
286,Water,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
287,Water,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
288,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
289,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
290,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
291,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
292,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
293,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
294,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
295,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
296,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
297,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
298,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
299,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
300,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
301,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
302,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
303,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
304,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
305,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
306,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
307,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
308,Water,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
309,Water,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
310,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
311,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
312,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Bareland
313,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
314,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Bareland
315,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
316,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
317,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
318,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
319,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
320,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
321,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
322,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
323,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
324,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
325,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
326,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
327,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Water
328,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
329,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
330,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
331,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
332,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
333,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
334,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
335,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
336,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
337,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
338,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Bareland
339,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
340,Water,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
