Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCT_M_R
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Bareland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
106,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
107,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Forest
108,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
109,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
110,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
111,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
112,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
113,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
114,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
115,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
116,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
117,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
246,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Grassland
247,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
248,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
249,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
251,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Forest
252,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Built-up,Grassland
253,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
254,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
255,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
256,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
257,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
258,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
259,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
260,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
261,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
262,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
263,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
264,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
265,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
266,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
267,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Bareland
268,NULL,NULL,Shrubland,Water,Non_Wetland,Forest,Grassland,Forest
269,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
270,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
271,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
273,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
275,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
279,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
282,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
285,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
287,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
292,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
295,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
296,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
301,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
302,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
303,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
306,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Cropland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
309,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
310,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
311,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
313,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
315,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
316,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
318,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
319,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
322,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
