Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZR_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
61,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
63,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
64,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Wetland,Grassland
65,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Water,Water
66,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Water
67,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
68,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
69,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
70,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
71,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
72,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
73,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
74,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
75,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
174,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
175,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Bareland
176,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
177,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
178,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
179,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
180,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
181,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Bareland
182,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Water
183,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
184,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Water
185,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
186,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
187,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
188,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
189,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
190,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
191,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
192,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Water
193,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
194,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
195,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
196,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
197,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
198,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
199,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
220,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
223,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Built-up
225,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Built-up
229,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
233,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
235,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
238,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
239,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Built-up
242,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
245,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
248,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
249,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
252,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
253,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
257,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
261,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
262,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
264,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
266,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
267,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
269,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
270,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
272,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
273,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
279,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
282,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
284,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
285,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
286,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
287,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
288,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
289,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
290,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
291,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
292,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
293,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
294,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
295,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
296,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
297,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
298,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
299,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Water
300,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
301,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
302,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,NULL,Grassland
303,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
306,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
307,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
308,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
309,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
310,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
311,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
312,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
313,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
314,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Water
315,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
316,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
317,NULL,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Grassland
318,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
319,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
320,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Water
321,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
322,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
323,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
324,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Built-up
325,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
326,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
