Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTR_M_R
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
163,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
179,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
180,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
181,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
182,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
183,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
184,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
185,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
186,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
187,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
188,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
189,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
190,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
191,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
192,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
193,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Forest
194,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
195,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
196,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
197,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
198,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
199,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
200,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
201,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
202,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
205,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
221,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
223,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
227,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
229,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
232,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
234,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
236,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
239,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
241,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
246,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
247,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
249,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
250,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
251,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
252,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
253,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
254,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
255,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
256,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
257,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
258,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
259,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Forest
260,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
261,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Bareland,Grassland
262,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
263,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
264,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Forest
265,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
267,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
268,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
269,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
270,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
271,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
272,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
273,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
274,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
275,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
276,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
277,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
278,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
279,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
280,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
281,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
282,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
283,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
284,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
285,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
286,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
287,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
288,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
289,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
290,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
291,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
292,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
293,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
294,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
295,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
296,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
297,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
298,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
299,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
300,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
301,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
302,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
303,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
304,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
305,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
306,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
307,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
308,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
309,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
310,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
311,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
312,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
313,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
314,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
315,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
316,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
317,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
318,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
319,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
320,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
321,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
322,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
323,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
324,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
325,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
326,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
327,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
328,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
329,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
330,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
