Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KRQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KRQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KRQ_M_R
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
62,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Bareland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Built-up
73,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Built-up
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Wetland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
102,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
103,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
104,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
105,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
106,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
107,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
108,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
109,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Bareland
110,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
111,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Wetland
112,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
113,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
119,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Wetland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Wetland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Wetland
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Wetland
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Built-up,Grassland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Built-up,Wetland
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,NULL
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Wetland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Wetland
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Bareland
226,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
227,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
228,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
229,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
230,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Wetland
231,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland,Grassland
232,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland,Wetland
233,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
234,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Wetland
235,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Bareland
236,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Water
237,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Wetland
238,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Wetland
241,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
242,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Wetland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Bareland
244,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,NULL
245,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Cropland
247,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
248,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Bareland
249,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Wetland
251,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
252,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
253,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
254,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
255,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
256,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
257,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
258,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
259,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
260,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
262,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
263,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
264,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
265,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
266,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
268,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Wetland
269,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
270,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
271,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
272,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
276,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
277,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
282,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
283,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
287,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
290,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
294,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Wetland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
298,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
299,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Wetland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
302,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
306,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
307,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,NULL
308,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
309,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
310,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
311,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
313,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
315,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
316,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
317,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Cropland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
