Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBT_M_R
83,NULL,Forest,Water,Water,Water,NULL,NULL,Water
84,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
85,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
86,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
87,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
88,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
89,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
90,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
91,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
92,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
94,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
95,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
96,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
97,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
98,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
99,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
100,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
101,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
102,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
103,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
104,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
105,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
106,Grassland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
107,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
108,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
109,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
110,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
111,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
112,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
113,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
114,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
115,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
116,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
117,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
118,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
119,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
120,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
121,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
122,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
123,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
124,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
125,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
126,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
127,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
128,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
129,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
130,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
131,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
132,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
133,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
134,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
135,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
136,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
137,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
138,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
139,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
140,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
141,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
142,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
143,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
144,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
145,Cropland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
146,Cropland,Bareland,Water,Water,Water,NULL,NULL,Water
147,Cropland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
148,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
149,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
150,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
151,Cropland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
152,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Water
153,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Forest
154,Cropland,Water,Water,Water,Water,NULL,NULL,Water
155,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
156,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
157,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
158,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
159,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
160,Cropland,Forest,Water,Water,Water,NULL,NULL,Water
161,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
162,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
163,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
164,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
165,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
166,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
167,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
168,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
169,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
170,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
171,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
172,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
173,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
174,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
175,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
176,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
177,Wetland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
178,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
179,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Water
180,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
181,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
182,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
184,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
185,Wetland,Water,Water,Water,Water,NULL,NULL,Water
186,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
187,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
188,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
189,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
190,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
191,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
192,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
193,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
194,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
195,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
196,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
197,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
198,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
199,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
200,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
201,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
202,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
203,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
204,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
205,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
206,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
207,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
208,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
209,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
210,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
211,Bareland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
212,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
213,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
214,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
215,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
216,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
217,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
218,Bareland,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
219,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
220,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
221,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
222,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
223,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
224,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
225,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
226,Bareland,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
227,Bareland,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
228,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
229,Bareland,Water,Water,Water,Water,NULL,NULL,Water
230,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
231,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
232,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
233,Bareland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
234,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
235,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
236,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
237,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
238,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
239,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
240,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
241,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
242,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
243,Water,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
244,Water,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
245,Water,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
246,Water,NULL,Water,Non_Water,Water,NULL,NULL,Water
247,Water,NULL,Water,Water,Water,NULL,NULL,Water
248,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
249,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
250,Water,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
251,Water,Wetland,Water,Water,Water,NULL,NULL,Water
252,Water,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
253,Water,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
254,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
255,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
256,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
257,Water,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
258,Water,Bareland,Water,NULL,Water,NULL,NULL,Water
259,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
260,Water,Bareland,Water,Water,Water,NULL,NULL,Water
261,Water,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
262,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
263,Water,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
264,Water,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
265,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
266,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
267,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
268,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
269,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
270,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
271,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
272,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
273,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
274,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
275,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
276,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
277,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
278,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
279,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
280,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
281,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
282,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
283,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
284,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
285,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
286,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
287,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
288,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
289,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
290,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
291,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
292,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
293,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
294,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
295,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
296,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
297,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
298,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
299,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
300,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
301,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
302,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
303,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
304,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
305,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
306,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
307,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
308,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
309,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
310,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
311,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
312,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
313,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
314,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
315,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
316,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
317,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
318,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
319,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
320,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
321,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
322,Water,Water,Water,NULL,Water,NULL,NULL,Water
323,Water,Water,Water,NULL,Water,NULL,NULL,Forest
324,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
325,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
326,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
327,Water,Water,Water,Water,Water,NULL,NULL,Grassland
328,Water,Water,Water,Water,Water,NULL,NULL,Water
329,Water,Water,Water,Water,Water,NULL,NULL,Forest
330,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
331,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
332,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
333,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
334,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
335,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
336,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
337,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
338,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
339,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
340,Water,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
341,Water,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
342,Water,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
343,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
344,Water,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
345,Water,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
346,Water,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
347,Water,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
348,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
349,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
350,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
351,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
352,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
353,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
354,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
355,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
