Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LCQ_M_R
55,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
106,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
124,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
125,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
126,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
127,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
128,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
129,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
130,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
131,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
132,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
133,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
134,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
135,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
136,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
137,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
138,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
312,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
313,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Wetland
314,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
315,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
316,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
317,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
318,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
319,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
320,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
