Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LXN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LXN_M_R
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
54,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
65,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
66,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
68,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
69,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
70,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
71,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
72,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
73,NULL,NULL,Water,Water,Water,NULL,NULL,Water
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
76,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
77,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
78,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
80,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
82,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
84,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
85,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
87,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
88,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
94,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
97,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
98,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
99,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
100,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
102,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
103,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
104,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
106,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
107,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Forest
108,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
110,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
111,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
113,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
114,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
115,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
117,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
118,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
119,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
120,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
121,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
124,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
125,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
126,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
127,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
128,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
129,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
130,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
131,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
132,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
133,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
134,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
135,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
136,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
137,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
138,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
139,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
140,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
141,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
142,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
143,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
145,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
147,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
150,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
151,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
152,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
153,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
154,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
155,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
157,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
159,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
160,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
162,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
163,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
164,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Forest
165,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
166,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
167,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
168,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
169,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
171,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
173,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
174,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
176,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
177,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
178,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
180,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
181,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
184,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
185,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
186,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
191,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
192,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
193,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
194,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
195,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
196,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
198,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
199,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
200,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
201,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
204,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
205,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
206,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
208,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
209,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
211,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
212,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
213,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
214,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
215,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
216,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
217,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
218,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
219,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
220,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
221,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
223,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
224,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
226,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
227,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
229,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
230,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
232,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
233,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Built-up
234,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
235,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
236,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
237,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
238,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
239,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
240,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
241,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
244,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Bareland
245,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
246,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
248,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
249,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
250,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
251,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
252,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
253,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
254,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
255,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
256,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
257,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
258,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
259,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
260,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
262,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
263,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
264,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
265,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
267,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
268,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
269,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
270,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
271,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
272,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
273,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
274,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
275,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
276,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
278,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
279,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
280,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
281,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
282,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
283,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
284,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
285,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
286,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
287,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
288,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
289,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
290,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
291,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
292,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
293,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
294,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
295,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
296,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
297,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
298,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
299,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
300,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
301,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
302,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
303,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
304,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
305,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
306,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
307,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
308,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
309,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
310,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
311,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
312,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
313,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
314,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
315,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
316,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
317,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
318,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
319,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
320,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
321,NULL,Water,Water,Water,Water,NULL,NULL,Water
322,NULL,Water,Water,Water,Water,NULL,NULL,Forest
323,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
324,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
325,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
326,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
327,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
328,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
329,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
330,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
331,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
332,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
333,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
334,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
335,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
336,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
337,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
338,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
339,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
340,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
341,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
