Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXU_M_R
51,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
52,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
53,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
55,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
56,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
58,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
59,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
60,NULL,Bareland,Water,NULL,Water,Water,NULL,Water
61,NULL,Bareland,Water,Water,Water,Water,NULL,Water
62,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
66,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
67,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
69,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
70,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
71,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
72,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
73,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
74,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,NULL,Forest
75,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
76,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
77,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
78,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
79,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
80,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
81,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
82,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
84,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
85,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
87,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
88,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,NULL,Forest
89,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
90,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
92,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
94,NULL,Built-up,Forest,NULL,Non_Wetland,Water,NULL,Forest
95,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Water,NULL,NULL,Non_Wetland,Water,NULL,Forest
97,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
98,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
100,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
101,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
102,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
103,NULL,Water,Wetland,NULL,Wetland,Water,NULL,Forest
104,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
105,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
106,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
107,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
110,NULL,Water,Water,NULL,Water,NULL,NULL,Water
111,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
112,NULL,Water,Water,Water,Water,NULL,NULL,Water
113,NULL,Water,Water,Water,Water,Water,Water,Water
114,NULL,Water,Water,Water,Water,Water,Water,Forest
115,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
117,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
119,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
120,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
121,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
123,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,Forest,Grassland,NULL,Non_Wetland,Water,NULL,Built-up
126,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
127,NULL,Forest,Grassland,Non_Water,Non_Wetland,Water,NULL,Water
128,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
129,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
130,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
131,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
132,NULL,Forest,Water,NULL,Water,NULL,NULL,Water
133,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
134,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Forest,Forest,NULL,Non_Wetland,Water,NULL,Forest
137,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
138,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
139,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
140,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
141,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
142,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
143,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
144,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
145,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
146,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
147,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
148,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
150,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
151,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
152,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
153,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
154,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
155,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
156,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
157,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
158,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
159,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
160,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
161,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
162,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
163,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
164,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
165,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
166,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
167,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
168,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
169,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
170,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
171,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
172,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
173,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
174,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
175,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
176,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
177,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
178,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
179,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
180,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
181,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
182,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
183,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
184,Grassland,Water,Water,Water,Water,NULL,NULL,Forest
185,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
186,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
187,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
188,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
189,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
190,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
191,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
192,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
193,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
194,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
195,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
196,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
197,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
198,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
199,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
200,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
201,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
202,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
203,Cropland,Water,Water,Water,Water,NULL,NULL,Grassland
204,Cropland,Water,Water,Water,Water,Water,Water,Water
205,Cropland,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
206,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
207,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
208,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
209,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
210,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
211,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
212,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
213,Cropland,Forest,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
214,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
216,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
217,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
218,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
219,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
220,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
221,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Forest
222,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
223,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
224,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
225,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
226,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
227,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
228,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
229,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
230,Bareland,Bareland,Water,Water,Water,Grassland,NULL,Water
231,Bareland,Bareland,Water,Water,Water,Water,NULL,Water
232,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
233,Bareland,Water,NULL,NULL,Non_Wetland,Grassland,NULL,Water
234,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
235,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
236,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
237,Bareland,Water,Grassland,Non_Water,Non_Wetland,Water,NULL,Water
238,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
239,Bareland,Water,Grassland,Water,Non_Wetland,Water,NULL,Water
240,Bareland,Water,Grassland,Water,Non_Wetland,Water,Water,Water
241,Bareland,Water,Wetland,NULL,Wetland,Water,NULL,Water
242,Bareland,Water,Wetland,Non_Water,Wetland,Water,NULL,Water
243,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
244,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
245,Bareland,Water,Wetland,Water,Wetland,Grassland,NULL,Water
246,Bareland,Water,Wetland,Water,Wetland,Bareland,NULL,Water
247,Bareland,Water,Wetland,Water,Wetland,Water,NULL,Water
248,Bareland,Water,Wetland,Water,Wetland,Water,NULL,Forest
249,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
250,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
251,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
252,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
253,Bareland,Water,Water,NULL,Water,Water,Water,Water
254,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
255,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Forest
256,Bareland,Water,Water,Non_Water,Water,Grassland,NULL,Water
257,Bareland,Water,Water,Non_Water,Water,Grassland,Water,Water
258,Bareland,Water,Water,Non_Water,Water,Water,NULL,Water
259,Bareland,Water,Water,Water,Water,NULL,NULL,Water
260,Bareland,Water,Water,Water,Water,Grassland,NULL,Water
261,Bareland,Water,Water,Water,Water,Grassland,Water,Water
262,Bareland,Water,Water,Water,Water,Bareland,NULL,Water
263,Bareland,Water,Water,Water,Water,Bareland,Water,Water
264,Bareland,Water,Water,Water,Water,Water,NULL,Water
265,Bareland,Water,Water,Water,Water,Water,Wetland,Water
266,Bareland,Water,Water,Water,Water,Water,Water,Water
267,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Water
268,Bareland,Water,Forest,NULL,Non_Wetland,Water,NULL,Water
269,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
270,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
271,Bareland,Water,Forest,Water,Non_Wetland,Grassland,Wetland,Water
272,Bareland,Water,Forest,Water,Non_Wetland,Grassland,Water,Water
273,Bareland,Water,Forest,Water,Non_Wetland,Water,NULL,Water
274,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
275,Bareland,Forest,Wetland,Water,Wetland,Grassland,Water,Water
276,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
277,Bareland,Forest,Water,Water,Water,NULL,NULL,Water
278,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
279,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
280,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
281,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
282,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
283,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
284,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
285,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
286,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
287,Water,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
288,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
289,Water,NULL,Water,Water,Water,NULL,NULL,Water
290,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
291,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
292,Water,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
293,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
294,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
295,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
296,Water,Water,NULL,NULL,Non_Wetland,Bareland,Water,Water
297,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Grassland
298,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Water
299,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,Forest
300,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
301,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
302,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
303,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
304,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
305,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
306,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
307,Water,Water,NULL,Non_Water,Non_Wetland,Water,NULL,Water
308,Water,Water,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
309,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
310,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
311,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
312,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
313,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
314,Water,Water,NULL,Water,Non_Wetland,Water,NULL,Water
315,Water,Water,NULL,Water,Non_Wetland,Water,NULL,Forest
316,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
317,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
318,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
319,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
320,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
321,Water,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Water
322,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
323,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
324,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
325,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,NULL,Water
326,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Forest,Water
327,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
328,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
329,Water,Water,Shrubland,Water,Non_Wetland,Water,NULL,Water
330,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
331,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
332,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
333,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
334,Water,Water,Grassland,NULL,Non_Wetland,Water,NULL,Water
335,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
336,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
337,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
338,Water,Water,Grassland,Non_Water,Non_Wetland,Water,NULL,Water
339,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
340,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
341,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
342,Water,Water,Grassland,Water,Non_Wetland,Water,NULL,Water
343,Water,Water,Grassland,Water,Non_Wetland,Water,NULL,Forest
344,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
345,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
346,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
347,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
348,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
349,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
350,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
351,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
352,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
353,Water,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
354,Water,Water,Wetland,NULL,Wetland,Bareland,NULL,Water
355,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Water
356,Water,Water,Wetland,NULL,Wetland,Water,NULL,Bareland
357,Water,Water,Wetland,NULL,Wetland,Water,NULL,Water
358,Water,Water,Wetland,NULL,Wetland,Water,NULL,Forest
