Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LVN_M_R
5727,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
5728,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
5729,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
5730,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
5731,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
5732,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
5733,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
5734,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
5735,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
5736,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
5737,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
5738,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
5739,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
5740,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
5741,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5742,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5743,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
5744,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
5745,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5746,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
5747,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5748,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
5749,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
5750,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
5751,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
5752,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Water,Cropland
5753,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
5754,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
5755,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
5756,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
5757,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
5758,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5759,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5760,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
5761,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
5762,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5763,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
5764,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
5765,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
5766,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
5767,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
5768,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
5769,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
5770,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
5771,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
5772,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
5773,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
5774,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5775,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
5776,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
5777,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
5778,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
5779,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
5780,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
5781,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
5782,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
5783,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
5784,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
5785,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
5786,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Cropland
5787,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Water,Cropland
5788,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
5789,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
5790,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
5791,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
5792,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
5793,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
5794,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5795,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
5796,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
5797,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Cropland
5798,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Cropland
5799,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
5800,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
5801,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
5802,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Cropland
5803,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
5804,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
5805,Grassland,Cropland,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
5806,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
5807,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
5808,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
5809,Grassland,Cropland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
5810,Grassland,Cropland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
5811,Grassland,Cropland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
5812,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
5813,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
5814,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
5815,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
5816,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
5817,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
5818,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5819,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5820,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5821,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5822,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Forest,Cropland
5823,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
5824,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
5825,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
5826,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5827,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5828,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
5829,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
5830,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5831,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
5832,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
5833,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
5834,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Shrubland,NULL
5835,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
5836,Grassland,Cropland,Grassland,Water,Non_Wetland,Grassland,Grassland,Cropland
5837,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
5838,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
5839,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
5840,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
5841,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
5842,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
5843,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
5844,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
5845,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
5846,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
5847,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
5848,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
5849,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
5850,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
5851,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Water,Forest
5852,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
5853,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
5854,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
5855,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
5856,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5857,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5858,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
5859,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5860,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
5861,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5862,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
5863,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
5864,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
5865,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
5866,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
5867,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
5868,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
5869,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
5870,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5871,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5872,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
5873,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
5874,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5875,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
5876,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
5877,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
5878,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
5879,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
5880,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
5881,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
5882,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
5883,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
5884,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
5885,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
5886,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
5887,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
5888,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5889,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
5890,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
5891,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
5892,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
5893,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
5894,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
5895,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
5896,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
5897,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
5898,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
5899,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
5900,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
5901,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
5902,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
5903,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
5904,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
5905,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5906,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
5907,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
5908,Grassland,Cropland,Cropland,Water,Non_Wetland,Shrubland,Shrubland,Forest
5909,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
5910,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
5911,Grassland,Cropland,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
5912,Grassland,Cropland,Cropland,Water,Non_Wetland,Water,Shrubland,Grassland
5913,Grassland,Cropland,Wetland,NULL,Wetland,NULL,Grassland,Grassland
5914,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
5915,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
5916,Grassland,Cropland,Wetland,Water,Wetland,NULL,Grassland,Grassland
5917,Grassland,Cropland,Wetland,Water,Wetland,Bareland,Bareland,Bareland
5918,Grassland,Cropland,Wetland,Water,Wetland,Bareland,Bareland,Water
5919,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
5920,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5921,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Wetland
5922,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Water,NULL
5923,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
5924,Grassland,Cropland,Bareland,Water,Non_Wetland,Bareland,Shrubland,Water
5925,Grassland,Cropland,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
5926,Grassland,Cropland,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
5927,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
5928,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
5929,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
5930,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
5931,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
5932,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
5933,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
5934,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
5935,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Water,Built-up
5936,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
5937,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
5938,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
5939,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
5940,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
5941,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Cropland
5942,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
5943,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
5944,Grassland,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
5945,Grassland,Cropland,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
5946,Grassland,Cropland,Built-up,Water,Non_Wetland,Bareland,Bareland,Water
5947,Grassland,Cropland,Water,NULL,Water,Shrubland,Shrubland,Wetland
5948,Grassland,Cropland,Water,NULL,Water,Bareland,Bareland,Bareland
5949,Grassland,Cropland,Water,NULL,Water,Bareland,Bareland,Water
5950,Grassland,Cropland,Water,Non_Water,Water,Bareland,Bareland,Bareland
5951,Grassland,Cropland,Water,Water,Water,Bareland,Shrubland,Water
5952,Grassland,Cropland,Water,Water,Water,Bareland,Bareland,Bareland
5953,Grassland,Cropland,Water,Water,Water,Bareland,Bareland,Water
5954,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
5955,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
5956,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
5957,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
5958,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
5959,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
5960,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
5961,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
5962,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
5963,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
5964,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
5965,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
5966,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,Cropland
5967,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,NULL
5968,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
5969,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
5970,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Cropland
5971,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
5972,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5973,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5974,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
5975,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5976,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
5977,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5978,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Cropland
5979,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
5980,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
5981,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Water,Cropland
5982,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
5983,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
5984,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Cropland
5985,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
5986,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
5987,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
5988,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
5989,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
5990,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5991,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5992,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
5993,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
5994,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
5995,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
5996,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
5997,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
5998,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
5999,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Cropland
6000,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
6001,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
6002,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
6003,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
6004,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
6005,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
6006,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Cropland
6007,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
6008,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
6009,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
6010,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
6011,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
6012,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
6013,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
6014,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
6015,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland,Grassland,Water
6016,Grassland,Cropland,Forest,Water,Non_Wetland,Bareland,Bareland,Water
6017,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
6018,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
6019,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Water,Cropland
6020,Grassland,Bareland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
6021,Grassland,Bareland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
6022,Grassland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
6023,Grassland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
6024,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
6025,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
6026,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
6027,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
6028,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
6029,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6030,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
6031,Grassland,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
6032,Grassland,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
6033,Grassland,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
