Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LGD_M_R
342,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
343,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
344,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
345,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
346,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
347,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
348,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
349,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
350,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
351,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
352,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
353,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
354,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
355,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
356,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
357,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
358,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
359,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
360,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
361,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
362,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
363,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
364,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
365,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
366,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
367,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
368,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
369,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
370,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
371,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
372,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
373,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
374,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
375,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
376,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
377,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
378,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
379,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
380,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
381,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
382,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
383,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
384,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
385,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
386,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
387,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
388,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
389,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
390,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
391,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
392,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
393,NULL,Water,Water,NULL,Water,NULL,NULL,Water
394,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
395,NULL,Water,Water,Non_Water,Water,NULL,NULL,Bareland
396,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
397,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
398,NULL,Water,Water,Water,Water,NULL,NULL,Water
399,NULL,Water,Water,Water,Water,NULL,NULL,Forest
400,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
401,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
402,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
403,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
404,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
405,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
406,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
407,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
408,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
409,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
410,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
411,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
412,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
413,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
414,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
415,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
416,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
417,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
418,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
419,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
420,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
421,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
422,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
423,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
424,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
425,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
426,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
427,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
428,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
429,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
430,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
431,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
432,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
433,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
434,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
435,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
436,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
437,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
438,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
439,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
440,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
441,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
442,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
443,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
444,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
445,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
446,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
447,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
448,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
449,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
450,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
451,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
452,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
453,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
454,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
455,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
456,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
457,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
458,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Water
459,NULL,Forest,Water,Water,Water,NULL,NULL,Bareland
460,NULL,Forest,Water,Water,Water,NULL,NULL,Water
461,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
462,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
463,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
464,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
465,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
466,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
467,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
468,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,NULL
469,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
470,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
471,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
472,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
473,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
474,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
475,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
476,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
477,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
478,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
479,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
480,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
481,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
482,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
483,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
484,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
485,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
486,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
487,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
488,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
489,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
490,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
491,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
492,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
493,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
494,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
495,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
496,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
497,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
498,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
499,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
500,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
501,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
502,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
503,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
504,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
505,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
506,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
507,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
508,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
509,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
510,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
511,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
512,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
513,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
514,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
515,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
516,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
517,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
518,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
519,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
520,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
521,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
522,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
523,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
524,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
525,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
526,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
527,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
528,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
529,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
530,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
531,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
532,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
533,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
534,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
535,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
536,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
537,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
538,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
539,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
540,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
541,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
542,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
543,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
544,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
545,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
546,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
547,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
548,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
549,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
550,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
551,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
552,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
553,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
554,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
555,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
556,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
557,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
558,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
559,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
560,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
561,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
562,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
563,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
564,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
565,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
566,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
567,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
568,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
569,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
570,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
571,Grassland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
572,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
573,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
574,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
575,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
576,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
577,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
578,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
579,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
580,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
581,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
582,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
583,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
584,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
585,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
586,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
587,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
588,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
589,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
590,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
591,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
592,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
593,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
594,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
595,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
596,Grassland,NULL,Water,NULL,Water,NULL,NULL,NULL
597,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
598,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
599,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
600,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
601,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,NULL
602,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
603,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
604,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
605,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
606,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
607,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
608,Grassland,NULL,Water,Water,Water,NULL,NULL,NULL
609,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
610,Grassland,NULL,Water,Water,Water,NULL,NULL,Cropland
611,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
612,Grassland,NULL,Water,Water,Water,NULL,NULL,Bareland
613,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
614,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
615,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
616,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
617,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
618,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
619,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
620,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
621,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
622,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
623,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
624,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
625,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
626,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
627,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
628,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
629,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
630,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
631,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
632,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
633,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
634,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
635,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
636,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
637,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
638,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
639,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
640,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
641,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
642,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
643,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
644,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
645,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
646,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
647,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
648,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
649,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
650,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
651,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
652,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
653,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
654,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
655,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
656,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
657,Grassland,Cropland,Water,Water,Water,NULL,NULL,Water
658,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
659,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
660,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
661,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
662,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
663,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
664,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
665,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
666,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
667,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
668,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
669,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
670,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,NULL
671,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
672,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
673,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Water
674,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Forest
675,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
676,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
677,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
678,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
679,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
680,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
681,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
682,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
683,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
684,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
685,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
686,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
687,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
688,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
689,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
