Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KQF_M_R
341,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
342,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
343,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
344,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
345,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
346,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
347,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
348,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
349,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
350,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
351,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
352,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
353,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
354,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
355,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
356,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
357,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
358,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
359,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
360,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
361,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
362,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
363,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
364,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
365,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
366,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
367,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
368,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
369,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
370,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
371,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
372,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
373,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
374,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
375,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
376,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
377,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
378,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
379,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
380,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
381,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
382,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
383,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
384,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
385,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
386,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
387,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
388,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
389,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
390,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
391,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
392,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
393,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
394,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
395,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
396,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
397,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
398,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
399,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
400,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
401,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
402,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
403,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
404,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
405,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
406,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
407,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
408,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
409,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
410,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
411,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
412,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
413,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
414,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
415,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
416,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
417,Grassland,NULL,Water,NULL,Water,NULL,NULL,NULL
418,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
419,Grassland,NULL,Water,NULL,Water,NULL,NULL,Cropland
420,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
421,Grassland,NULL,Water,NULL,Water,NULL,NULL,Bareland
422,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
423,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
424,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,NULL
425,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
426,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
427,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
428,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
429,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
430,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
431,Grassland,NULL,Water,Water,Water,NULL,NULL,Bareland
432,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
433,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
434,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
435,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
436,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
437,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
438,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
439,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
440,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
441,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
442,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
443,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
444,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
445,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
446,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
447,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
448,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
449,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
450,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
451,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
452,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
453,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
454,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
455,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
456,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
457,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
458,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
459,Grassland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Forest
460,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
461,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
462,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
463,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
464,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
465,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
466,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
467,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
468,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
469,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
470,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
471,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
472,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
473,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
474,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
475,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
476,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
477,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
478,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
479,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
480,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
481,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
482,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
483,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
484,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
485,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
486,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
487,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
488,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
489,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
490,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
491,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
492,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
493,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
494,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
495,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
496,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
497,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
498,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
499,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
500,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
501,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
502,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
503,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
504,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
505,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
506,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
507,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
508,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
509,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
510,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
511,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
512,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
513,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
514,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
515,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
516,Grassland,Cropland,Water,NULL,Water,NULL,NULL,NULL
517,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
518,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Cropland
519,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Wetland
520,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Water
521,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Forest
522,Grassland,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
523,Grassland,Cropland,Water,Non_Water,Water,NULL,NULL,Cropland
524,Grassland,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
525,Grassland,Cropland,Water,Water,Water,NULL,NULL,Wetland
526,Grassland,Cropland,Water,Water,Water,NULL,NULL,Forest
527,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
528,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
529,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
530,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
531,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
532,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
533,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
534,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
535,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
536,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
537,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
538,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
539,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
540,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
541,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
542,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
543,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
544,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
545,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
546,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
547,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
548,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
549,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
550,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
551,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
552,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
553,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
554,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
555,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
556,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
557,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
558,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Cropland
559,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
560,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
561,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
562,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
563,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
564,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
565,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
566,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
567,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
568,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Cropland
569,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Forest
570,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
571,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
572,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
573,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
574,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
575,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
576,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
577,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
578,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
579,Grassland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
580,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
581,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
582,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
583,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
584,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
585,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
586,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
587,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
588,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
589,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
590,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
591,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
592,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
593,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
594,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
595,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
596,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Forest
597,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
598,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
599,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
600,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
601,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
602,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
603,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
604,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
605,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
606,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
607,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
608,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
609,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
610,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
611,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
612,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
613,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
614,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
615,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
616,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
617,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
618,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
619,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
620,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
621,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Cropland
622,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
623,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
624,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
625,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
626,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
627,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
628,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
629,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
630,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
631,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
632,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
633,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
634,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
635,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
636,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
637,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
638,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
639,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
640,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
641,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
642,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
643,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
644,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
645,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
646,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
647,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
648,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
649,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
650,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
651,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
652,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
653,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
654,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
655,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
656,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
657,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
658,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
659,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
660,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
661,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
662,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
663,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
664,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
665,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
666,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
667,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
668,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
669,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
670,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
671,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
672,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
673,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
674,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
675,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
676,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
677,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
678,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
679,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
680,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
681,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
