Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NEH_M_R
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Cropland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Wetland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Bareland
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
129,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
132,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Built-up
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
141,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
142,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
143,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
144,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Wetland
145,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
146,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
147,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
148,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
149,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
150,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
151,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Wetland
152,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Grassland
153,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
154,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
155,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Cropland
156,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
157,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
158,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
159,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
160,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
161,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
162,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
163,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Bareland
164,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
165,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
166,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
172,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Wetland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Cropland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
180,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Cropland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
186,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
187,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
188,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
189,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
190,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
191,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
192,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Wetland
193,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
194,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
195,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
196,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
197,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
198,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
200,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
201,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
202,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
203,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
204,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
205,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
206,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
207,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
208,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Bareland
209,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
210,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
211,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
212,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
213,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Built-up
214,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
215,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
216,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
217,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
218,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
219,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Wetland
220,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Forest
221,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
222,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
223,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
224,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
225,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
226,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
227,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Cropland
228,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
229,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
230,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
231,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
232,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
233,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Wetland
234,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
235,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
236,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
237,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
238,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
239,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
240,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
241,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
242,NULL,NULL,Wetland,NULL,Wetland,Built-up,Wetland,Grassland
243,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
244,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
245,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
246,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
247,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Wetland
248,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
249,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
250,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
251,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
252,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
253,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
254,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
255,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
256,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
257,NULL,NULL,Wetland,Non_Water,Wetland,Cropland,Wetland,Grassland
258,NULL,NULL,Wetland,Non_Water,Wetland,Cropland,Wetland,Wetland
259,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
260,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Cropland
261,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
262,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
263,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
264,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
265,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
266,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
267,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
268,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
269,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Wetland
270,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
271,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
272,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
273,NULL,NULL,Wetland,Water,Wetland,Cropland,Wetland,Wetland
274,NULL,NULL,Wetland,Water,Wetland,Cropland,Water,Wetland
275,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
276,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Cropland
277,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
278,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
279,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
280,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
281,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
282,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
283,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
284,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Wetland
285,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
286,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
287,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
288,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
289,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
290,NULL,NULL,Wetland,Water,Wetland,Forest,Wetland,Wetland
291,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
292,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
293,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
294,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Bareland
295,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Wetland,Grassland
296,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Wetland,Bareland
297,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Wetland,Built-up
298,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
299,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Wetland
300,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
301,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
302,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
303,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Bareland
304,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Built-up
305,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
306,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
307,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Built-up,Grassland
308,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
309,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
310,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
311,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
312,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
313,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
314,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
315,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
316,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
317,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
318,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
319,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Built-up
320,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Built-up,Grassland
321,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
322,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
323,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Wetland
324,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
325,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
326,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
