Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LZJ_M_R
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
116,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
118,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
119,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Wetland,Grassland
120,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
121,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
124,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
262,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Grassland
263,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
264,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
265,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
266,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
267,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
268,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
269,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
270,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
271,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
272,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
274,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
275,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
278,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,NULL
282,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
284,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
290,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
292,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
293,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
296,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
297,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
299,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
301,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
304,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,NULL
306,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
309,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
313,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
315,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
317,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
319,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
321,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
