Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NVG_M_R
30,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
33,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
35,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
36,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
37,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
38,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
39,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
40,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
41,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
42,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
43,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
44,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
45,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
46,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
47,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
48,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
49,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
50,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
51,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
53,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
54,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
58,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
59,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
60,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
61,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
62,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
63,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
64,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
65,NULL,NULL,Water,Water,Water,NULL,NULL,Water
66,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
67,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
68,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
70,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
77,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
78,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
81,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
83,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
84,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
94,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
95,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
96,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
97,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
98,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
99,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
100,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
101,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
103,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
105,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
106,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
107,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
109,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
110,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
112,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
113,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
115,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
116,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
117,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
119,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
120,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
121,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
122,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
123,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
124,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
125,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
126,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
127,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
128,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
129,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Cropland
130,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
131,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
132,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
134,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
135,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
136,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
137,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
138,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
140,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
141,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
142,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
143,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
144,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
145,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
146,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
147,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
148,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
149,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
151,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
152,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
153,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
154,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
155,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
156,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
158,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
159,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Built-up
160,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
161,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
163,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
164,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
165,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
167,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
170,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
171,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
172,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
176,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
177,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
178,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
179,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
180,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
181,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
182,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
183,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
184,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
185,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
186,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
187,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
188,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
189,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
190,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
191,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
192,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
193,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
194,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
195,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
196,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
198,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
199,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
201,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
203,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
204,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
208,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
209,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
210,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
211,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
213,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
214,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Built-up
215,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
217,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
222,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
224,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
225,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
226,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
227,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
228,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
229,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
230,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
231,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
232,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
233,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
234,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
235,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
236,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
237,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
238,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
239,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
240,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
241,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
244,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
245,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
246,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
247,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
248,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
250,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
251,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
252,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
253,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Water
254,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
255,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
256,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
257,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
258,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
259,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
260,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
261,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
262,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
263,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
264,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
265,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Built-up
266,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
267,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Wetland
268,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
269,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
270,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
271,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
272,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
273,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Built-up
274,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
275,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
276,NULL,Built-up,Wetland,Water,NULL,NULL,NULL,Water
277,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
278,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Cropland
279,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Wetland
280,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
281,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Built-up
282,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
283,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
284,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
285,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
286,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Water
287,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
289,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
290,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
291,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
292,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
293,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
294,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
295,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
296,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
297,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
298,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
299,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
300,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
301,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
302,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
303,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
304,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
305,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
306,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
307,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
308,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
309,NULL,Built-up,Water,NULL,Water,NULL,NULL,Wetland
310,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
311,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
312,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
313,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
314,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Wetland
315,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Water
316,NULL,Built-up,Water,Water,NULL,NULL,NULL,Grassland
317,NULL,Built-up,Water,Water,NULL,NULL,NULL,Bareland
318,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
319,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
320,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
321,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
322,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
323,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
324,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
325,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
326,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
327,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
328,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
329,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
330,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
331,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
332,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Built-up
333,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
334,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
335,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
336,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Cropland
337,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Wetland
338,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Bareland
339,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Built-up
