Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LYR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LYR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LYR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LYR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LYR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LYR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LYR_M_R
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
50,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
51,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
52,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
53,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
55,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
57,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
63,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
65,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
66,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
67,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Water
68,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
69,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
71,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
72,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
73,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
74,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
75,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
76,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
78,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
79,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
81,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
83,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
84,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Water
85,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
86,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
87,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
89,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
91,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Water
94,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
95,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
97,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
98,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
99,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
100,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
101,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
102,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
103,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
104,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Water
105,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
106,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
107,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Water
108,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
109,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Forest
110,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
111,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
112,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Built-up,Forest
113,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
114,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Bareland
115,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
116,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
118,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
119,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Forest
120,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
121,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
122,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
124,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
125,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
126,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
127,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
128,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
129,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
130,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
131,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
132,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
133,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
134,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
135,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
136,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
137,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
138,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
139,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
140,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
141,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
142,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland,Water,Grassland
143,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Water,Water
144,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
145,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
146,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
147,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
148,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
149,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
150,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
151,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
152,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
153,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
154,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Water
155,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
156,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
157,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Forest
158,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Water,Grassland
159,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Grassland,Grassland
160,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
161,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
162,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
163,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
164,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
165,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
166,NULL,NULL,Water,NULL,Water,Grassland,Water,Grassland
167,NULL,NULL,Water,NULL,Water,Grassland,Water,Forest
168,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
169,NULL,NULL,Water,NULL,Water,Bareland,Water,Grassland
170,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
171,NULL,NULL,Water,NULL,Water,Water,Water,Water
172,NULL,NULL,Water,NULL,Water,Water,Water,Forest
173,NULL,NULL,Water,NULL,Water,Water,Forest,Bareland
174,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
175,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Forest
176,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
177,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Water
178,NULL,NULL,Water,Non_Water,Water,Bareland,Grassland,Water
179,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Water
180,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Forest
181,NULL,NULL,Water,Non_Water,Water,Water,Built-up,Water
182,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
183,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
184,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
185,NULL,NULL,Water,Water,Water,Grassland,Water,Forest
186,NULL,NULL,Water,Water,Water,Bareland,Water,Water
187,NULL,NULL,Water,Water,Water,Water,Water,Grassland
188,NULL,NULL,Water,Water,Water,Water,Water,Water
189,NULL,NULL,Water,Water,Water,Water,Forest,Water
190,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
192,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
194,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
195,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
196,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
197,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
198,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
199,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
200,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
201,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
202,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
203,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
204,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
205,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
206,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
207,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
208,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
209,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
210,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
211,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
212,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
213,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
214,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
215,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
216,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
217,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
218,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
219,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
220,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
221,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
222,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
223,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
224,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,Grassland
225,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
226,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
227,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Bareland
228,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
229,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Water
230,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Water
231,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
232,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
233,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
234,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
235,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
236,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
237,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
238,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
239,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
241,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
242,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
243,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
244,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
245,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
246,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Grassland
247,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Forest
248,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,NULL
249,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
250,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
251,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Forest
252,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Water
253,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
254,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
255,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up,Forest,Grassland
256,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
257,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
258,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
259,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
260,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
261,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
262,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Grassland
263,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Water
264,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
265,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Forest
266,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Grassland,Forest
267,NULL,NULL,Forest,Water,Non_Wetland,Water,Grassland,Grassland
268,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
269,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Water
270,NULL,NULL,Forest,Water,Non_Wetland,Water,Forest,Water
271,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
272,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
273,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
274,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
275,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
276,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Forest
277,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Bareland,Forest
278,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
279,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
280,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
281,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
282,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
283,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
284,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
285,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
286,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
287,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
288,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
289,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
290,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
291,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
292,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
293,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
294,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
295,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
296,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
297,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
298,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
299,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
300,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
301,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
302,NULL,Cropland,Water,NULL,Water,Bareland,Water,Forest
303,NULL,Cropland,Water,NULL,Water,Water,Water,Bareland
304,NULL,Cropland,Water,Non_Water,Water,Grassland,Water,Grassland
305,NULL,Cropland,Water,Non_Water,Water,Bareland,Wetland,Grassland
306,NULL,Cropland,Water,Non_Water,Water,Water,Wetland,Water
307,NULL,Cropland,Water,Water,Water,Bareland,Wetland,Forest
308,NULL,Cropland,Water,Water,Water,Water,Water,Water
309,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
310,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
311,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
312,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
313,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
314,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
315,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
316,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
317,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
318,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
319,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
320,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
321,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
322,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
323,NULL,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Forest
324,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
325,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
326,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
327,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
328,NULL,Cropland,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
329,NULL,Cropland,Forest,Non_Water,Non_Wetland,Built-up,Forest,Forest
330,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
331,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
332,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
333,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
