Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LWD_M_R
3088,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3089,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3090,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3091,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
3092,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
3093,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
3094,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
3095,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3096,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
3097,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3098,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3099,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
3100,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3101,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3102,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
3103,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
3104,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3105,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
3106,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
3107,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
3108,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
3109,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
3110,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
3111,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
3112,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
3113,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
3114,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
3115,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
3116,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Built-up,Forest
3117,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
3118,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
3119,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
3120,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
3121,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
3122,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3123,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3124,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
3125,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
3126,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
3127,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
3128,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
3129,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
3130,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
3131,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
3132,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
3133,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
3134,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
3135,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
3136,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
3137,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
3138,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
3139,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,Forest
3140,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
3141,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
3142,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
3143,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
3144,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
3145,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
3146,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
3147,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
3148,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
3149,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
3150,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
3151,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
3152,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
3153,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
3154,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
3155,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,Forest
3156,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
3157,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
3158,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
3159,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
3160,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
3161,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Water,Forest
3162,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,NULL
3163,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
3164,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,Forest
3165,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
3166,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3167,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
3168,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3169,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
3170,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3171,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
3172,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
3173,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3174,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
3175,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
3176,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3177,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
3178,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
3179,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
3180,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
3181,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
3182,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
3183,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
3184,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
3185,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
3186,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3187,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
3188,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3189,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
3191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
3192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
3197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
3198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
3200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
3201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
3202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Water
3203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
3204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
3205,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
3206,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
3207,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Water
3208,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
3209,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
3210,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
3211,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Water,Built-up
3212,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
3213,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
3214,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
3215,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
3216,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3217,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
3218,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
3219,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3220,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3221,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3222,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
3223,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
3224,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3225,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
3226,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3227,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3228,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3229,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3230,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3231,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
3232,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
3233,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
3234,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3235,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
3236,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
3237,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
3238,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
3239,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3240,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
3241,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
3242,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
3243,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
3244,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3245,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3246,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
3247,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
3248,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
3249,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Built-up
3250,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
3251,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
3252,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
3253,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
3254,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
3255,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
3256,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
3257,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
3258,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
3259,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
3260,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3261,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
3262,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
3263,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3264,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
3265,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
3266,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3267,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
3268,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3269,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3270,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
3271,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
3272,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
3273,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3274,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
3275,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
3276,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
3277,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
3278,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
3279,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
3280,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
3281,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
3282,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
3283,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
3284,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
3285,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
3286,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
3287,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
3288,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
3289,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
3290,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
3291,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
3292,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
3293,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
3294,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
3295,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,NULL
3296,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
3297,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
3298,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Forest
3299,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
3300,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3301,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
3302,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
3303,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
3304,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
3305,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
3306,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
3307,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3308,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
3309,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
3310,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
3311,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Water
3312,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
3313,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,NULL
3314,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Built-up
3315,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
3316,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
3317,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
3318,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
3319,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
3320,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
3321,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
3322,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
3323,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3324,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
3325,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
3326,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
3327,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,NULL
3328,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
3329,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
3330,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Shrubland,NULL
3331,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Water
3332,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Forest
3333,NULL,Built-up,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Forest
3334,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,NULL,Water
3335,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Forest,Bareland
3336,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
3337,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3338,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3339,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3340,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3341,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
3342,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
3343,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3344,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
3345,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
3346,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
3347,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3348,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
3349,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Built-up
3350,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
3351,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
3352,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
3353,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
3354,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
3355,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
3356,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
3357,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
3358,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
3359,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
3360,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
3361,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
3362,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
3363,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
3364,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
3365,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
3366,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3367,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Built-up
3368,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
3369,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3370,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3371,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
3372,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3373,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3374,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3375,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3376,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
3377,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3378,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
3379,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
3380,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
3381,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
3382,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Forest
3383,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
3384,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
3385,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
3386,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
3387,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
3388,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
3389,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
3390,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
3391,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3392,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3393,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3394,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
3395,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
3396,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3397,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
3398,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3399,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3400,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
