Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQF_M_R
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
109,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
110,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
111,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
112,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
113,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
114,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
115,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
116,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
117,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
118,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
119,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
120,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
121,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
122,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
124,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
126,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
128,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
138,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
140,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
143,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
148,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
151,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
152,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
161,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
173,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
175,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
176,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Water
177,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
179,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
180,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
181,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
182,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
183,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
184,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
185,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
186,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
187,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
188,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
189,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
191,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
192,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
193,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
194,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
195,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
196,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
197,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
198,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
199,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
200,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
201,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
202,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
203,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
204,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
205,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
206,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
207,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
208,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
209,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
210,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Forest
211,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
212,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
213,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
214,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
215,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
216,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
217,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
218,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
219,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
220,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
221,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
222,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
223,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
224,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
225,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
226,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
227,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
228,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
229,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
230,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
231,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
232,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
233,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
234,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
235,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
236,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
237,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
238,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
239,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Wetland
240,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Wetland
241,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Forest
242,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
243,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
244,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
245,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
246,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
247,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Bareland
248,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
249,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
250,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
251,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
252,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
253,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
254,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
255,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
256,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Wetland
257,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
258,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
259,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
260,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
261,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
262,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
263,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
264,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
265,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
266,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
267,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
268,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
269,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Wetland
270,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,NULL
271,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
272,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
273,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
274,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
275,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
276,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
277,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
278,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
279,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
280,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
281,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
282,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Bareland
283,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
284,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
285,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
286,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
287,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
288,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
289,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Wetland
290,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Wetland
291,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
292,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
293,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
294,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
295,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
296,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
297,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
298,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
299,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
300,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
301,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
302,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
303,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
304,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
305,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
306,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
307,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
308,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
309,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up,Built-up,Bareland
310,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
311,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
312,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
313,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
314,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
315,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
316,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
317,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
318,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
319,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
320,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
321,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
322,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
323,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
324,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
325,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
326,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
327,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
328,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
329,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
330,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
331,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
