Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MUA_M_R
7264,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
7265,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
7266,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
7267,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
7268,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Water,Shrubland,NULL
7269,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
7270,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
7271,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
7272,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
7273,Grassland,Wetland,Shrubland,Water,Non_Wetland,Shrubland,NULL,NULL
7274,Grassland,Wetland,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
7275,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
7276,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
7277,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
7278,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
7279,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
7280,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest,Wetland
7281,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
7282,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
7283,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
7284,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
7285,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
7286,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
7287,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7288,Grassland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
7289,Grassland,Wetland,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
7290,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
7291,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
7292,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
7293,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
7294,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
7295,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
7296,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
7297,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
7298,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
7299,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
7300,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Water,NULL,Grassland
7301,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Shrubland,Grassland
7302,Grassland,Wetland,Grassland,Water,Non_Wetland,Shrubland,NULL,Grassland
7303,Grassland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
7304,Grassland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7305,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
7306,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
7307,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
7308,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
7309,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
7310,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
7311,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
7312,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
7313,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Shrubland,Grassland
7314,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Shrubland,Cropland
7315,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Shrubland,Wetland
7316,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Forest,Grassland
7317,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
7318,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
7319,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
7320,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Water,Grassland
7321,Grassland,Wetland,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
7322,Grassland,Wetland,Wetland,NULL,Wetland,Water,Shrubland,Grassland
7323,Grassland,Wetland,Wetland,NULL,Wetland,Water,Forest,Wetland
7324,Grassland,Wetland,Wetland,NULL,Wetland,Forest,Shrubland,NULL
7325,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Grassland
7326,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
7327,Grassland,Wetland,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
7328,Grassland,Wetland,Wetland,Water,Wetland,NULL,Forest,Grassland
7329,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,NULL,Grassland
7330,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,NULL,Forest
7331,Grassland,Wetland,Wetland,Water,Wetland,Shrubland,Shrubland,Wetland
7332,Grassland,Wetland,Wetland,Water,Wetland,Water,Shrubland,Grassland
7333,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
7334,Grassland,Wetland,Wetland,Water,Wetland,Water,Forest,Water
7335,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
7336,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
7337,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
7338,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,Shrubland,Forest
7339,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,Forest,Grassland
7340,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,Forest,Wetland
7341,Grassland,Wetland,Bareland,NULL,Non_Wetland,Shrubland,NULL,NULL
7342,Grassland,Wetland,Bareland,NULL,Non_Wetland,Shrubland,NULL,Grassland
7343,Grassland,Wetland,Bareland,NULL,Non_Wetland,Shrubland,NULL,Forest
7344,Grassland,Wetland,Bareland,NULL,Non_Wetland,Shrubland,Forest,Grassland
7345,Grassland,Wetland,Bareland,NULL,Non_Wetland,Water,Shrubland,Grassland
7346,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Forest,Wetland
7347,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
7348,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
7349,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
7350,Grassland,Wetland,Water,Water,Water,NULL,Shrubland,Grassland
7351,Grassland,Wetland,Water,Water,Water,Shrubland,NULL,Grassland
7352,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
7353,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
7354,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
7355,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Shrubland,Wetland
7356,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
7357,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Water,Grassland
7358,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
7359,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest,Wetland
7360,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
7361,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
7362,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
7363,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
7364,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
7365,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
7366,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
7367,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7368,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Water,NULL
7369,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Water,Grassland
7370,Grassland,Wetland,Forest,NULL,Non_Wetland,Shrubland,Forest,Wetland
7371,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
7372,Grassland,Wetland,Forest,NULL,Non_Wetland,Water,NULL,Forest
7373,Grassland,Wetland,Forest,NULL,Non_Wetland,Water,Shrubland,Grassland
7374,Grassland,Wetland,Forest,NULL,Non_Wetland,Water,Shrubland,Wetland
7375,Grassland,Wetland,Forest,NULL,Non_Wetland,Water,Shrubland,Forest
7376,Grassland,Wetland,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
7377,Grassland,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Grassland
7378,Grassland,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Wetland
7379,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
7380,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
7381,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
7382,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest,Water,Grassland
7383,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
7384,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
7385,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
7386,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland,Grassland
7387,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Water,Grassland
7388,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest,Wetland
7389,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
7390,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
7391,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Forest
7392,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
7393,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
7394,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
7395,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Shrubland,Water,Grassland
7396,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,NULL,Grassland
7397,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,Shrubland,Grassland
7398,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
7399,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
7400,Grassland,Wetland,Forest,Water,Non_Wetland,Shrubland,NULL,Grassland
7401,Grassland,Wetland,Forest,Water,Non_Wetland,Shrubland,Shrubland,NULL
7402,Grassland,Wetland,Forest,Water,Non_Wetland,Shrubland,Shrubland,Grassland
7403,Grassland,Wetland,Forest,Water,Non_Wetland,Shrubland,Shrubland,Water
7404,Grassland,Wetland,Forest,Water,Non_Wetland,Shrubland,Water,Grassland
7405,Grassland,Wetland,Forest,Water,Non_Wetland,Forest,Shrubland,Forest
7406,Grassland,Bareland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7407,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
7408,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
7409,Grassland,Built-up,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
7410,Grassland,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
7411,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
7412,Grassland,Built-up,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
7413,Grassland,Built-up,NULL,Non_Water,Non_Wetland,Built-up,Forest,NULL
7414,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
7415,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
7416,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
7417,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
7418,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
7419,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7420,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
7421,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
7422,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
7423,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
7424,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
7425,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
7426,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
7427,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
7428,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
7429,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
7430,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
7431,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
7432,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
7433,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
7434,Grassland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
7435,Grassland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
7436,Grassland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
7437,Grassland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7438,Grassland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
7439,Grassland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
7440,Grassland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
7441,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
7442,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
7443,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
7444,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
7445,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
7446,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
7447,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Cropland
7448,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
7449,Grassland,Built-up,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
7450,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
7451,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
7452,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
7453,Grassland,Built-up,Grassland,NULL,Non_Wetland,Forest,Built-up,Forest
7454,Grassland,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
7455,Grassland,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Forest,Grassland
7456,Grassland,Built-up,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
7457,Grassland,Built-up,Grassland,Non_Water,Non_Wetland,Shrubland,Forest,Forest
7458,Grassland,Built-up,Grassland,Non_Water,Non_Wetland,Built-up,Forest,Forest
7459,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
7460,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
7461,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
7462,Grassland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7463,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
7464,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
7465,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
7466,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
7467,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
7468,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
7469,Grassland,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
7470,Grassland,Built-up,Cropland,Non_Water,Non_Wetland,Forest,Forest,Grassland
7471,Grassland,Built-up,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
7472,Grassland,Built-up,Bareland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
7473,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
7474,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
7475,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
7476,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest,Forest
7477,Grassland,Built-up,Built-up,NULL,Non_Wetland,Shrubland,NULL,Forest
7478,Grassland,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Forest,Forest
7479,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
7480,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
7481,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
7482,Grassland,Built-up,Built-up,NULL,Non_Wetland,Forest,NULL,Forest
7483,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
7484,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
7485,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
7486,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
7487,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
7488,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
7489,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,NULL
7490,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Grassland
7491,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Built-up
7492,Grassland,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
7493,Grassland,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
7494,Grassland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
7495,Grassland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
7496,Grassland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7497,Grassland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Bareland,Built-up
7498,Grassland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,Grassland
7499,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
7500,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
7501,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
7502,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,NULL
7503,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
7504,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
7505,Grassland,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
7506,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
7507,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
7508,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
7509,Grassland,Built-up,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
7510,Grassland,Built-up,Forest,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
7511,Grassland,Built-up,Forest,Non_Water,Non_Wetland,Built-up,Forest,Forest
7512,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
7513,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Shrubland,Wetland
7514,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
7515,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
7516,Grassland,Water,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
7517,Grassland,Water,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
7518,Grassland,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
7519,Grassland,Water,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7520,Grassland,Water,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
7521,Grassland,Water,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
7522,Grassland,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
7523,Grassland,Water,NULL,NULL,Non_Wetland,Water,Forest,Grassland
7524,Grassland,Water,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
7525,Grassland,Water,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
7526,Grassland,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
7527,Grassland,Water,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
7528,Grassland,Water,NULL,Non_Water,Non_Wetland,NULL,Forest,Wetland
7529,Grassland,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
7530,Grassland,Water,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
7531,Grassland,Water,NULL,Non_Water,Non_Wetland,Forest,Water,Wetland
7532,Grassland,Water,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
7533,Grassland,Water,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
7534,Grassland,Water,NULL,Water,Non_Wetland,NULL,Shrubland,Water
7535,Grassland,Water,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
7536,Grassland,Water,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
7537,Grassland,Water,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
7538,Grassland,Water,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
7539,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
7540,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
7541,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
7542,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
7543,Grassland,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
7544,Grassland,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
7545,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
7546,Grassland,Water,Shrubland,Water,Non_Wetland,Shrubland,Water,Grassland
7547,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
7548,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
7549,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
7550,Grassland,Water,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
7551,Grassland,Water,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
7552,Grassland,Water,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
7553,Grassland,Water,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
7554,Grassland,Water,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7555,Grassland,Water,Grassland,NULL,Non_Wetland,Shrubland,Water,Grassland
7556,Grassland,Water,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
7557,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
7558,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
7559,Grassland,Water,Grassland,NULL,Non_Wetland,Water,Shrubland,Grassland
7560,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
7561,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
7562,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
7563,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,Grassland,NULL
7564,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,Forest,Grassland
7565,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,Forest,Wetland
7566,Grassland,Water,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
7567,Grassland,Water,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
7568,Grassland,Water,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
7569,Grassland,Water,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
7570,Grassland,Water,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
7571,Grassland,Water,Grassland,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
7572,Grassland,Water,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
7573,Grassland,Water,Grassland,Non_Water,Non_Wetland,Water,NULL,Grassland
7574,Grassland,Water,Grassland,Non_Water,Non_Wetland,Water,Shrubland,Grassland
7575,Grassland,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Grassland
7576,Grassland,Water,Grassland,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
