Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KGF_M_R
1863,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1864,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1865,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
1866,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
1867,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
1868,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Water
1869,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1870,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Wetland,NULL
1871,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1872,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,NULL
1873,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1874,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
1875,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Water,Grassland
1876,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,NULL
1877,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
1878,NULL,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
1879,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
1880,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1881,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1882,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
1883,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
1884,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1885,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
1886,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1887,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1888,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
1889,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
1890,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1891,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
1892,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1893,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1894,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1895,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1896,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
1897,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1898,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
1899,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1900,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
1901,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
1902,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1903,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1904,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1905,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
1906,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1907,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
1908,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
1909,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
1910,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
1911,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Cropland
1912,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Water
1913,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
1914,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
1915,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1916,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
1917,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Built-up
1918,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1919,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
1920,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1921,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1922,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Wetland
1923,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
1924,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
1925,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
1926,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,NULL
1927,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
1928,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
1929,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Built-up
1930,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Forest
1931,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
1932,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1933,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1934,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
1935,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Built-up
1936,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
1937,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
1938,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
1939,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1940,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
1941,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
1942,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Built-up
1943,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
1944,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
1945,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Water,Grassland
1946,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,NULL
1947,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
1948,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
1949,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
1950,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
1951,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
1952,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Water
1953,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
1954,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Shrubland,NULL
1955,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1956,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
1957,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
1958,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1959,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
1960,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
1961,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
1962,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1963,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
1964,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
1965,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
1966,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
1967,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1968,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1969,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
1970,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
1971,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1972,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1973,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1974,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1975,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Water
1976,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1977,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Built-up
1978,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
1979,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1980,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
1981,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1982,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1983,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
1984,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
1985,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1986,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1987,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
1988,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
1989,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
1990,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
1991,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1992,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Cropland
1993,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Forest
1994,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
1995,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1996,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
1997,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
1998,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
1999,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
2000,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
2001,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
2002,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
2003,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2004,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
2005,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
2006,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
2007,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Forest,NULL
2008,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
2009,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Forest,Cropland
2010,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Forest,Forest
2011,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,Forest,Water
2012,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
2013,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
2014,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
2015,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Bareland
2016,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Built-up
2017,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
2018,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Grassland
2019,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
2020,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
2021,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
2022,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
2023,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Bareland
2024,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
2025,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Wetland,NULL
2026,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Bareland,Cropland
2027,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Built-up,Cropland
2028,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Water,Grassland
2029,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Water,Water
2030,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
2031,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
2032,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Cropland
2033,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Bareland
2034,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
2035,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
2036,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
2037,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
2038,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
2039,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Forest
2040,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
2041,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Forest,Grassland
2042,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,Forest,Forest
2043,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2044,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2045,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
2046,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
2047,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
2048,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
2049,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
2050,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,Forest,Forest
2051,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
2052,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
2053,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Grassland,Cropland
2054,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Grassland,Bareland
2055,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Grassland,Water
2056,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Water,Grassland
2057,NULL,Cropland,Cropland,Water,Non_Wetland,Shrubland,Water,Grassland
2058,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
2059,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland,Water,Bareland
2060,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
2061,NULL,Cropland,Wetland,NULL,Wetland,NULL,Grassland,Grassland
2062,NULL,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Grassland
2063,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
2064,NULL,Cropland,Wetland,NULL,Wetland,Cropland,NULL,Cropland
2065,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
2066,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
2067,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
2068,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
2069,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland,Grassland
2070,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland,Forest
2071,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Bareland,Grassland
2072,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
2073,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
2074,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
2075,NULL,Cropland,Wetland,Non_Water,Wetland,Forest,NULL,Grassland
2076,NULL,Cropland,Wetland,Water,Wetland,NULL,Grassland,Grassland
2077,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
2078,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
2079,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
2080,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
2081,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
2082,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
2083,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,NULL
2084,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
2085,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Cropland
2086,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Forest
2087,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
2088,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
2089,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
2090,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
2091,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
2092,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
2093,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
2094,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
2095,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Cropland
2096,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
2097,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
2098,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
2099,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
2100,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Bareland
2101,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
2102,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
2103,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
2104,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Water,Built-up
2105,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Forest,NULL
2106,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Forest,Grassland
2107,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Forest,Bareland
2108,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Forest,Forest
2109,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,NULL
2110,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
2111,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2112,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2113,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
2114,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
2115,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
2116,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
2117,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
2118,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2119,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
2120,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
2121,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
2122,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
2123,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
2124,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
2125,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
2126,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
2127,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Forest,Built-up
2128,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,NULL
2129,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
2130,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
2131,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Built-up
2132,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
2133,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Cropland
2134,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Bareland
2135,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Built-up
2136,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Forest
2137,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Bareland,Cropland
2138,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Bareland,Bareland
2139,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Bareland,Built-up
2140,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
2141,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
2142,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
2143,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Water
2144,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
2145,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2146,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2147,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2148,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Forest
2149,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
2150,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
2151,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
2152,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
2153,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
2154,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
2155,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
2156,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
2157,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
2158,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
2159,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
2160,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
2161,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
2162,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
2163,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
2164,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Grassland
2165,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Built-up
2166,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
2167,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
2168,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
2169,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
2170,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
2171,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Bareland,Cropland
2172,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
2173,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
2174,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
2175,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
2176,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
2177,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
2178,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest,NULL,Forest
2179,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest,Grassland,Forest
