Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVT_M_R
227,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
228,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
229,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
230,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
231,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
232,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
233,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
234,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
235,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
236,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
237,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
238,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
239,NULL,Built-up,Built-up,Water,Non_Wetland,Water
240,NULL,Built-up,Water,Non_Water,Water,Grassland
241,NULL,Built-up,Water,Non_Water,Water,Built-up
242,NULL,Built-up,Water,Water,Water,Built-up
243,NULL,Built-up,Water,Water,Water,Water
244,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
245,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
246,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
247,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
248,NULL,Built-up,Forest,NULL,Non_Wetland,Water
249,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
250,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
251,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
252,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
253,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
254,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
255,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
256,NULL,Built-up,Forest,Water,Non_Wetland,Water
257,NULL,Built-up,Forest,Water,Non_Wetland,Forest
258,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
259,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
260,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
261,NULL,Water,Grassland,NULL,Non_Wetland,Forest
262,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
263,NULL,Water,Grassland,Water,Non_Wetland,Water
264,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
265,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
266,NULL,Water,Cropland,NULL,Non_Wetland,Forest
267,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
268,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
269,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
270,NULL,Water,Cropland,Water,Non_Wetland,Grassland
271,NULL,Water,Cropland,Water,Non_Wetland,Bareland
272,NULL,Water,Cropland,Water,Non_Wetland,Water
273,NULL,Water,Cropland,Water,Non_Wetland,Forest
274,NULL,Water,Wetland,NULL,Wetland,Grassland
275,NULL,Water,Wetland,NULL,Wetland,Water
276,NULL,Water,Wetland,NULL,Wetland,Forest
277,NULL,Water,Wetland,Non_Water,Wetland,Grassland
278,NULL,Water,Wetland,Non_Water,Wetland,Water
279,NULL,Water,Wetland,Non_Water,Wetland,Forest
280,NULL,Water,Wetland,Water,Wetland,Grassland
281,NULL,Water,Wetland,Water,Wetland,Wetland
282,NULL,Water,Wetland,Water,Wetland,Built-up
283,NULL,Water,Wetland,Water,Wetland,Water
284,NULL,Water,Wetland,Water,Wetland,Forest
285,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
286,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
287,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
288,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
289,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
290,NULL,Water,Bareland,Water,Non_Wetland,Water
291,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
292,NULL,Water,Built-up,Water,Non_Wetland,Water
293,NULL,Water,Water,NULL,Water,Forest
294,NULL,Water,Water,Non_Water,Water,Grassland
295,NULL,Water,Water,Non_Water,Water,Forest
296,NULL,Water,Water,Water,Water,Grassland
297,NULL,Water,Water,Water,Water,Water
298,NULL,Water,Water,Water,Water,Forest
299,NULL,Water,Forest,NULL,Non_Wetland,Grassland
300,NULL,Water,Forest,NULL,Non_Wetland,Bareland
301,NULL,Water,Forest,NULL,Non_Wetland,Built-up
302,NULL,Water,Forest,NULL,Non_Wetland,Water
303,NULL,Water,Forest,NULL,Non_Wetland,Forest
304,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
305,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
306,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
307,NULL,Water,Forest,Water,Non_Wetland,Water
308,NULL,Water,Forest,Water,Non_Wetland,Forest
309,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
310,NULL,Forest,NULL,NULL,Non_Wetland,Forest
311,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
312,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
313,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
314,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
315,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
316,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
317,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
318,NULL,Forest,Cropland,Non_Water,Non_Wetland,Bareland
319,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
320,NULL,Forest,Cropland,Water,Non_Wetland,Water
321,NULL,Forest,Wetland,NULL,Wetland,Grassland
322,NULL,Forest,Wetland,NULL,Wetland,Forest
323,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
324,NULL,Forest,Wetland,Non_Water,Wetland,Water
325,NULL,Forest,Wetland,Non_Water,Wetland,Forest
326,NULL,Forest,Wetland,Water,Wetland,Grassland
327,NULL,Forest,Wetland,Water,Wetland,Water
328,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
329,NULL,Forest,Water,NULL,Water,Forest
330,NULL,Forest,Water,Non_Water,Water,Forest
331,NULL,Forest,Water,Water,Water,Grassland
332,NULL,Forest,Water,Water,Water,Water
333,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
334,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
335,NULL,Forest,Forest,NULL,Non_Wetland,Forest
336,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
337,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
338,NULL,Forest,Forest,Water,Non_Wetland,Grassland
339,NULL,Forest,Forest,Water,Non_Wetland,Forest
340,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
341,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
342,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
343,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
344,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
345,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
346,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
347,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
348,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
349,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
350,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
351,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
352,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
353,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
354,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
355,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
356,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
357,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
358,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water
359,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
360,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
361,Grassland,NULL,Cropland,Water,Non_Wetland,Water
362,Grassland,NULL,Wetland,NULL,Wetland,Grassland
363,Grassland,NULL,Wetland,NULL,Wetland,Wetland
364,Grassland,NULL,Wetland,NULL,Wetland,Water
365,Grassland,NULL,Wetland,NULL,Wetland,Forest
366,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
367,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
368,Grassland,NULL,Wetland,Non_Water,Wetland,Water
369,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
370,Grassland,NULL,Wetland,Water,Wetland,Grassland
371,Grassland,NULL,Wetland,Water,Wetland,Cropland
372,Grassland,NULL,Wetland,Water,Wetland,Wetland
373,Grassland,NULL,Wetland,Water,Wetland,Water
374,Grassland,NULL,Wetland,Water,Wetland,Forest
375,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
376,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
377,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
378,Grassland,NULL,Bareland,Water,Non_Wetland,Water
379,Grassland,NULL,Water,NULL,Water,Grassland
380,Grassland,NULL,Water,NULL,Water,Wetland
381,Grassland,NULL,Water,NULL,Water,Water
382,Grassland,NULL,Water,NULL,Water,Forest
383,Grassland,NULL,Water,Non_Water,Water,Grassland
384,Grassland,NULL,Water,Non_Water,Water,Wetland
385,Grassland,NULL,Water,Non_Water,Water,Water
386,Grassland,NULL,Water,Water,Water,Grassland
387,Grassland,NULL,Water,Water,Water,Wetland
388,Grassland,NULL,Water,Water,Water,Water
389,Grassland,NULL,Water,Water,Water,Forest
390,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
391,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
392,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
393,Grassland,NULL,Forest,NULL,Non_Wetland,Water
394,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
395,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
396,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
397,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
398,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
399,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
400,Grassland,NULL,Forest,Water,Non_Wetland,Water
401,Grassland,NULL,Forest,Water,Non_Wetland,Forest
402,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
403,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
404,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
405,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
406,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
407,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
408,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland
409,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
410,Grassland,Cropland,Wetland,NULL,Wetland,Forest
411,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
412,Grassland,Cropland,Wetland,Non_Water,Wetland,Forest
413,Grassland,Cropland,Wetland,Water,Wetland,Grassland
414,Grassland,Cropland,Wetland,Water,Wetland,Water
415,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
416,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
417,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
418,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
419,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland
420,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
421,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
422,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Water
423,Grassland,Wetland,Cropland,Water,Non_Wetland,Grassland
424,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
425,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
426,Grassland,Wetland,Wetland,NULL,Wetland,Water
427,Grassland,Wetland,Wetland,NULL,Wetland,Forest
428,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
429,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
430,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
431,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
432,Grassland,Wetland,Wetland,Water,Wetland,Grassland
433,Grassland,Wetland,Wetland,Water,Wetland,Water
434,Grassland,Wetland,Wetland,Water,Wetland,Forest
435,Grassland,Wetland,Water,Non_Water,Water,Water
436,Grassland,Wetland,Water,Water,Water,Grassland
437,Grassland,Wetland,Water,Water,Water,Wetland
438,Grassland,Wetland,Water,Water,Water,Water
