Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MQR_M_R
9078,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9079,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
9080,Grassland,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9081,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
9082,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
9083,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
9084,Grassland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9085,Grassland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9086,Grassland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
9087,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9088,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
9089,Grassland,Built-up,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
9090,Grassland,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
9091,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
9092,Grassland,Water,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9093,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9094,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
9095,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
9096,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
9097,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
9098,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
9099,Grassland,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
9100,Grassland,Water,NULL,NULL,Non_Wetland,Forest,Water,Forest
9101,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9102,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
9103,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9104,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
9105,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
9106,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
9107,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest,Water,Grassland
9108,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest,Water,Water
9109,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest,Water,Forest
9110,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
9111,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
9112,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
9113,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
9114,Grassland,Water,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9115,Grassland,Water,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9116,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9117,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9118,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
9119,Grassland,Water,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
9120,Grassland,Water,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
9121,Grassland,Water,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
9122,Grassland,Water,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
9123,Grassland,Water,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
9124,Grassland,Water,Grassland,NULL,Non_Wetland,Forest,Water,Grassland
9125,Grassland,Water,Grassland,NULL,Non_Wetland,Forest,Water,Forest
9126,Grassland,Water,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
9127,Grassland,Water,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
9128,Grassland,Water,Grassland,Water,Non_Wetland,Forest,Forest,Grassland
9129,Grassland,Water,Grassland,Water,Non_Wetland,Forest,Forest,Forest
9130,Grassland,Water,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
9131,Grassland,Water,Cropland,Water,Non_Wetland,Grassland,Forest,Grassland
9132,Grassland,Water,Wetland,NULL,Wetland,Wetland,NULL,Wetland
9133,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
9134,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
9135,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
9136,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Water
9137,Grassland,Water,Wetland,NULL,Wetland,Wetland,Forest,Grassland
9138,Grassland,Water,Wetland,NULL,Wetland,Bareland,Forest,Water
9139,Grassland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
9140,Grassland,Water,Wetland,NULL,Wetland,Forest,Forest,Grassland
9141,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
9142,Grassland,Water,Wetland,Water,Wetland,NULL,Water,Wetland
9143,Grassland,Water,Wetland,Water,Wetland,Grassland,Water,Water
9144,Grassland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
9145,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
9146,Grassland,Water,Wetland,Water,Wetland,Forest,Water,Water
9147,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
9148,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland,Forest,Wetland
9149,Grassland,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
9150,Grassland,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
9151,Grassland,Water,Bareland,Water,Non_Wetland,Shrubland,Water,Grassland
9152,Grassland,Water,Built-up,NULL,Non_Wetland,Forest,Wetland,Forest
9153,Grassland,Water,Water,NULL,Water,Forest,Water,Grassland
9154,Grassland,Water,Water,NULL,Water,Forest,Water,Forest
9155,Grassland,Water,Water,NULL,Water,Forest,Forest,Forest
9156,Grassland,Water,Water,Water,Water,Wetland,Water,Wetland
9157,Grassland,Water,Water,Water,Water,Water,Water,Water
9158,Grassland,Water,Water,Water,Water,Forest,Forest,Grassland
9159,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9160,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9161,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
9162,Grassland,Water,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
9163,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9164,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
9165,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Shrubland,Water
9166,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
9167,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Water
9168,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
9169,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
9170,Grassland,Water,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
9171,Grassland,Water,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
9172,Grassland,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
9173,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
9174,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
9175,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
9176,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
9177,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
9178,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
9179,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
9180,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9181,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9182,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
9183,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9184,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
9185,Grassland,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
9186,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
9187,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
9188,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9189,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
9190,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
9191,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
9192,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
9193,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
9194,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
9195,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
9196,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
9197,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
9198,Grassland,Forest,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
9199,Grassland,Forest,NULL,Water,Non_Wetland,Forest,Forest,Forest
9200,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
9201,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9202,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9203,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
9204,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9205,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
9206,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9207,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
9208,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
9209,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
9210,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
9211,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
9212,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
9213,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
9214,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9215,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
9216,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9217,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
9218,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
9219,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
9220,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
9221,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
9222,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
9223,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
9224,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
9225,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
9226,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
9227,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
9228,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
9229,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
9230,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
9231,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
9232,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9233,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9234,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9235,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9236,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
9237,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
9238,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
9239,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
9240,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
9241,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
9242,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
9243,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9244,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
9245,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
9246,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9247,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
9248,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
9249,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
9250,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
9251,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
9252,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
9253,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
9254,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Cropland
9255,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
9256,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Shrubland,NULL
9257,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
9258,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
9259,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
9260,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
9261,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Cropland
9262,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
9263,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
9264,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
9265,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Cropland
9266,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
9267,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
9268,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
9269,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
9270,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Forest,Forest,Grassland
9271,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Forest,Forest,Forest
9272,Grassland,Forest,Grassland,Water,Non_Wetland,Grassland,Shrubland,Grassland
9273,Grassland,Forest,Grassland,Water,Non_Wetland,Forest,Forest,Forest
9274,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
9275,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
9276,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
9277,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
9278,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
9279,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9280,Grassland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
9281,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
9282,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
9283,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
9284,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
9285,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
9286,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
9287,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
9288,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Water
9289,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Water,Grassland
9290,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Water,Wetland
9291,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Grassland
9292,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Wetland
9293,Grassland,Forest,Wetland,NULL,Wetland,Forest,Forest,Grassland
9294,Grassland,Forest,Wetland,NULL,Wetland,Forest,Forest,Wetland
9295,Grassland,Forest,Wetland,Non_Water,Wetland,Forest,Grassland,Forest
9296,Grassland,Forest,Wetland,Non_Water,Wetland,Forest,Forest,Grassland
9297,Grassland,Forest,Wetland,Water,Wetland,Shrubland,Forest,Forest
9298,Grassland,Forest,Wetland,Water,Wetland,Wetland,Forest,Grassland
9299,Grassland,Forest,Wetland,Water,Wetland,Forest,Water,Grassland
9300,Grassland,Forest,Wetland,Water,Wetland,Forest,Forest,Grassland
9301,Grassland,Forest,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9302,Grassland,Forest,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9303,Grassland,Forest,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9304,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
9305,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
9306,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,Wetland
9307,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,Water
9308,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
9309,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Forest,Forest,Forest
9310,Grassland,Forest,Bareland,Water,Non_Wetland,Forest,Forest,Forest
9311,Grassland,Forest,Water,NULL,Water,Forest,Forest,Forest
9312,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
9313,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
9314,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
9315,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
9316,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
9317,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
9318,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
9319,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
9320,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,NULL
9321,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
9322,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
9323,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
9324,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
9325,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9326,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9327,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9328,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
9329,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9330,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
9331,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
9332,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
9333,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
9334,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
9335,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
9336,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
9337,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
9338,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9339,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
9340,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
9341,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
9342,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
9343,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
9344,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
9345,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
9346,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,NULL
9347,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
9348,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
9349,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
9350,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
9351,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
9352,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
9353,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
9354,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
9355,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,NULL
9356,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
9357,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
9358,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
9359,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
9360,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
9361,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
9362,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
9363,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
9364,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
9365,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
9366,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Cropland
9367,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Wetland
9368,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
9369,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland,Forest,Wetland
9370,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
9371,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Forest
9372,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
9373,Grassland,Forest,Forest,Water,Non_Wetland,NULL,Grassland,Wetland
9374,Grassland,Forest,Forest,Water,Non_Wetland,Forest,Shrubland,Grassland
9375,Grassland,Forest,Forest,Water,Non_Wetland,Forest,Forest,Forest
9376,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
9377,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
9378,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
9379,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
9380,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
9381,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
9382,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
9383,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
9384,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
9385,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
9386,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
9387,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
9388,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
9389,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
9390,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
9391,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
9392,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
9393,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
9394,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9395,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9396,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9397,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
9398,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9399,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
9400,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
9401,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
9402,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
9403,Cropland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
