Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NCB_M_R
58,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
59,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
60,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
66,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
67,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
73,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
74,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
75,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
76,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
77,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
79,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
80,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
81,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
83,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
84,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
86,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
87,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
88,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
89,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
90,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
91,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
93,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
94,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
95,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
96,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
97,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
98,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
99,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
100,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
101,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
102,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
103,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
104,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
105,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
106,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
107,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
109,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
110,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland,NULL,Forest
111,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
112,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
113,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
114,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
115,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
116,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
117,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
118,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
119,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
120,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Built-up
123,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
124,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
126,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
127,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
128,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
129,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
130,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
131,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
132,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
133,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
134,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
135,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
136,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
138,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
140,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Built-up
141,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
142,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
143,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
144,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
145,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
146,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
147,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
148,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
149,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
151,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
152,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
154,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,NULL,Water
155,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
157,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
158,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
160,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
161,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
162,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
163,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
164,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
165,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
166,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
167,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
168,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
170,NULL,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
171,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
174,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
176,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
177,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
178,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
179,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
180,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
181,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
182,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
184,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
187,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
188,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
189,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
190,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
191,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
192,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
193,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
194,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
195,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
196,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
197,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
198,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
199,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
200,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
201,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
202,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
203,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
204,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
205,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
206,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
207,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
208,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
209,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
210,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
211,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
212,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
213,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
214,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
215,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
216,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
217,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
218,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
219,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
220,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
221,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
222,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
223,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
224,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
225,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
226,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
227,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
228,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
229,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
230,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
231,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
232,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
233,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
234,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
235,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
236,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
237,Grassland,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
238,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
239,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
240,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
241,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
242,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
243,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
244,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
245,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
246,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
247,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
248,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
249,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
250,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
251,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
252,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
253,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
254,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
255,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
256,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
257,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
258,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
259,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
260,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
261,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
262,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
263,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
264,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
265,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
266,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
267,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
268,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
269,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
270,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
271,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
272,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
273,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
274,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
275,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
276,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
277,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
278,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
279,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
280,Cropland,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
281,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
282,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
283,Cropland,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
284,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
285,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
286,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
287,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
288,Wetland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
289,Wetland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
290,Wetland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
291,Wetland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
292,Wetland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
293,Wetland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
294,Wetland,Water,Grassland,Water,Non_Wetland,Water,NULL,Water
295,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
296,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
297,Wetland,Water,Wetland,NULL,Wetland,Water,NULL,Water
298,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
299,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
300,Wetland,Water,Wetland,Non_Water,Wetland,Water,NULL,Forest
301,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
302,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
303,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
304,Wetland,Water,Wetland,Water,Wetland,Water,NULL,Water
305,Wetland,Water,Wetland,Water,Wetland,Water,NULL,Forest
306,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
307,Wetland,Water,Water,Water,Water,NULL,NULL,Water
308,Wetland,Water,Water,Water,Water,Water,NULL,Water
309,Wetland,Water,Water,Water,Water,Forest,NULL,Forest
310,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
311,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
312,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
313,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
314,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
315,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
316,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
317,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
318,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
319,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
320,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
321,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
322,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
323,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
324,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
325,Water,NULL,Water,Water,Water,NULL,NULL,Forest
326,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
327,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
328,Water,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
329,Water,Wetland,Water,NULL,Water,NULL,NULL,Grassland
330,Water,Wetland,Water,Water,Water,NULL,NULL,Water
331,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
332,Water,Bareland,Water,Water,Water,NULL,NULL,Water
333,Water,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
334,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
335,Water,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
336,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
337,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
338,Water,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
