Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LXK_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Water
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
116,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
119,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
141,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
142,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
143,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Forest
144,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
145,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Bareland
146,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
147,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
148,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
149,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Cropland
150,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
151,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
152,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
153,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Water
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Water
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Wetland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
302,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
303,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
304,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
305,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Shrubland,Grassland
306,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Shrubland,Water
307,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
308,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
309,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
310,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
312,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
314,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,NULL
315,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
316,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
319,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
320,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
