Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKN_M_R
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
110,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
111,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
112,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
113,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
114,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland
115,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
116,NULL,Built-up,Wetland,NULL,Wetland,NULL,Forest
117,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Grassland
118,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
119,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up
120,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest
121,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland
122,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland
123,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up
124,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
125,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Forest
126,NULL,Water,NULL,NULL,Non_Wetland,NULL,Forest
127,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
128,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland
129,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water
130,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL
131,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Grassland
132,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Bareland
133,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Water
134,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Forest
135,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL
136,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,Grassland
137,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,Forest
138,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL
139,NULL,Water,Grassland,Water,Non_Wetland,NULL,Water
140,NULL,Water,Grassland,Water,Non_Wetland,NULL,Forest
141,NULL,Water,Wetland,NULL,Wetland,NULL,Grassland
142,NULL,Water,Wetland,NULL,Wetland,NULL,Water
143,NULL,Water,Wetland,NULL,Wetland,NULL,Forest
144,NULL,Water,Wetland,Non_Water,Wetland,NULL,Wetland
145,NULL,Water,Wetland,Non_Water,Wetland,NULL,Water
146,NULL,Water,Wetland,Water,Wetland,NULL,NULL
147,NULL,Water,Wetland,Water,Wetland,NULL,Grassland
148,NULL,Water,Wetland,Water,Wetland,NULL,Water
149,NULL,Water,Bareland,NULL,Non_Wetland,NULL,Bareland
150,NULL,Water,Bareland,Water,Non_Wetland,NULL,Water
151,NULL,Water,Water,NULL,Water,NULL,Grassland
152,NULL,Water,Water,NULL,Water,NULL,Water
153,NULL,Water,Water,NULL,Water,NULL,Forest
154,NULL,Water,Water,Non_Water,Water,NULL,Water
155,NULL,Water,Water,Non_Water,Water,NULL,Forest
156,NULL,Water,Water,Water,Water,NULL,Wetland
157,NULL,Water,Water,Water,Water,NULL,Water
158,NULL,Water,Water,Water,Water,NULL,Forest
159,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL
160,NULL,Water,Forest,NULL,Non_Wetland,NULL,Grassland
161,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water
162,NULL,Water,Forest,NULL,Non_Wetland,NULL,Forest
163,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Grassland
164,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Water
165,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Forest
166,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL
167,NULL,Water,Forest,Water,Non_Wetland,NULL,Water
168,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest
169,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL
170,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
171,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Water
172,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
173,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
174,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
175,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Water
176,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,Grassland
177,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,Water
178,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL
179,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
180,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland
181,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Water
182,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
183,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL
184,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,Grassland
185,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,Forest
186,NULL,Forest,Grassland,Water,Non_Wetland,NULL,Forest
187,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
188,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland
189,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
190,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,Forest
191,NULL,Forest,Cropland,Water,Non_Wetland,NULL,Forest
192,NULL,Forest,Wetland,NULL,Wetland,NULL,Grassland
193,NULL,Forest,Wetland,NULL,Wetland,NULL,Bareland
194,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest
195,NULL,Forest,Wetland,Non_Water,Wetland,NULL,Forest
196,NULL,Forest,Wetland,Water,Wetland,NULL,Grassland
197,NULL,Forest,Wetland,Water,Wetland,NULL,Water
198,NULL,Forest,Wetland,Water,Wetland,NULL,Forest
199,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Grassland
200,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Forest
201,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL
202,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest
203,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,Forest
204,NULL,Forest,Water,NULL,Water,NULL,Forest
205,NULL,Forest,Water,Water,Water,NULL,Grassland
206,NULL,Forest,Water,Water,Water,NULL,Water
207,NULL,Forest,Water,Water,Water,NULL,Forest
208,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL
209,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
210,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland
211,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Water
212,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest
213,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Grassland
214,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest
215,NULL,Forest,Forest,Water,Non_Wetland,NULL,Forest
216,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
217,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland
218,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest
219,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
220,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
221,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
222,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
223,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
224,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
225,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
226,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
227,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
228,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
229,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
230,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
231,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
232,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
233,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
234,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Forest
235,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
236,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
237,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Forest
238,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL
239,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland
240,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland
241,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest
242,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
243,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
244,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Forest
245,Grassland,NULL,Wetland,Water,Wetland,NULL,Grassland
246,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland
247,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
248,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
249,Grassland,NULL,Water,NULL,Water,NULL,NULL
250,Grassland,NULL,Water,NULL,Water,NULL,Grassland
251,Grassland,NULL,Water,NULL,Water,NULL,Wetland
252,Grassland,NULL,Water,NULL,Water,NULL,Forest
253,Grassland,NULL,Water,Water,Water,NULL,Grassland
254,Grassland,NULL,Water,Water,Water,NULL,Wetland
255,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL
256,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
257,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
258,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
259,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
260,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
261,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
262,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Grassland
263,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Wetland
264,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Forest
265,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
266,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
267,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Grassland
268,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Forest
269,Grassland,Wetland,Water,NULL,Water,NULL,Forest
270,Grassland,Wetland,Water,Water,Water,NULL,Grassland
271,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
272,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
273,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
274,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland
275,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland
276,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
277,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Forest
278,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,Grassland
279,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,Grassland
280,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,Forest
281,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,Grassland
282,Grassland,Water,Wetland,NULL,Wetland,NULL,Grassland
283,Grassland,Water,Wetland,NULL,Wetland,NULL,Water
284,Grassland,Water,Wetland,NULL,Wetland,NULL,Forest
285,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,Grassland
286,Grassland,Water,Built-up,NULL,Non_Wetland,NULL,Forest
287,Grassland,Water,Water,Non_Water,Water,NULL,Water
288,Grassland,Water,Water,Water,Water,NULL,Water
289,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Grassland
290,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Water
291,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Forest
292,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Forest
293,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
294,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
295,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
296,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Forest
297,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL
298,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
299,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
300,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
301,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
302,Grassland,Forest,Wetland,NULL,Wetland,NULL,Grassland
303,Grassland,Forest,Wetland,NULL,Wetland,NULL,Forest
304,Grassland,Forest,Wetland,Water,Wetland,NULL,Grassland
305,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,Forest
306,Grassland,Forest,Water,Non_Water,Water,NULL,Forest
307,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
308,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest
309,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest
310,Grassland,Forest,Forest,Water,Non_Wetland,NULL,Grassland
311,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
312,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
313,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
314,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
315,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
316,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
317,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
318,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
319,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
320,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
321,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
322,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
323,Cropland,NULL,Wetland,NULL,Wetland,NULL,Grassland
324,Cropland,NULL,Wetland,NULL,Wetland,NULL,Forest
325,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
326,Cropland,NULL,Wetland,Water,Wetland,NULL,Grassland
327,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
328,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
329,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL
330,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
331,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
332,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
333,Cropland,NULL,Forest,Water,Non_Wetland,NULL,Wetland
334,Cropland,Wetland,Water,Water,Water,NULL,Grassland
335,Cropland,Wetland,Water,Water,Water,NULL,Wetland
336,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
337,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
338,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
339,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
340,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up
341,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
342,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
343,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
344,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest
345,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland
346,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
347,Cropland,Water,Wetland,NULL,Wetland,NULL,Grassland
348,Cropland,Water,Wetland,NULL,Wetland,NULL,Water
349,Cropland,Water,Wetland,NULL,Wetland,NULL,Forest
350,Cropland,Water,Wetland,Non_Water,Wetland,NULL,Water
351,Cropland,Water,Water,NULL,Water,NULL,Grassland
352,Cropland,Water,Water,Water,Water,NULL,Grassland
353,Cropland,Water,Water,Water,Water,NULL,Wetland
354,Cropland,Water,Water,Water,Water,NULL,Water
355,Cropland,Water,Water,Water,Water,NULL,Forest
356,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL
357,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Grassland
358,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Wetland
359,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Water
360,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Forest
361,Cropland,Water,Forest,Water,Non_Wetland,NULL,Grassland
362,Cropland,Water,Forest,Water,Non_Wetland,NULL,Water
363,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
364,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
365,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
366,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL
367,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
368,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
369,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL,Grassland
370,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
371,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
372,Cropland,Forest,Wetland,NULL,Wetland,NULL,Grassland
373,Cropland,Forest,Wetland,NULL,Wetland,NULL,Water
374,Cropland,Forest,Wetland,NULL,Wetland,NULL,Forest
375,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,Grassland
376,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,Forest
377,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,Forest
378,Cropland,Forest,Water,NULL,Water,NULL,Forest
379,Cropland,Forest,Water,Water,Water,NULL,Forest
380,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL
381,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
382,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Bareland
383,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest
384,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
385,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland
386,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,Forest
387,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
388,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest
