Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKV_M_R
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
36,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
38,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
41,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
42,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
44,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
46,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Bareland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
52,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,Forest
53,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
55,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
56,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
57,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
58,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
59,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
60,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
61,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
62,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
63,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
65,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
66,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Bareland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
68,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
69,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Bareland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
71,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
72,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
73,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
75,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
76,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Forest,Grassland
77,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Forest,Bareland
78,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
79,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Forest,Forest
80,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Forest,Grassland
81,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Forest,Grassland
82,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
83,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
84,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
85,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
86,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
87,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Built-up
88,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
89,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
90,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Built-up
91,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
92,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
93,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
94,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
95,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
96,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
97,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
98,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
99,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
100,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
101,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
102,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
103,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
104,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
105,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Built-up
110,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
111,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
112,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
113,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
114,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
115,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
116,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
117,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
118,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
119,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
120,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
121,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
122,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
123,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
124,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
125,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
126,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
127,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
128,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
129,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
130,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Forest,Built-up
131,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
132,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Bareland,Forest
133,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Bareland
134,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Built-up
135,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
136,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
137,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
138,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
139,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
140,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
141,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
142,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
143,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
144,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Built-up
145,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Forest
146,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
147,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
148,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
149,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
150,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
151,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
152,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
153,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Grassland
154,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
155,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Forest
156,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Built-up
157,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
158,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Water,Built-up
159,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Water,Forest
160,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
161,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Bareland,Forest
162,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Bareland
163,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Built-up
164,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
165,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
166,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Built-up
167,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
168,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
169,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
170,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
171,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Built-up
172,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
173,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
174,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
175,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
176,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
177,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
178,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
179,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
180,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
181,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
182,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
183,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
184,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
185,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
186,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
187,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
188,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Forest,Built-up
189,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
190,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
191,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
192,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
193,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
194,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
195,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
196,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
197,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
198,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Forest,Grassland
199,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
200,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
201,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
202,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
203,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
204,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
205,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
206,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
207,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
208,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
209,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
210,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
211,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
212,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
213,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
214,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
215,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
216,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
217,Grassland,Forest,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
218,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
219,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
220,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
221,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
222,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
223,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
224,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
225,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
226,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
227,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
228,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
229,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
230,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
231,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
232,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
233,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
234,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
235,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
236,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
237,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
238,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
239,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
240,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
241,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
242,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
243,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
244,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
245,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
246,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
247,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
248,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
249,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
250,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
251,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
252,Cropland,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
253,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
254,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
255,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
256,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
257,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
258,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
259,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
260,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
261,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
262,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
263,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
264,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
265,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
266,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
267,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
268,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
269,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Bareland
270,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
271,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
272,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
273,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
274,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
275,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
276,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
277,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
278,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Water
279,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
280,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
281,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
282,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Forest
283,Bareland,Water,Water,Non_Water,Water,Bareland,Water,Forest
284,Bareland,Water,Water,Water,Water,Water,Water,Water
285,Bareland,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
286,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
287,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
288,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
289,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
290,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
291,Water,Water,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
292,Water,Water,NULL,NULL,Non_Wetland,Grassland,Water,Water
293,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
294,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
295,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
296,Water,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
297,Water,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
298,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
299,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
300,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
301,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
302,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
303,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
304,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
305,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
306,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
307,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
308,Water,Water,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Water
309,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
310,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
311,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
312,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
313,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
314,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
315,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
316,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
317,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Water
318,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
319,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
320,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
321,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
322,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
323,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
