Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLV_M_R
93,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
94,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
95,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
96,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
97,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
98,Wetland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
99,Wetland,NULL,Water,Water,Water,Water,Water,Grassland
100,Wetland,NULL,Water,Water,Water,Water,Water,Water
101,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
102,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
103,Wetland,Wetland,Grassland,Water,Non_Wetland,Water,Water,Grassland
104,Wetland,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
105,Wetland,Wetland,Water,NULL,Water,Wetland,Water,Grassland
106,Wetland,Wetland,Water,Water,Water,Water,Water,Grassland
107,Wetland,Wetland,Water,Water,Water,Water,Water,Wetland
108,Wetland,Wetland,Water,Water,Water,Water,Water,Water
109,Wetland,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
110,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
111,Wetland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
112,Wetland,Water,Water,Water,Water,Wetland,Wetland,Grassland
113,Wetland,Water,Water,Water,Water,Wetland,Wetland,Water
114,Wetland,Water,Water,Water,Water,Wetland,Water,Water
115,Wetland,Water,Water,Water,Water,Water,Wetland,Water
116,Wetland,Water,Water,Water,Water,Water,Water,Grassland
117,Wetland,Water,Water,Water,Water,Water,Water,Wetland
118,Wetland,Water,Water,Water,Water,Water,Water,Water
119,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
120,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
121,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
122,Wetland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
123,Wetland,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
124,Wetland,Forest,Bareland,Water,Non_Wetland,Water,Water,Water
125,Wetland,Forest,Water,Water,Water,Wetland,Water,Grassland
126,Wetland,Forest,Water,Water,Water,Water,Water,Water
127,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Water
128,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Water,Water
129,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Grassland
130,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
131,Bareland,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
132,Bareland,Water,Wetland,Water,Wetland,Grassland,Water,Water
133,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
134,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
135,Bareland,Water,Water,Water,Water,Bareland,Wetland,Water
136,Bareland,Water,Water,Water,Water,Bareland,Water,Water
137,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
138,Water,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
139,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
140,Water,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
141,Water,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
142,Water,NULL,Water,Water,Water,Water,Wetland,Wetland
143,Water,NULL,Water,Water,Water,Water,Wetland,Water
144,Water,NULL,Water,Water,Water,Water,Water,Wetland
145,Water,NULL,Water,Water,Water,Water,Water,Water
146,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
147,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
148,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
149,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
150,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
151,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
152,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Water
153,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
154,Water,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
155,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
156,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
157,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
158,Water,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
159,Water,Wetland,Water,NULL,Water,Water,Water,Water
160,Water,Wetland,Water,NULL,Water,Water,Water,Forest
161,Water,Wetland,Water,Water,Water,Water,Water,Water
162,Water,Wetland,Water,Water,Water,Water,Water,Forest
163,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Water
164,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
165,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Water
166,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
167,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
168,Water,Water,NULL,NULL,Non_Wetland,Grassland,Water,Water
169,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
170,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
171,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
172,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Water
173,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
174,Water,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Water
175,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
176,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
177,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
178,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
179,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
180,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
181,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
182,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
183,Water,Water,NULL,NULL,Non_Wetland,Forest,Water,Forest
184,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Water
185,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
186,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
187,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
188,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
189,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
190,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
191,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
192,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
193,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
194,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
195,Water,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Water
196,Water,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
197,Water,Water,NULL,Water,Non_Wetland,Wetland,Water,Water
198,Water,Water,NULL,Water,Non_Wetland,Wetland,Water,Forest
199,Water,Water,NULL,Water,Non_Wetland,Bareland,Water,Water
200,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
201,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
202,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
203,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
204,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Water
205,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
206,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
207,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Water
208,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
209,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
210,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
211,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
212,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
213,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
214,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
215,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
216,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
217,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
218,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
219,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
220,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
221,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Water
222,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
223,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
224,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
225,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
226,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
227,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
228,Water,Water,Shrubland,Water,Non_Wetland,NULL,Water,Forest
229,Water,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
230,Water,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
231,Water,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Water
232,Water,Water,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
233,Water,Water,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
234,Water,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
235,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
236,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
237,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
238,Water,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
239,Water,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
240,Water,Water,Grassland,NULL,Non_Wetland,NULL,Water,Forest
241,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Water,Wetland
242,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
243,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
244,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Water
245,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
246,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Forest,Water
247,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
248,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
249,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
250,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
251,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
252,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
253,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
254,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
255,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Water
256,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Forest
257,Water,Water,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Water
258,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
259,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
260,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
261,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
262,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Water,Water
263,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
264,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
265,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
266,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
267,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
268,Water,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
269,Water,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
270,Water,Water,Grassland,Water,Non_Wetland,Wetland,Water,Water
271,Water,Water,Grassland,Water,Non_Wetland,Wetland,Water,Forest
272,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
273,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
274,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
275,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
276,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
277,Water,Water,Grassland,Water,Non_Wetland,Water,Forest,Forest
278,Water,Water,Cropland,NULL,Non_Wetland,Wetland,Water,Forest
279,Water,Water,Cropland,Water,Non_Wetland,Water,Water,Water
280,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
281,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
282,Water,Water,Wetland,NULL,Wetland,NULL,Water,Wetland
283,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
284,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
285,Water,Water,Wetland,NULL,Wetland,Grassland,Grassland,Forest
286,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
287,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Water
288,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
289,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
290,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
291,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
292,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
293,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
294,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
295,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Water
296,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
297,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Water
298,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
299,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
300,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
301,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
302,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
303,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
304,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
305,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
306,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
307,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
308,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
309,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
310,Water,Water,Wetland,NULL,Wetland,Forest,Water,Forest
311,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
312,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
313,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
314,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
315,Water,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
316,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
317,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
318,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
319,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
320,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
321,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
322,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
323,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
324,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
325,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
326,Water,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
327,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
328,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
329,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
330,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
331,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
332,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
333,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
334,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
335,Water,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Water
336,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Water
337,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
338,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
339,Water,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
340,Water,Water,Wetland,Water,Wetland,Grassland,Water,Water
341,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
342,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
343,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
344,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
345,Water,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
346,Water,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
347,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
348,Water,Water,Wetland,Water,Wetland,Wetland,Water,Forest
349,Water,Water,Wetland,Water,Wetland,Bareland,Wetland,Grassland
350,Water,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
351,Water,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
352,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
353,Water,Water,Wetland,Water,Wetland,Bareland,Water,Forest
354,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
355,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
356,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
357,Water,Water,Wetland,Water,Wetland,Water,Water,Wetland
358,Water,Water,Wetland,Water,Wetland,Water,Water,Water
359,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
360,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
361,Water,Water,Wetland,Water,Wetland,Forest,Wetland,Water
362,Water,Water,Wetland,Water,Wetland,Forest,Water,Water
363,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Wetland,Water
364,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Wetland,Water
