Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LYQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LYQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LYQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LYQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LYQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LYQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LYQ_M_R
48,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
49,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
50,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
51,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
52,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Water,Grassland
53,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
54,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
55,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
56,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Water
57,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
58,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Built-up,Grassland
61,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
63,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
64,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
65,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
66,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
67,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
68,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
69,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Water
70,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
71,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Forest
72,NULL,NULL,Grassland,Water,Non_Wetland,Water,Built-up,Water
73,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
75,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
76,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
77,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
79,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
80,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
81,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
82,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
84,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
85,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
86,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
87,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
88,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
89,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
90,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
91,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
93,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
94,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up,Bareland,Grassland
96,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
97,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Bareland,Forest
99,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
100,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
103,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
104,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,Built-up,Water,Non_Wetland,Water,Grassland,Water
107,NULL,NULL,Water,NULL,Water,Built-up,Bareland,Grassland
108,NULL,NULL,Water,NULL,Water,Built-up,Water,Grassland
109,NULL,NULL,Water,NULL,Water,Built-up,Water,Forest
110,NULL,NULL,Water,Non_Water,Water,Grassland,Bareland,Grassland
111,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Water
112,NULL,NULL,Water,Non_Water,Water,Water,Grassland,Grassland
113,NULL,NULL,Water,Non_Water,Water,Water,Grassland,Water
114,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Bareland
115,NULL,NULL,Water,Non_Water,Water,Water,Bareland,Water
116,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
117,NULL,NULL,Water,Non_Water,Water,Water,Water,Bareland
118,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
119,NULL,NULL,Water,Non_Water,Water,Water,Forest,Grassland
120,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
121,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
122,NULL,NULL,Water,Water,Water,Grassland,Water,Forest
123,NULL,NULL,Water,Water,Water,Water,Grassland,Water
124,NULL,NULL,Water,Water,Water,Water,Built-up,Water
125,NULL,NULL,Water,Water,Water,Water,Water,Bareland
126,NULL,NULL,Water,Water,Water,Water,Water,Water
127,NULL,NULL,Water,Water,Water,Water,Forest,Water
128,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
132,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
133,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
135,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
136,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
137,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
138,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
139,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
140,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
141,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
142,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
143,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
144,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
145,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
146,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
147,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
148,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
149,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
150,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
151,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
152,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Water
153,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
154,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Water,Grassland
155,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,Grassland
156,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
157,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
158,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Water
159,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
161,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
162,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Water
163,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
164,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Water
165,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
166,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
167,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
168,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
169,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
170,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
171,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
172,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
173,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
174,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
175,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
176,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Forest
177,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
178,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Forest
179,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Water
180,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Forest
181,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
182,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
183,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
184,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Forest
185,NULL,NULL,Forest,Water,Non_Wetland,Water,Built-up,Water
186,NULL,NULL,Forest,Water,Non_Wetland,Water,Forest,Water
187,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
188,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
189,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
190,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
191,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Bareland,Forest
192,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
193,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
194,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
195,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
196,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
197,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
198,NULL,Cropland,Grassland,Water,Non_Wetland,Water,Forest,Water
199,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
200,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
201,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
202,NULL,Cropland,Water,NULL,Water,Water,Water,Forest
203,NULL,Cropland,Water,NULL,Water,Water,Forest,Forest
204,NULL,Cropland,Water,Non_Water,Water,Water,Water,Water
205,NULL,Cropland,Water,Water,Water,Water,Wetland,Water
206,NULL,Cropland,Water,Water,Water,Water,Water,Water
207,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
208,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
209,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
210,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
211,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
212,NULL,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Forest
213,NULL,Cropland,Forest,NULL,Non_Wetland,Water,Wetland,Water
214,NULL,Cropland,Forest,NULL,Non_Wetland,Water,Forest,Water
215,NULL,Cropland,Forest,NULL,Non_Wetland,Water,Forest,Forest
216,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
217,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
218,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
219,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
220,NULL,Cropland,Forest,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
221,NULL,Cropland,Forest,Water,Non_Wetland,Water,Forest,Water
222,NULL,Bareland,NULL,Water,Non_Wetland,Water,Water,Water
223,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
224,NULL,Bareland,Water,Non_Water,Water,Grassland,Wetland,Grassland
225,NULL,Bareland,Water,Water,Water,Water,Wetland,Grassland
226,NULL,Bareland,Water,Water,Water,Water,Wetland,Water
227,NULL,Bareland,Water,Water,Water,Water,Wetland,Forest
228,NULL,Bareland,Water,Water,Water,Water,Water,Water
229,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
230,NULL,Bareland,Forest,NULL,Non_Wetland,Water,Grassland,Forest
231,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
232,NULL,Bareland,Forest,Water,Non_Wetland,Water,Water,Water
233,NULL,Bareland,Forest,Water,Non_Wetland,Water,Forest,Water
234,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
236,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
237,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
238,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
239,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
240,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
241,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
242,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Water,Forest
243,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
244,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
245,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
246,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
247,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
248,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
249,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
250,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Grassland,Forest
251,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Bareland,Forest
252,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,Forest
253,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
254,NULL,Built-up,NULL,Water,Non_Wetland,Built-up,Bareland,Forest
255,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
256,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
257,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
259,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
260,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
261,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
262,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
263,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
264,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
265,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
266,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
267,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
268,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Bareland,Bareland
269,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Water,Forest
270,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
271,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Bareland,Forest
272,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Water
273,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
274,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
275,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
277,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
279,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
280,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
281,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
282,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
283,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
284,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
285,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
286,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
287,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
288,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
289,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
290,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
291,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
292,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
293,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
294,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
295,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
296,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,NULL,Forest
297,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
298,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
299,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
300,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
301,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Forest,Forest
302,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
303,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
304,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
305,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
306,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
307,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
308,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up,Bareland,Forest
309,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
310,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Water,Bareland,Grassland
311,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
312,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
313,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
314,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland,Water,Forest
315,NULL,Built-up,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
316,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
317,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
318,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
320,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
321,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
322,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Bareland
323,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
324,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
325,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
326,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
327,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
328,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
329,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
330,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
331,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
332,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
333,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
