Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NVJ_M_R
124,NULL,NULL,Forest,Water,Non_Wetland,Forest
125,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
126,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
127,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
134,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
135,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
136,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
137,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
138,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
139,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
140,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
141,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
142,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
143,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
144,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
145,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
146,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
147,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
148,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
149,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
150,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
151,NULL,Cropland,Grassland,Water,Non_Wetland,Forest
152,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
153,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
154,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
155,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
156,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
157,NULL,Cropland,Cropland,Water,Non_Wetland,Water
158,NULL,Cropland,Wetland,NULL,Wetland,Grassland
159,NULL,Cropland,Wetland,NULL,Wetland,Cropland
160,NULL,Cropland,Wetland,NULL,Wetland,Water
161,NULL,Cropland,Wetland,Water,Wetland,Bareland
162,NULL,Cropland,Wetland,Water,Wetland,Water
163,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
164,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
165,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
166,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
167,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
168,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
169,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
170,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
171,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
172,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
173,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
174,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
175,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
176,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
177,NULL,Cropland,Water,NULL,Water,Grassland
178,NULL,Cropland,Water,NULL,Water,Bareland
179,NULL,Cropland,Water,NULL,Water,Water
180,NULL,Cropland,Water,Non_Water,Water,Grassland
181,NULL,Cropland,Water,Water,Water,Bareland
182,NULL,Cropland,Water,Water,Water,Water
183,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
184,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
185,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
186,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
187,NULL,Cropland,Forest,NULL,Non_Wetland,Water
188,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
189,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
190,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
191,NULL,Cropland,Forest,Non_Water,Non_Wetland,Bareland
192,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
193,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
194,NULL,Cropland,Forest,Water,Non_Wetland,Bareland
195,NULL,Cropland,Forest,Water,Non_Wetland,Water
196,NULL,Cropland,Forest,Water,Non_Wetland,Forest
197,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
198,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
199,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
200,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
201,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
202,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
203,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
204,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
205,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
206,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
207,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
208,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
209,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
210,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
211,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
212,NULL,Wetland,Wetland,NULL,Wetland,Forest
213,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
214,NULL,Wetland,Wetland,Water,Wetland,Grassland
215,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
216,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
217,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
218,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
219,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
220,NULL,Wetland,Forest,Non_Water,Non_Wetland,Built-up
221,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
222,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
223,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
224,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
225,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
226,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
227,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
228,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
229,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
230,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
231,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
232,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
233,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
234,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
235,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
236,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
237,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
238,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
239,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
240,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
241,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Forest
242,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
243,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
244,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
245,NULL,Bareland,Wetland,NULL,Wetland,Water
246,NULL,Bareland,Wetland,Non_Water,Wetland,Water
247,NULL,Bareland,Wetland,Water,Wetland,Bareland
248,NULL,Bareland,Wetland,Water,Wetland,Water
249,NULL,Bareland,Wetland,Water,Wetland,Forest
250,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
251,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
252,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
253,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
254,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
255,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
256,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
257,NULL,Bareland,Water,NULL,Water,Grassland
258,NULL,Bareland,Water,NULL,Water,Bareland
259,NULL,Bareland,Water,NULL,Water,Forest
260,NULL,Bareland,Water,Water,Water,Grassland
261,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
262,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
263,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
264,NULL,Bareland,Forest,NULL,Non_Wetland,Water
265,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
266,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
267,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
268,NULL,Bareland,Forest,Water,Non_Wetland,Grassland
269,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
270,NULL,Bareland,Forest,Water,Non_Wetland,Water
271,NULL,Bareland,Forest,Water,Non_Wetland,Forest
272,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
273,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
274,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
275,NULL,Built-up,NULL,NULL,Non_Wetland,Water
276,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
277,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
278,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
279,NULL,Built-up,NULL,Water,Non_Wetland,Water
280,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
281,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
282,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
283,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
284,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
285,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
286,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
287,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
288,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
289,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
290,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
291,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
292,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
293,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
294,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
295,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
296,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
297,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
298,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
299,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
300,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
301,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
302,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
303,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
304,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
305,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
306,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
307,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
308,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
309,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
310,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
311,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
312,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
313,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
314,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
315,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
316,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
317,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
318,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
319,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
320,NULL,Built-up,Cropland,Water,Non_Wetland,Water
321,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
322,NULL,Built-up,Wetland,NULL,Wetland,Grassland
323,NULL,Built-up,Wetland,NULL,Wetland,Cropland
324,NULL,Built-up,Wetland,NULL,Wetland,Bareland
325,NULL,Built-up,Wetland,NULL,Wetland,Forest
326,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
327,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
328,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
329,NULL,Built-up,Wetland,Water,Wetland,Grassland
330,NULL,Built-up,Wetland,Water,Wetland,Water
331,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
332,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
333,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
334,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
335,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
336,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
337,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
338,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
339,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
340,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
341,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
342,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
343,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
344,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
345,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
346,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
347,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
348,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
349,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
350,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
351,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
352,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
353,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
354,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
355,NULL,Built-up,Built-up,Water,Non_Wetland,Water
356,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
357,NULL,Built-up,Water,NULL,Water,Grassland
358,NULL,Built-up,Water,NULL,Water,Cropland
359,NULL,Built-up,Water,NULL,Water,Bareland
360,NULL,Built-up,Water,NULL,Water,Built-up
361,NULL,Built-up,Water,NULL,Water,Water
362,NULL,Built-up,Water,NULL,Water,Forest
363,NULL,Built-up,Water,Non_Water,Water,Bareland
364,NULL,Built-up,Water,Non_Water,Water,Water
365,NULL,Built-up,Water,Water,Water,Grassland
366,NULL,Built-up,Water,Water,Water,Bareland
367,NULL,Built-up,Water,Water,Water,Water
368,NULL,Built-up,Water,Water,Water,Forest
369,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
370,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
371,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
372,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
373,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
374,NULL,Built-up,Forest,NULL,Non_Wetland,Water
375,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
376,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
377,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
378,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
379,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
380,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
381,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
382,NULL,Built-up,Forest,Water,Non_Wetland,Built-up
383,NULL,Built-up,Forest,Water,Non_Wetland,Water
384,NULL,Built-up,Forest,Water,Non_Wetland,Forest
385,NULL,Water,NULL,NULL,Non_Wetland,Grassland
386,NULL,Water,NULL,NULL,Non_Wetland,Bareland
387,NULL,Water,NULL,NULL,Non_Wetland,Water
388,NULL,Water,NULL,NULL,Non_Wetland,Forest
389,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
390,NULL,Water,NULL,Water,Non_Wetland,Bareland
391,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
392,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
393,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
394,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
395,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
396,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
397,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
398,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
399,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
400,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
401,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
402,NULL,Water,Shrubland,Water,Non_Wetland,Water
403,NULL,Water,Shrubland,Water,Non_Wetland,Forest
404,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
405,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
406,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
407,NULL,Water,Grassland,NULL,Non_Wetland,Built-up
408,NULL,Water,Grassland,NULL,Non_Wetland,Water
409,NULL,Water,Grassland,NULL,Non_Wetland,Forest
410,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
411,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
412,NULL,Water,Grassland,Water,Non_Wetland,Grassland
413,NULL,Water,Grassland,Water,Non_Wetland,Water
414,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
415,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
416,NULL,Water,Cropland,NULL,Non_Wetland,Forest
417,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
418,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
419,NULL,Water,Cropland,Water,Non_Wetland,Forest
420,NULL,Water,Wetland,NULL,Wetland,Grassland
421,NULL,Water,Wetland,NULL,Wetland,Bareland
422,NULL,Water,Wetland,NULL,Wetland,Forest
423,NULL,Water,Wetland,Non_Water,Wetland,Water
424,NULL,Water,Wetland,Non_Water,Wetland,Forest
425,NULL,Water,Wetland,Water,Wetland,Grassland
426,NULL,Water,Wetland,Water,Wetland,Water
427,NULL,Water,Wetland,Water,Wetland,Forest
428,NULL,Water,Bareland,NULL,Non_Wetland,NULL
429,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
430,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
431,NULL,Water,Bareland,NULL,Non_Wetland,Water
