Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KFU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KFU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KFU_M_R
29,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
30,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
31,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
36,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
37,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
39,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
41,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
43,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
44,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
46,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
49,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
51,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
53,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
55,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
62,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
63,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
65,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
67,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
69,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
71,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
73,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
75,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
76,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
77,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
79,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
80,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
83,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
85,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
86,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
87,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
89,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
90,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
91,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
92,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
93,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
94,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
96,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
97,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
98,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
99,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
101,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
102,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
103,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
104,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
108,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
109,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
110,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
112,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
113,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
114,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
115,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
116,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
117,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
118,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
119,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
120,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
121,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
122,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
123,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
124,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
125,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
127,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
128,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
129,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
130,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
131,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
132,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
133,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
134,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
135,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
136,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
137,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
138,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
139,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
140,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
141,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
142,Grassland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
143,Grassland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
144,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
145,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
146,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
147,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
148,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
149,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
151,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
152,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
153,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
154,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
155,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
156,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
158,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
159,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
160,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
161,Grassland,NULL,Water,NULL,Water,NULL,NULL,Bareland
162,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
163,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
164,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
165,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
166,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
167,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
168,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
169,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
170,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
171,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
172,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
173,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
174,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
175,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
176,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
177,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
178,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
179,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
180,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
181,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
182,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
184,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
185,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
186,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
187,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,Grassland,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
189,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
190,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
191,Grassland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
192,Grassland,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
193,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
194,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
195,Grassland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
196,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
197,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
198,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
199,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
200,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
201,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
202,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
203,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
204,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
205,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
206,Grassland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
207,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
208,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
209,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
210,Grassland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
211,Grassland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
212,Grassland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
213,Grassland,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
214,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
215,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
216,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
217,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
218,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
219,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
220,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
221,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
222,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
223,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
224,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
225,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
226,Grassland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
227,Grassland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
228,Grassland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
229,Grassland,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
230,Grassland,Water,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
231,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
232,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
233,Grassland,Water,Water,Water,Water,NULL,NULL,Bareland
234,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
235,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
236,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
237,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Wetland
238,Grassland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
239,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
240,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
242,Grassland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
243,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
244,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
245,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
246,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
247,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
248,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
249,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
250,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
251,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
252,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
253,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
254,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
255,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
256,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
257,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
258,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
259,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
260,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
261,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
262,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
263,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
264,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
265,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
266,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
267,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
268,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
269,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
270,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
271,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
272,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
273,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
274,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
275,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
276,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
277,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
278,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
279,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
280,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
281,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
282,Cropland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
283,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
284,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
285,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
286,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
287,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
288,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
289,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
290,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
291,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
292,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
293,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
294,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
295,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
296,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
297,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
298,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
299,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
300,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
301,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
302,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
303,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
304,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
305,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
306,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
307,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
308,Cropland,NULL,Water,Water,Water,NULL,NULL,Bareland
309,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
310,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
311,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
312,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
313,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
314,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
315,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
316,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
317,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
318,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
319,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
320,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
321,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
322,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
323,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
324,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
325,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
326,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
