Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKC_M_R
33,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
36,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
37,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
38,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
39,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
40,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
41,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
42,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
43,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
44,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
45,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
63,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
64,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
65,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
66,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
67,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
68,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
69,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
70,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
71,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
72,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
73,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
74,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
75,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
76,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
77,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
78,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
79,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
81,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
83,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
86,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
87,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
90,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
92,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
95,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
96,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
97,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
99,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
100,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
101,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
102,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
103,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
104,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Wetland
105,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
106,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Wetland
107,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
108,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
109,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
110,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
111,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
112,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
113,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Water
114,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Forest
115,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
116,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
117,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Water
118,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
119,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Wetland
120,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
121,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
122,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
123,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
124,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
125,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
126,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
127,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
128,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
129,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
130,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
131,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
132,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
133,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
134,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
135,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
136,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
138,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
139,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
140,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
141,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
142,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
143,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
144,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
145,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
146,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
147,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
148,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
149,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
150,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
151,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
152,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
153,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
154,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
155,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
156,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
157,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
158,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
159,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
160,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
161,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
162,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
163,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
164,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
165,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
166,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
167,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
168,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
169,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
170,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
171,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
172,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
173,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
174,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
175,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
176,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
177,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
178,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
179,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
180,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
181,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
182,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
183,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
184,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
185,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
186,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
187,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
188,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
189,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
190,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
191,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
192,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
193,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
194,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
195,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,Grassland
196,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland,Wetland,Grassland
197,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
198,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Grassland
199,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
200,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
201,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
202,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
203,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
204,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
205,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
206,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
207,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
208,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
209,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
210,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
211,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
212,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
213,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
214,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
215,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
216,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
217,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
218,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Forest
219,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
220,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
221,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
222,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
223,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
224,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
225,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
226,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
227,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
228,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
229,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
230,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Water
231,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
232,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
233,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
234,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
235,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
236,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
237,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
238,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Water
239,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
240,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
241,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Water
242,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
243,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
244,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
245,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
246,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
247,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
248,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Forest
249,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
250,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
251,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
252,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Forest
253,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
254,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Forest
255,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water,Wetland,Grassland
256,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
257,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Wetland
258,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
259,NULL,NULL,Built-up,Water,Non_Wetland,Water,Water,Grassland
260,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
261,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
262,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
263,NULL,NULL,Water,NULL,Water,Wetland,Water,Wetland
264,NULL,NULL,Water,NULL,Water,Wetland,Forest,Grassland
265,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Forest
266,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
267,NULL,NULL,Water,NULL,Water,Water,Wetland,Wetland
268,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
269,NULL,NULL,Water,Non_Water,Water,Grassland,Wetland,Grassland
270,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
271,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
272,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
273,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Water
274,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
275,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
276,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
277,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Water
278,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Forest
279,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
280,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
281,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Water
282,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
283,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
284,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
285,NULL,NULL,Water,Water,Water,NULL,Wetland,Grassland
286,NULL,NULL,Water,Water,Water,NULL,Wetland,Forest
287,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
288,NULL,NULL,Water,Water,Water,Grassland,Water,Water
289,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
290,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
291,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
292,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
293,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
294,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
295,NULL,NULL,Water,Water,Water,Wetland,Water,Water
296,NULL,NULL,Water,Water,Water,Wetland,Water,Forest
297,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
298,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
299,NULL,NULL,Water,Water,Water,Water,Wetland,Water
300,NULL,NULL,Water,Water,Water,Water,Water,Grassland
301,NULL,NULL,Water,Water,Water,Water,Water,Wetland
302,NULL,NULL,Water,Water,Water,Water,Water,Water
303,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
304,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
305,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
306,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
307,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
308,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
309,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
310,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
311,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
312,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
313,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
314,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
315,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
316,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
317,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
318,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
319,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
320,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
321,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
322,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
323,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
324,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
325,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
326,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
327,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
328,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
329,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
330,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
331,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
332,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
333,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
334,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
335,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
336,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
337,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
338,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
339,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
340,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
341,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
342,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Water
