Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LRN_M_R
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
103,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
104,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
105,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
107,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
108,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
110,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,NULL
111,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
113,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
114,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
115,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
116,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
117,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
119,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
122,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
123,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,NULL
127,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
129,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
131,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
132,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Cropland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
137,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
138,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
139,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
140,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
141,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
142,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
143,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
144,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
145,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
146,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
147,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
148,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
149,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
150,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
151,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
152,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
153,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
154,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
155,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
157,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
158,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
159,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
160,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
161,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
162,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Cropland
163,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
164,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
165,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
166,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
167,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
168,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
169,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
170,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Cropland
171,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
172,NULL,NULL,Water,NULL,Water,Bareland,NULL,Grassland
173,NULL,NULL,Water,NULL,Water,Bareland,NULL,Cropland
174,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
175,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
176,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
177,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
178,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
179,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
180,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
181,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
182,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
183,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
184,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
185,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
186,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
187,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
188,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
189,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
190,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
191,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
192,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
193,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
194,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
195,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
196,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
197,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
198,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
199,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
200,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
201,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
202,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
203,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
204,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
205,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
206,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
207,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
208,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
209,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
210,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
211,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
212,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
213,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
214,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
215,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
216,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
217,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
218,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
219,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Cropland
220,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
221,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
222,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
223,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Cropland
224,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
225,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
226,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
227,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
228,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
229,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
230,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
231,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
232,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
233,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
234,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
235,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
236,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
237,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
238,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
239,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
240,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
241,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
242,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
243,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
244,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
245,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
246,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
247,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
248,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
249,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
250,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
251,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
252,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
253,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
254,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
255,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
256,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
257,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
258,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
259,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
260,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
261,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
262,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
263,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
264,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
265,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
266,NULL,Water,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
267,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
268,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
269,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
270,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
271,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
272,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
273,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
274,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
275,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
276,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
277,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
278,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
279,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
280,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
281,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
282,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
283,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
284,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
285,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
286,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
287,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
288,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
289,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
290,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
291,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
292,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
293,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
294,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
295,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
296,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
297,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
298,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
299,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
300,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
301,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
302,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
303,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
304,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
305,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
306,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
307,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
308,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
309,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
310,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
311,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
312,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
313,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
314,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
315,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
316,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
317,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
318,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
319,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
320,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
321,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
322,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
323,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
