Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R
299,Cropland,NULL,Wetland,NULL,Wetland,Forest
300,Cropland,NULL,Wetland,Non_Water,Wetland,Water
301,Cropland,NULL,Wetland,Water,Wetland,Grassland
302,Cropland,NULL,Wetland,Water,Wetland,Water
303,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
304,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Water
305,Cropland,NULL,Bareland,Water,Non_Wetland,Water
306,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
307,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
308,Cropland,NULL,Water,NULL,Water,Water
309,Cropland,NULL,Water,Non_Water,Water,Water
310,Cropland,NULL,Water,Water,Water,Grassland
311,Cropland,NULL,Water,Water,Water,Water
312,Cropland,NULL,Water,Water,Water,Forest
313,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
314,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
315,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
316,Cropland,NULL,Forest,NULL,Non_Wetland,Water
317,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
318,Cropland,NULL,Forest,Non_Water,Non_Wetland,Water
319,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
320,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
321,Cropland,NULL,Forest,Water,Non_Wetland,Water
322,Cropland,NULL,Forest,Water,Non_Wetland,Forest
323,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
324,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
325,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Water
326,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
327,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
328,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
329,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
330,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
331,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
332,Cropland,Wetland,Wetland,NULL,Wetland,Forest
333,Cropland,Wetland,Water,NULL,Water,Water
334,Cropland,Wetland,Water,Water,Water,Water
335,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
336,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Forest
337,Cropland,Wetland,Forest,Water,Non_Wetland,Water
338,Cropland,Bareland,Water,Water,Water,Water
339,Cropland,Bareland,Forest,NULL,Non_Wetland,Forest
340,Cropland,Bareland,Forest,Water,Non_Wetland,Water
341,Cropland,Bareland,Forest,Water,Non_Wetland,Forest
342,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
343,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
344,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
345,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
346,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
347,Cropland,Built-up,Cropland,NULL,Non_Wetland,Water
348,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
349,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
350,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
351,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up
352,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
353,Cropland,Water,Shrubland,NULL,Non_Wetland,Bareland
354,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
355,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Forest
356,Cropland,Water,Shrubland,Water,Non_Wetland,Grassland
357,Cropland,Water,Shrubland,Water,Non_Wetland,Water
358,Cropland,Water,Cropland,NULL,Non_Wetland,Forest
359,Cropland,Water,Wetland,Water,Wetland,Grassland
360,Cropland,Water,Wetland,Water,Wetland,Water
361,Cropland,Water,Bareland,Water,Non_Wetland,Grassland
362,Cropland,Water,Water,NULL,Water,Grassland
363,Cropland,Water,Water,NULL,Water,Water
364,Cropland,Water,Water,Non_Water,Water,Water
365,Cropland,Water,Water,Water,Water,Water
366,Cropland,Water,Water,Water,Water,Forest
367,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
368,Cropland,Water,Forest,NULL,Non_Wetland,Water
369,Cropland,Water,Forest,NULL,Non_Wetland,Forest
370,Cropland,Water,Forest,Water,Non_Wetland,Bareland
371,Cropland,Water,Forest,Water,Non_Wetland,Water
372,Cropland,Water,Forest,Water,Non_Wetland,Forest
373,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
374,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland
375,Cropland,Forest,Shrubland,NULL,Non_Wetland,Water
376,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
377,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
378,Cropland,Forest,Shrubland,Water,Non_Wetland,Grassland
379,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
380,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
381,Cropland,Forest,Grassland,Water,Non_Wetland,Bareland
382,Cropland,Forest,Grassland,Water,Non_Wetland,Water
383,Cropland,Forest,Grassland,Water,Non_Wetland,Forest
384,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
385,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
386,Cropland,Forest,Wetland,NULL,Wetland,Forest
387,Cropland,Forest,Wetland,Non_Water,Wetland,Water
388,Cropland,Forest,Wetland,Water,Wetland,Water
389,Cropland,Forest,Bareland,Water,Non_Wetland,Grassland
390,Cropland,Forest,Bareland,Water,Non_Wetland,Bareland
391,Cropland,Forest,Water,Water,Water,Grassland
392,Cropland,Forest,Water,Water,Water,Water
393,Cropland,Forest,Water,Water,Water,Forest
394,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
395,Cropland,Forest,Forest,NULL,Non_Wetland,Built-up
396,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
397,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
398,Cropland,Forest,Forest,Water,Non_Wetland,Water
399,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
400,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
401,Wetland,NULL,Wetland,NULL,Wetland,Forest
402,Wetland,NULL,Wetland,Non_Water,Wetland,Water
403,Wetland,NULL,Wetland,Water,Wetland,Bareland
404,Wetland,NULL,Wetland,Water,Wetland,Water
405,Wetland,NULL,Wetland,Water,Wetland,Forest
406,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Water
407,Wetland,NULL,Bareland,Water,Non_Wetland,Water
408,Wetland,NULL,Water,Non_Water,Water,Bareland
409,Wetland,NULL,Water,Non_Water,Water,Water
410,Wetland,NULL,Water,Water,Water,Water
411,Wetland,NULL,Water,Water,Water,Forest
412,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
413,Wetland,NULL,Forest,Water,Non_Wetland,Water
414,Wetland,NULL,Forest,Water,Non_Wetland,Forest
415,Wetland,Cropland,Forest,NULL,Non_Wetland,Forest
416,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
417,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
418,Wetland,Wetland,Wetland,NULL,Wetland,Forest
419,Wetland,Wetland,Wetland,Non_Water,Wetland,Forest
420,Wetland,Wetland,Bareland,Water,Non_Wetland,Water
421,Wetland,Wetland,Water,Water,Water,Water
422,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
423,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest
424,Wetland,Wetland,Forest,Water,Non_Wetland,Water
425,Wetland,Bareland,Shrubland,Water,Non_Wetland,Water
426,Wetland,Bareland,Wetland,Non_Water,Wetland,Water
427,Wetland,Bareland,Wetland,Water,Wetland,Water
428,Wetland,Bareland,Water,Non_Water,Water,Water
429,Wetland,Bareland,Water,Water,Water,Water
430,Wetland,Bareland,Forest,NULL,Non_Wetland,Forest
431,Wetland,Bareland,Forest,Water,Non_Wetland,Water
432,Wetland,Bareland,Forest,Water,Non_Wetland,Forest
433,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
434,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Forest
435,Wetland,Water,Shrubland,Water,Non_Wetland,Water
436,Wetland,Water,Wetland,NULL,Wetland,Water
437,Wetland,Water,Wetland,NULL,Wetland,Forest
438,Wetland,Water,Wetland,Non_Water,Wetland,Forest
439,Wetland,Water,Wetland,Water,Wetland,Water
440,Wetland,Water,Wetland,Water,Wetland,Forest
441,Wetland,Water,Water,NULL,Water,Water
442,Wetland,Water,Water,Water,Water,Water
443,Wetland,Water,Water,Water,Water,Forest
444,Wetland,Water,Forest,NULL,Non_Wetland,Forest
