Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQJ_M_R
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Bareland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Water
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Built-up,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Wetland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Water
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Water
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Water
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Water
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Water
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Forest
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,NULL
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Wetland
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Forest
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,NULL
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Bareland
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,NULL
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Cropland
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Built-up,Grassland
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Bareland
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Water
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Built-up,Grassland
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
