Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NYH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NYH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NYH_M_R
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
57,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
61,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
63,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
64,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
66,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
67,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
69,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
70,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
71,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
72,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
75,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
78,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
79,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
80,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
83,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
84,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
85,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
86,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
87,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
88,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
91,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
92,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
93,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
94,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
95,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
96,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
97,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
98,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
99,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
102,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
103,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
104,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
105,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
106,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
109,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
112,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
113,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
114,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
115,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
116,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
117,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
118,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Built-up
119,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
120,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
122,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
123,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
126,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
127,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
130,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
131,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
133,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
134,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
135,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
136,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
137,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
138,NULL,Built-up,Water,Water,Water,NULL,NULL,Built-up
139,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
140,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
142,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
143,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
145,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Bareland
146,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
147,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
150,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
151,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
152,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
154,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
157,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
158,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
159,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
160,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
161,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
162,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
163,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
164,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
167,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
168,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
171,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
172,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
175,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
176,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
178,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
179,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
180,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
182,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
184,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
185,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
186,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
187,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
188,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
189,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
190,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
192,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
195,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
197,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
198,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
199,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
200,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
201,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
202,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
203,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
204,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
205,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
206,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
207,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
208,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
209,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
210,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
211,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
212,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
213,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
214,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
215,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
216,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
217,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
218,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
219,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
220,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
221,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
222,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
223,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
224,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
225,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
226,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
227,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
228,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
229,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
230,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
231,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
232,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
233,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
234,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
235,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
236,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
237,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
238,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
239,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
240,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
241,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
242,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
243,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
244,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
245,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
246,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
247,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
248,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
249,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
250,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
251,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
252,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
253,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
254,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
255,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
256,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
257,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
258,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
259,Grassland,NULL,Water,NULL,Water,NULL,NULL,Bareland
260,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
261,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
262,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
263,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
264,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
265,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
266,Grassland,NULL,Water,Water,Water,NULL,NULL,Bareland
267,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
268,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
269,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
270,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
271,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
272,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
273,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
274,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
275,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
276,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
277,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
278,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
279,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
280,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
281,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
282,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
283,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
284,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
285,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
286,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
287,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
288,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
289,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
290,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
291,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
292,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
293,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
294,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
295,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
296,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
297,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
298,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
299,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
300,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
301,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
302,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
303,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
304,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
305,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
306,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
307,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
308,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
309,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
310,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
311,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
312,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
313,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Bareland
314,Grassland,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
315,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
316,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
317,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
318,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
319,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
320,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
321,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
322,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
323,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
324,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
325,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
326,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
327,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
328,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
329,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
330,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
331,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
332,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
333,Grassland,Wetland,Water,Water,Water,NULL,NULL,Wetland
334,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
335,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
336,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
337,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
338,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
