Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MDA_M_R
99,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
100,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
101,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Bareland
102,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
103,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
104,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
105,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
106,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
107,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
108,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
109,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
110,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
111,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
113,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
114,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
115,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
116,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
117,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
118,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
120,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
121,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
122,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
123,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
125,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
127,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
134,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
135,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Built-up
136,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Forest
137,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
138,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
139,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
142,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Water
143,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
144,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
147,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
149,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
150,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
152,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Bareland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
155,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
160,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
161,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
165,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
166,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
168,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
170,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
171,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
172,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
173,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
174,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
175,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
176,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
177,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Forest
178,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Bareland
179,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Forest
180,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Bareland
181,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Water
182,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Forest,Grassland
183,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Forest,Bareland
184,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
185,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
186,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
187,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
188,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
189,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
190,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
191,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
192,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
193,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
194,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
195,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
196,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
197,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
198,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
199,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
200,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
201,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
202,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
203,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
204,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
205,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
206,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
207,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
208,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
209,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
210,NULL,NULL,Wetland,NULL,Wetland,Forest,Bareland,Forest
211,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
212,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
213,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
214,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Water
215,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
216,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
217,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
218,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
219,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
220,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
221,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
222,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Bareland
223,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
224,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
225,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Bareland
226,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
227,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
228,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
229,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
230,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Water
231,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
232,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
233,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
234,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
235,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
236,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
237,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
239,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
240,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
241,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
242,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
243,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
244,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
245,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
246,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
247,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
248,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up,Grassland,Grassland
249,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Grassland
250,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Grassland
251,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
252,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
253,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
254,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
255,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Grassland
256,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
257,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
258,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
259,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
260,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
261,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
262,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
263,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Built-up,Built-up
264,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
265,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
266,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
267,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
268,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
269,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
270,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
271,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
272,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
273,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
274,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
275,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
276,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
277,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
278,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
279,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
280,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
281,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
282,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
283,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Bareland
284,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Water
285,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Forest
286,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Bareland
287,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Water
288,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Forest
289,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
290,NULL,NULL,Water,NULL,Water,Bareland,Water,Bareland
291,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Water
292,NULL,NULL,Water,Non_Water,Water,Wetland,Grassland,Forest
293,NULL,NULL,Water,Non_Water,Water,Bareland,Wetland,Grassland
294,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Water
295,NULL,NULL,Water,Water,Water,Grassland,Wetland,Bareland
296,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
297,NULL,NULL,Water,Water,Water,Bareland,Grassland,Grassland
298,NULL,NULL,Water,Water,Water,Bareland,Grassland,Wetland
299,NULL,NULL,Water,Water,Water,Bareland,Grassland,Bareland
300,NULL,NULL,Water,Water,Water,Bareland,Grassland,Water
301,NULL,NULL,Water,Water,Water,Bareland,Wetland,Bareland
302,NULL,NULL,Water,Water,Water,Bareland,Water,Bareland
303,NULL,NULL,Water,Water,Water,Bareland,Water,Water
304,NULL,NULL,Water,Water,Water,Bareland,Water,Forest
305,NULL,NULL,Water,Water,Water,Bareland,Forest,Grassland
306,NULL,NULL,Water,Water,Water,Bareland,Forest,Forest
307,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
308,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
309,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
310,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
311,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
312,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
313,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
314,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
315,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
316,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
317,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
318,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
319,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
320,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
321,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
322,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
323,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
324,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
325,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
326,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
327,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Built-up,Forest
328,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
329,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
330,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
331,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
332,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
333,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
334,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
