Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LRR_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
29,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
30,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
31,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
32,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
33,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
34,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
35,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
64,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
65,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
66,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
67,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
68,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
69,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
70,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Bareland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
72,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
73,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
76,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
77,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
78,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
79,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
81,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
83,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
85,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
86,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
87,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
88,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Bareland
89,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
91,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
92,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
93,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
94,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
95,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
96,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
97,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
98,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
99,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
100,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
101,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
102,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
103,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
104,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Water
105,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Forest
106,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
107,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
108,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
109,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
110,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
112,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
113,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
114,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Bareland
115,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
116,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
117,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
118,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Forest
119,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
120,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
121,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Bareland
122,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
123,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
124,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
125,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
126,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
127,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
129,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
130,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Forest
131,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
132,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
133,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
134,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
135,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Water
136,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
137,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
138,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
139,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
140,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
141,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
142,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
143,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
144,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Water
145,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Bareland
146,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Water
147,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
148,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
149,NULL,NULL,Water,Water,Water,Grassland,Wetland,Water
150,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
151,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
153,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
154,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
155,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
156,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
157,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
158,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
159,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
161,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
162,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
163,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
164,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
165,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
166,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
167,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
168,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
169,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
170,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
171,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
172,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
173,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
174,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
175,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
176,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
177,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
178,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
179,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
180,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
181,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
182,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
183,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
184,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
185,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Forest
186,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
187,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
188,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
189,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
190,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
191,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
192,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Grassland,Forest
193,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
194,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
195,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
196,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
197,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
198,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
199,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
200,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
201,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
202,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
203,NULL,Bareland,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
204,NULL,Bareland,NULL,Water,Non_Wetland,Grassland,Wetland,Water
205,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
206,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland,Wetland,Water
207,NULL,Bareland,Wetland,NULL,Wetland,Water,Water,Water
208,NULL,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
209,NULL,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Water
210,NULL,Bareland,Wetland,Water,Wetland,Grassland,Water,Grassland
211,NULL,Bareland,Wetland,Water,Wetland,Grassland,Water,Water
212,NULL,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
213,NULL,Bareland,Wetland,Water,Wetland,Water,Wetland,Grassland
214,NULL,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
215,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
216,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
217,NULL,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
218,NULL,Bareland,Built-up,Water,Non_Wetland,Grassland,Wetland,Water
219,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
221,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
222,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
223,NULL,Water,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
224,NULL,Water,NULL,Water,Non_Wetland,Grassland,Water,Water
225,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
226,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
227,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
228,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
229,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
230,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
231,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
232,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
233,NULL,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Water
234,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
235,NULL,Water,Wetland,NULL,Wetland,Water,Water,Forest
236,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
237,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
238,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
239,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
240,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
241,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
242,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
243,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
244,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
245,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
246,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Forest
247,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
248,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
249,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
250,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
251,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
252,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
253,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
254,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Water
255,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
256,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
257,NULL,Water,Water,NULL,Water,Water,Wetland,Water
258,NULL,Water,Water,Water,Water,Water,Water,Water
259,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
260,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
261,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
262,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
264,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
265,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
266,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
267,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
268,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
269,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
270,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
271,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
272,NULL,Forest,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
273,NULL,Forest,Wetland,NULL,Wetland,Bareland,Water,Forest
274,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
275,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
276,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
277,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
278,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
279,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
280,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
281,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
282,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
283,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
284,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
285,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
286,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
287,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
288,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
289,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
290,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
291,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
292,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
293,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
294,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
295,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
296,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
297,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
298,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
299,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
300,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
301,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
302,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
303,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
304,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
305,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
306,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
307,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
308,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
309,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
310,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
311,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
312,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
313,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
314,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
315,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
316,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
317,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
318,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Grassland
319,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
320,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
321,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
322,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
323,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
324,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
325,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
326,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
327,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
328,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
329,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
330,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
331,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
332,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
