Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBA_M_R
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
111,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
112,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
113,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
124,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
125,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
126,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Bareland
127,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
128,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
129,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Water
130,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
131,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
132,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
133,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
134,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
135,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Bareland
136,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
137,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Water
138,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
139,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Bareland
140,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
141,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
142,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
143,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
155,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
156,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
168,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
171,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
175,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
178,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
179,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
182,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
183,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
187,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
190,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
193,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
195,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
196,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
198,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
199,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
201,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
209,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
210,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
211,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
212,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
213,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
214,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
215,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
217,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
218,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
219,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
220,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
221,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
222,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
223,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
224,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
225,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
226,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
227,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
228,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
229,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
230,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
231,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
232,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
233,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
234,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
235,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
236,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Bareland
237,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
238,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
239,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
240,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
241,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
242,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
243,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
244,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Water
245,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
246,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
247,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Bareland
248,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
249,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
250,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
251,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
252,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
253,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
254,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
255,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
256,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
257,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
258,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
259,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
260,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
261,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
262,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
263,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
264,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
265,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
266,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Water
267,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
268,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
269,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
270,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Bareland
271,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
272,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
273,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
274,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
275,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Bareland
276,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
277,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
278,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
279,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
280,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Bareland
281,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
282,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
283,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
284,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
285,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
286,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
287,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
288,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
289,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
290,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
291,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Bareland
292,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
293,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
294,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
295,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Bareland
296,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
297,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Forest
298,NULL,NULL,Wetland,Water,Wetland,Cropland,Wetland,Grassland
299,NULL,NULL,Wetland,Water,Wetland,Cropland,Wetland,Water
300,NULL,NULL,Wetland,Water,Wetland,Cropland,Water,Grassland
301,NULL,NULL,Wetland,Water,Wetland,Cropland,Water,Water
302,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Grassland
303,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Bareland
304,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Water
305,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
306,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Water
307,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
308,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
309,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Bareland
310,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
311,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
312,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
313,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Bareland
314,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Water
315,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
316,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
317,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Bareland
318,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
319,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
320,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
321,NULL,NULL,Wetland,Water,Wetland,Bareland,NULL,Grassland
322,NULL,NULL,Wetland,Water,Wetland,Bareland,NULL,Bareland
323,NULL,NULL,Wetland,Water,Wetland,Bareland,NULL,Water
324,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
325,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Bareland
326,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
327,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Forest
328,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
329,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Bareland
330,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
331,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Forest
332,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
333,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Bareland
334,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
