Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
106,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
107,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
112,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
114,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Cropland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Cropland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Bareland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Wetland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
145,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
146,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
147,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
148,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Built-up,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Wetland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Cropland
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Bareland
314,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
315,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Cropland
316,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
317,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Cropland
318,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Bareland
319,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
320,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
321,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
322,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
