Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MWM_M_R
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Water
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Forest,Forest
153,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
158,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
159,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
160,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
161,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
162,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
163,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
165,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Grassland
166,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Forest
167,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Bareland
168,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Shrubland,Grassland
169,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Shrubland,Forest
170,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Forest
171,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
172,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
173,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
174,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
175,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
183,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
185,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
189,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
193,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
194,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
195,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
198,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
199,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
200,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
201,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
202,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,Grassland,Forest
203,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
204,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
205,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
206,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
207,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
208,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
209,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
210,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
211,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
212,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
213,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
214,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
216,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
218,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
219,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
222,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
223,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
224,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
228,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
229,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
231,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
233,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
234,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
235,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
236,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
237,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
238,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
240,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
241,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
242,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
243,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
244,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
245,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
246,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Water
247,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
248,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
249,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
250,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
251,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Forest
252,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Forest
253,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
254,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
255,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,Grassland
256,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,Forest
257,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,NULL
258,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
259,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Bareland
260,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
261,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
262,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
263,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
264,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
265,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
266,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,NULL
267,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
268,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
269,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Water
270,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
271,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
272,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
273,NULL,NULL,Wetland,NULL,Wetland,Bareland,Shrubland,Grassland
274,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
275,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
276,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
277,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
278,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
279,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
280,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
281,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
282,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,NULL
283,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
284,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
285,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Forest
286,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
287,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
288,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
289,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
290,NULL,NULL,Wetland,Water,Wetland,Grassland,Shrubland,Grassland
291,NULL,NULL,Wetland,Water,Wetland,Grassland,Forest,Grassland
292,NULL,NULL,Wetland,Water,Wetland,Grassland,Forest,Forest
293,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
294,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
295,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
296,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
297,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Shrubland,Grassland
298,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
299,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
300,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
301,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
302,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Bareland
303,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Forest
304,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
305,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
306,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland,Bareland,Bareland
307,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland,Bareland,Forest
308,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland,Forest
309,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
310,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
311,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
312,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
313,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
314,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Wetland,Forest
315,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
316,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Bareland,Forest
317,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Forest,NULL
318,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Forest,Grassland
319,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Forest,Forest
320,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
