Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KLD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KLD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KLD_M_R
336,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
337,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
338,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
339,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
340,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
341,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
342,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
343,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
344,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
345,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
346,NULL,Water,Water,NULL,Water,NULL,NULL,NULL
347,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
348,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
349,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
350,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
351,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
352,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
353,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
354,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
355,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
356,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
357,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
358,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
359,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
360,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
361,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
362,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
363,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
364,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
365,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
366,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
367,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
368,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
369,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
370,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
371,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
372,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
373,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
374,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
375,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
376,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
377,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
378,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
379,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
380,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
381,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Cropland
382,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
383,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
384,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
385,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
386,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
387,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
388,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
389,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
390,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
391,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
392,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
393,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
394,NULL,Forest,Water,NULL,Water,NULL,NULL,NULL
395,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
396,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
397,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
398,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
399,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
400,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
401,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
402,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
403,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
404,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
405,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
406,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
407,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
408,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
409,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
410,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
411,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
412,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
413,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
414,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
415,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
416,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
417,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
418,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
419,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
420,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
421,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
422,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
423,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
424,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
425,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
426,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
427,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
428,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
429,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
430,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
431,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
432,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
433,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
434,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
435,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
436,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
437,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
438,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
439,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
440,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
441,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
442,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
443,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
444,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
445,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
446,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
447,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
448,Grassland,NULL,Water,NULL,Water,NULL,NULL,Cropland
449,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
450,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
451,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
452,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
453,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
454,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
455,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
456,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
457,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
458,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
459,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
460,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
461,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
462,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
463,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
464,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
465,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
466,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
467,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
468,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
469,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
470,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
471,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
472,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
473,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
474,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
475,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
476,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
477,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
478,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
479,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
480,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
481,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
482,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
483,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
484,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
485,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
486,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
487,Grassland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
488,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
489,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
490,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
491,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
492,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
493,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
494,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
495,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
496,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
497,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
498,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
499,Grassland,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
500,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
501,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
502,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
503,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
504,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
505,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
506,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
507,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
508,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
509,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
510,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
511,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
512,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
513,Grassland,Forest,Water,NULL,Water,NULL,NULL,Grassland
514,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
515,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
516,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
517,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
518,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
519,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
520,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
521,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
522,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
523,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
524,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
525,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
526,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
527,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
528,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
529,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
530,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
531,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
532,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
533,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
534,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
535,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
536,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
537,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
538,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
539,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
540,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
541,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
542,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
543,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
544,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
545,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
546,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
547,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
548,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
549,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
550,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
551,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
552,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
553,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
554,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
555,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
556,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
557,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
558,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
559,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
560,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
561,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
562,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
563,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
564,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
565,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
566,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
567,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
568,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
569,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
570,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
571,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
572,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
573,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
574,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
575,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
576,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
577,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
578,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
579,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
580,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
581,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
582,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
583,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
584,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
585,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
586,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
587,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
588,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
589,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
590,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
591,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
592,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
593,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
594,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
595,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
596,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
597,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
598,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
599,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
600,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
601,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
602,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
603,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
604,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
605,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
606,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
607,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
608,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
609,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
610,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
611,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
612,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
613,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
614,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
615,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
616,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
617,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
618,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
619,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
620,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
621,Cropland,NULL,Water,NULL,Water,NULL,NULL,Cropland
622,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
623,Cropland,NULL,Water,Water,Water,NULL,NULL,Bareland
624,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
625,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
626,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
627,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
628,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
629,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
630,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
631,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
632,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
633,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
634,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
635,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
636,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
637,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
638,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
639,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
640,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
641,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
642,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
643,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
644,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
645,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
646,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
647,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
648,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Forest
649,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
650,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
651,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
652,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
653,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
654,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
655,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
656,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
657,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
658,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
659,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
660,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
661,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
662,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
663,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
664,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
665,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
666,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
667,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
668,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
669,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
670,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
671,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
672,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
673,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
674,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
