Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NMP_M_R
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Built-up
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Cropland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Cropland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Water
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
56,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Water
57,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Forest
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Cropland
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
64,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
68,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
69,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Wetland
70,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water
71,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Forest
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL
73,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
74,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
75,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland
76,NULL,NULL,Wetland,NULL,Wetland,NULL,Built-up
77,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
78,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Cropland
82,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
83,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Bareland
84,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Built-up
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water
86,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL
88,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
89,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
90,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
91,NULL,NULL,Wetland,Water,Wetland,NULL,Water
92,NULL,NULL,Wetland,Water,Wetland,NULL,Forest
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
95,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
96,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Built-up
97,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Bareland
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Grassland
101,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Wetland
102,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Bareland
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Water
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water
110,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Built-up
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Forest
116,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Grassland
117,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Bareland
118,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Forest
119,NULL,NULL,Water,NULL,Water,NULL,NULL
120,NULL,NULL,Water,NULL,Water,NULL,Grassland
121,NULL,NULL,Water,NULL,Water,NULL,Wetland
122,NULL,NULL,Water,NULL,Water,NULL,Bareland
123,NULL,NULL,Water,NULL,Water,NULL,Built-up
124,NULL,NULL,Water,NULL,Water,NULL,Water
125,NULL,NULL,Water,NULL,Water,NULL,Forest
126,NULL,NULL,Water,Non_Water,Water,NULL,NULL
127,NULL,NULL,Water,Non_Water,Water,NULL,Grassland
128,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
129,NULL,NULL,Water,Non_Water,Water,NULL,Bareland
130,NULL,NULL,Water,Non_Water,Water,NULL,Built-up
131,NULL,NULL,Water,Non_Water,Water,NULL,Water
132,NULL,NULL,Water,Non_Water,Water,NULL,Forest
133,NULL,NULL,Water,Water,Water,NULL,NULL
134,NULL,NULL,Water,Water,Water,NULL,Grassland
135,NULL,NULL,Water,Water,Water,NULL,Wetland
136,NULL,NULL,Water,Water,Water,NULL,Bareland
137,NULL,NULL,Water,Water,Water,NULL,Built-up
138,NULL,NULL,Water,Water,Water,NULL,Water
139,NULL,NULL,Water,Water,Water,NULL,Forest
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
141,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
142,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
143,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
144,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
145,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
146,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
147,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL
148,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
149,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
150,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Built-up
151,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
152,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL
153,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
154,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
155,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
156,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
157,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland
158,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland
159,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest
160,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL
161,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
162,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland
163,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up
164,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
165,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL
166,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
167,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
168,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL
169,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Grassland
170,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Bareland
171,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL
172,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
173,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Cropland
174,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
175,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
176,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
177,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up
178,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
179,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland
180,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Bareland
181,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Forest
182,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL
183,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland
184,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland
185,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up
186,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Forest
187,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
188,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
189,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
190,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland
191,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Bareland
192,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Built-up
193,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
194,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
195,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
196,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Built-up
197,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
198,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
199,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Wetland
200,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Bareland
201,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Forest
202,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
203,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
204,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
205,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Wetland
206,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Forest
207,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Grassland
208,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
209,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
210,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Forest
211,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland
212,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland
213,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest
214,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
215,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
216,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
217,NULL,Wetland,Wetland,Water,Wetland,NULL,Grassland
218,NULL,Wetland,Wetland,Water,Wetland,NULL,Wetland
219,NULL,Wetland,Wetland,Water,Wetland,NULL,Bareland
220,NULL,Wetland,Wetland,Water,Wetland,NULL,Forest
221,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Grassland
222,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Bareland
223,NULL,Wetland,Water,NULL,Water,NULL,Grassland
224,NULL,Wetland,Water,Non_Water,Water,NULL,Grassland
225,NULL,Wetland,Water,Non_Water,Water,NULL,Wetland
226,NULL,Wetland,Water,Water,Water,NULL,Grassland
227,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
228,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
229,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
230,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
231,NULL,Bareland,NULL,Water,Non_Wetland,NULL,Grassland
232,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
233,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Bareland
234,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Water
235,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
236,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
237,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
238,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Grassland
239,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Wetland
240,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Bareland
241,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Water
242,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Forest
243,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Grassland
244,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Bareland
245,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,Forest
246,NULL,Bareland,Wetland,NULL,Wetland,NULL,Grassland
247,NULL,Bareland,Wetland,NULL,Wetland,NULL,Water
248,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Grassland
249,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Wetland
250,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Bareland
251,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Water
252,NULL,Bareland,Wetland,Water,Wetland,NULL,Grassland
253,NULL,Bareland,Wetland,Water,Wetland,NULL,Wetland
254,NULL,Bareland,Wetland,Water,Wetland,NULL,Bareland
255,NULL,Bareland,Wetland,Water,Wetland,NULL,Water
256,NULL,Bareland,Wetland,Water,Wetland,NULL,Forest
257,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Grassland
258,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Bareland
259,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,Bareland
260,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL
261,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Bareland
262,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Built-up
263,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,Bareland
264,NULL,Bareland,Water,Non_Water,Water,NULL,Forest
265,NULL,Bareland,Water,Water,Water,NULL,Water
266,NULL,Bareland,Water,Water,Water,NULL,Forest
267,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Grassland
268,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL
269,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland
270,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Wetland
271,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland
272,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up
273,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest
274,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Grassland
275,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Water
276,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Forest
277,NULL,Built-up,NULL,Water,Non_Wetland,NULL,Grassland
278,NULL,Built-up,NULL,Water,Non_Wetland,NULL,Bareland
279,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL
280,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
281,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Cropland
282,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland
283,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
284,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
285,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water
286,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
287,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL
288,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
289,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
290,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Built-up
291,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Forest
292,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL
293,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Grassland
294,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Bareland
295,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Built-up
296,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Forest
297,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL
298,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
299,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Cropland
300,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
301,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up
302,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
303,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Grassland
304,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Built-up
305,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Forest
306,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Grassland
307,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
308,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Cropland
309,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland
310,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up
311,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
312,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Grassland
313,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Forest
314,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,Forest
315,NULL,Built-up,Wetland,NULL,Wetland,NULL,Grassland
316,NULL,Built-up,Wetland,NULL,Wetland,NULL,Built-up
317,NULL,Built-up,Wetland,NULL,Wetland,NULL,Forest
318,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Grassland
319,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Built-up
320,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Forest
321,NULL,Built-up,Wetland,Water,Wetland,NULL,Wetland
322,NULL,Built-up,Wetland,Water,Wetland,NULL,Bareland
323,NULL,Built-up,Wetland,Water,Wetland,NULL,Forest
324,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL
325,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland
326,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Bareland
327,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Built-up
328,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Forest
329,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,Grassland
330,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,Forest
331,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL
332,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
333,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Cropland
334,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Wetland
335,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland
336,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up
337,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest
338,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL
339,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Grassland
340,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Bareland
341,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Built-up
342,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Forest
343,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL
344,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Grassland
345,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Bareland
346,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Built-up
347,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Water
348,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Forest
349,NULL,Built-up,Water,Non_Water,Water,NULL,Grassland
350,NULL,Built-up,Water,Non_Water,Water,NULL,Wetland
351,NULL,Built-up,Water,Water,Water,NULL,Grassland
352,NULL,Built-up,Water,Water,Water,NULL,Water
353,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL
354,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland
355,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland
356,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland
357,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up
358,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
359,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Grassland
360,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Wetland
361,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Built-up
362,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Forest
363,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Grassland
364,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Forest
365,NULL,Water,NULL,NULL,Non_Wetland,NULL,Bareland
366,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL
367,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
368,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland
369,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland
370,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Built-up
371,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water
372,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest
373,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
374,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
375,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Built-up
376,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water
377,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Forest
378,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Grassland
