Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBQ_M_R
61,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Bareland,Forest
62,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Forest
63,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Water,Forest
64,NULL,Built-up,Shrubland,Water,Non_Wetland,Water,Built-up,Forest
65,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
66,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
67,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
68,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
69,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
70,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
71,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
72,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Forest
73,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Grassland
74,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Built-up
75,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Forest
76,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Built-up,Forest
77,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Grassland
78,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Bareland
79,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Forest
80,NULL,Built-up,Water,Water,Water,Built-up,Bareland,Grassland
81,NULL,Built-up,Water,Water,Water,Water,Built-up,Water
82,NULL,Built-up,Water,Water,Water,Water,Water,Forest
83,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
84,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
85,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
86,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
87,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
88,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
89,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Bareland,Forest
90,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Built-up,Forest
91,NULL,Water,Grassland,Water,Non_Wetland,Built-up,Water,Grassland
92,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
93,NULL,Water,Wetland,Water,Wetland,Built-up,Water,Water
94,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
95,NULL,Water,Water,Non_Water,Water,Water,Water,Water
96,NULL,Water,Water,Water,Water,Built-up,Built-up,Forest
97,NULL,Water,Water,Water,Water,Built-up,Water,Water
98,NULL,Water,Water,Water,Water,Water,Water,Water
99,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
100,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Water
101,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
102,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
103,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
104,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
105,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
106,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
107,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
108,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
109,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
110,NULL,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
111,NULL,Forest,Wetland,Water,Wetland,Water,Water,Water
112,NULL,Forest,Water,Water,Water,Water,Wetland,Water
113,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
114,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
115,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
116,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
117,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
118,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
119,NULL,Forest,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
120,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
121,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Water
122,Grassland,NULL,Water,Water,Water,Water,Water,Water
123,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
124,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
125,Grassland,Water,Water,Water,Water,Water,Water,Water
126,Grassland,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
127,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Water
128,Grassland,Forest,Water,Water,Water,Water,Water,Water
129,Grassland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
130,Grassland,Forest,Forest,Water,Non_Wetland,Water,Water,Water
131,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
132,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
133,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
134,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
135,Cropland,Water,Water,Water,Water,Water,Water,Water
136,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
137,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
138,Bareland,NULL,Water,NULL,Water,Bareland,Wetland,Bareland
139,Bareland,NULL,Water,NULL,Water,Bareland,Built-up,Grassland
140,Bareland,NULL,Water,NULL,Water,Bareland,Built-up,Bareland
141,Bareland,NULL,Water,NULL,Water,Bareland,Built-up,Built-up
142,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland,Water,Water
143,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,Water
144,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
145,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Water
146,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
147,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
148,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
149,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water,Water,Water
150,Bareland,Bareland,Water,NULL,Water,Bareland,Built-up,Bareland
151,Bareland,Bareland,Water,NULL,Water,Bareland,Water,Water
152,Bareland,Bareland,Water,NULL,Water,Water,Wetland,Water
153,Bareland,Bareland,Water,NULL,Water,Water,Water,Water
154,Bareland,Bareland,Water,Non_Water,Water,Bareland,Water,Grassland
155,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Water
156,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
157,Bareland,Bareland,Water,Water,Water,Water,Wetland,Water
158,Bareland,Bareland,Water,Water,Water,Water,Water,Water
159,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Water,Water,Water
160,Bareland,Bareland,Forest,Water,Non_Wetland,Water,Wetland,Water
161,Bareland,Built-up,Water,NULL,Water,Bareland,Built-up,Bareland
162,Bareland,Built-up,Water,NULL,Water,Bareland,Built-up,Built-up
163,Bareland,Water,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Water
164,Bareland,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
165,Bareland,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
166,Bareland,Water,Wetland,NULL,Wetland,Bareland,Wetland,Water
167,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
168,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
169,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
170,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
171,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
172,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
173,Bareland,Water,Wetland,Water,Wetland,Water,Water,Forest
174,Bareland,Water,Lichens_and_Mosses,Water,Non_Wetland,Water,Water,Water
175,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
176,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
177,Bareland,Water,Built-up,Water,Non_Wetland,Bareland,Water,Water
178,Bareland,Water,Built-up,Water,Non_Wetland,Water,Water,Water
179,Bareland,Water,Water,NULL,Water,Water,Water,Water
180,Bareland,Water,Water,Non_Water,Water,Bareland,Water,Water
181,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Water
182,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
183,Bareland,Water,Water,Water,Water,Bareland,Wetland,Water
184,Bareland,Water,Water,Water,Water,Bareland,Water,Water
185,Bareland,Water,Water,Water,Water,Water,Wetland,Water
186,Bareland,Water,Water,Water,Water,Water,Water,Water
187,Bareland,Water,Water,Water,Water,Water,Water,Forest
188,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
189,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
190,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
191,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
192,Bareland,Forest,Grassland,Non_Water,Non_Wetland,Water,Water,Water
193,Bareland,Forest,Grassland,Water,Non_Wetland,Water,Water,Water
194,Bareland,Forest,Wetland,Water,Wetland,Bareland,Water,Water
195,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Water
196,Bareland,Forest,Bareland,Water,Non_Wetland,Water,Water,Water
197,Bareland,Forest,Water,NULL,Water,Bareland,Built-up,Bareland
198,Bareland,Forest,Water,NULL,Water,Bareland,Built-up,Forest
199,Bareland,Forest,Water,Non_Water,Water,Water,Wetland,Water
200,Bareland,Forest,Water,Non_Water,Water,Water,Water,Water
201,Bareland,Forest,Water,Water,Water,Bareland,Water,Water
202,Bareland,Forest,Water,Water,Water,Water,Wetland,Water
203,Bareland,Forest,Water,Water,Water,Water,Water,Water
204,Water,NULL,Wetland,Water,Wetland,Water,Water,Water
205,Water,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
206,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
207,Water,Bareland,Water,Water,Water,Bareland,Water,Water
208,Water,Bareland,Water,Water,Water,Water,Water,Water
209,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
210,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
211,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
212,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
213,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
214,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
215,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
216,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
217,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
218,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
219,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
220,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
221,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
222,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Water
223,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
224,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
225,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
226,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
227,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
228,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
229,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
230,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Forest
231,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
232,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
233,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
234,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
235,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
236,Water,Water,Grassland,Water,Non_Wetland,Built-up,Water,Water
237,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
238,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
239,Water,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Water
240,Water,Water,Cropland,NULL,Non_Wetland,Water,Water,Water
241,Water,Water,Cropland,Non_Water,Non_Wetland,Water,Water,Water
242,Water,Water,Cropland,Water,Non_Wetland,Water,Wetland,Water
243,Water,Water,Cropland,Water,Non_Wetland,Water,Water,Water
244,Water,Water,Cropland,Water,Non_Wetland,Water,Water,Forest
245,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
246,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
247,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
248,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Water
249,Water,Water,Wetland,NULL,Wetland,Water,NULL,Water
250,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
251,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
252,Water,Water,Wetland,NULL,Wetland,Water,Bareland,Forest
253,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
254,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
255,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
256,Water,Water,Wetland,NULL,Wetland,Water,Forest,Grassland
257,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
258,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
259,Water,Water,Wetland,NULL,Wetland,Forest,Water,Water
260,Water,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
261,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
262,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
263,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
264,Water,Water,Wetland,Non_Water,Wetland,Water,NULL,Water
265,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
266,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
267,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
268,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
269,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
270,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
271,Water,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
272,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
273,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
274,Water,Water,Wetland,Water,Wetland,Built-up,Water,Water
275,Water,Water,Wetland,Water,Wetland,Water,NULL,Grassland
276,Water,Water,Wetland,Water,Wetland,Water,NULL,Water
277,Water,Water,Wetland,Water,Wetland,Water,NULL,Forest
278,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
279,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
280,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
281,Water,Water,Wetland,Water,Wetland,Water,Water,Water
282,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
283,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
284,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
285,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Water,Water
286,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,Water,Water,Water
287,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
288,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
289,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
290,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
291,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
292,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
293,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
294,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
295,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
296,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
297,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
298,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
299,Water,Water,Bareland,Water,Non_Wetland,NULL,Forest,Water
300,Water,Water,Bareland,Water,Non_Wetland,Water,NULL,Water
301,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
302,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
303,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
304,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
305,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
306,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
307,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
308,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Water
309,Water,Water,Water,NULL,Water,NULL,Wetland,Water
310,Water,Water,Water,NULL,Water,NULL,Water,Water
311,Water,Water,Water,NULL,Water,Water,NULL,Water
312,Water,Water,Water,NULL,Water,Water,Wetland,Water
313,Water,Water,Water,NULL,Water,Water,Wetland,Forest
314,Water,Water,Water,NULL,Water,Water,Water,Grassland
315,Water,Water,Water,NULL,Water,Water,Water,Water
316,Water,Water,Water,NULL,Water,Water,Water,Forest
317,Water,Water,Water,NULL,Water,Water,Forest,Water
318,Water,Water,Water,Non_Water,Water,NULL,Wetland,Water
319,Water,Water,Water,Non_Water,Water,NULL,Water,Water
320,Water,Water,Water,Non_Water,Water,NULL,Water,Forest
321,Water,Water,Water,Non_Water,Water,Bareland,Water,Water
322,Water,Water,Water,Non_Water,Water,Water,NULL,Water
323,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
324,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
325,Water,Water,Water,Non_Water,Water,Water,Water,Water
326,Water,Water,Water,Non_Water,Water,Water,Water,Forest
327,Water,Water,Water,Non_Water,Water,Water,Forest,Water
328,Water,Water,Water,Water,Water,NULL,Wetland,Water
329,Water,Water,Water,Water,Water,NULL,Wetland,Forest
330,Water,Water,Water,Water,Water,NULL,Water,Water
331,Water,Water,Water,Water,Water,NULL,Water,Forest
332,Water,Water,Water,Water,Water,Bareland,Water,Water
333,Water,Water,Water,Water,Water,Built-up,Water,Water
334,Water,Water,Water,Water,Water,Water,NULL,Grassland
335,Water,Water,Water,Water,Water,Water,NULL,Water
336,Water,Water,Water,Water,Water,Water,Wetland,Water
337,Water,Water,Water,Water,Water,Water,Wetland,Forest
338,Water,Water,Water,Water,Water,Water,Water,Water
339,Water,Water,Water,Water,Water,Water,Water,Forest
340,Water,Water,Water,Water,Water,Water,Forest,Water
341,Water,Water,Water,Water,Water,Water,Forest,Forest
342,Water,Water,Water,Water,Water,Forest,Wetland,Water
343,Water,Water,Water,Water,Water,Forest,Water,Water
344,Water,Water,Water,Water,Water,Forest,Water,Forest
345,Water,Water,Water,Water,Water,Forest,Forest,Water
346,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
347,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
348,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
349,Water,Water,Forest,NULL,Non_Wetland,Water,NULL,Water
350,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
351,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
352,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
353,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
354,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
355,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
356,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Water
357,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
358,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
359,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
360,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
361,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
362,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
363,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
364,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
365,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
366,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
367,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
368,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
369,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
370,Water,Water,Forest,Water,Non_Wetland,Forest,Water,Forest
371,Water,Forest,Grassland,Water,Non_Wetland,Water,Water,Water
372,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Water
373,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
374,Water,Forest,Wetland,NULL,Wetland,Water,Water,Water
375,Water,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Forest
