Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXA_M_R
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
71,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
72,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
74,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
75,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
76,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
77,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
78,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Water
79,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
80,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
81,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
82,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
83,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
84,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
85,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
86,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Forest
87,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Forest,Water
88,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
90,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
91,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
92,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
94,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
95,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
96,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
97,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
98,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,NULL
99,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
101,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
102,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
103,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
104,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
105,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
106,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
107,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
108,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
109,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
110,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,NULL
111,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
112,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
113,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
114,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
115,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
116,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
117,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
118,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
119,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
120,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
121,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
122,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
123,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
124,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
125,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
126,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
127,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
128,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
129,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
130,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
131,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
132,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
133,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
134,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
135,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
136,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
137,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
138,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
139,NULL,NULL,Water,Water,Water,Wetland,Water,Forest
140,NULL,NULL,Water,Water,Water,Water,Grassland,Wetland
141,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
142,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
143,NULL,NULL,Water,Water,Water,Water,Water,Bareland
144,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
145,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
146,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
147,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
148,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
149,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
150,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
151,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
153,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
154,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
155,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
156,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
157,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
158,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
159,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
160,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
161,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
162,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
163,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
164,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
165,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
166,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
167,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
168,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
169,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
170,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
171,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
172,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
173,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
174,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
175,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
176,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
177,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
178,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
179,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
180,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
181,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
182,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
183,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
184,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
185,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Bareland
186,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
187,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
188,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
189,NULL,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Water
190,NULL,Bareland,Wetland,Water,Wetland,Wetland,Wetland,Water
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
194,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
195,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
196,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
197,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
198,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
199,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
200,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
201,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
202,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
203,NULL,Water,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
204,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
205,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
206,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
207,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
208,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
209,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
210,NULL,Water,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
211,NULL,Water,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
212,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
213,NULL,Water,Wetland,NULL,Wetland,Water,Grassland,Wetland
214,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
215,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
216,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
217,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
218,NULL,Water,Wetland,Water,Wetland,Wetland,Grassland,Grassland
219,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
220,NULL,Water,Wetland,Water,Wetland,Water,Grassland,Water
221,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
222,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
223,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
224,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
225,NULL,Water,Water,NULL,Water,Wetland,Wetland,Grassland
226,NULL,Water,Water,Water,Water,Wetland,Wetland,Grassland
227,NULL,Water,Water,Water,Water,Wetland,Water,Grassland
228,NULL,Water,Water,Water,Water,Water,Wetland,Grassland
229,NULL,Water,Water,Water,Water,Water,Wetland,Water
230,NULL,Water,Water,Water,Water,Water,Water,Grassland
231,NULL,Water,Water,Water,Water,Water,Water,Water
232,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
233,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
234,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
235,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
236,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
237,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
239,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
240,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
241,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
242,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
243,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
244,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
245,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
246,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
247,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
248,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
249,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
250,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
251,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
252,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
253,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
254,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
255,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
256,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
257,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
258,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
259,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
260,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,NULL
261,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
262,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
263,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
264,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
265,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
266,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
267,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
268,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
269,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
270,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
271,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
272,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
273,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
274,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
275,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
276,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
277,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
278,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
279,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
280,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
281,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
282,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
283,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
284,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
285,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
286,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
287,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
288,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
289,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
290,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
291,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
292,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
293,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
294,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
295,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
296,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
297,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
298,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
299,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
300,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
301,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
302,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
303,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
304,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
305,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
306,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
307,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
308,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
309,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
310,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
311,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
312,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
313,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
314,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
315,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
316,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
317,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
318,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
319,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
320,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
321,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
322,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
323,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
324,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
325,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
326,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
327,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
328,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
329,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
330,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
331,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
332,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
333,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
334,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
