Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTM_M_R
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
46,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
47,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
93,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
94,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,Grassland
95,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Grassland
96,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
99,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
100,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
101,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
103,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
104,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
105,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
107,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
108,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
109,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
110,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
111,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
112,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
113,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
114,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
115,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
116,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
117,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
118,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
119,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
120,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
121,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
122,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
123,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
124,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
125,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
126,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
127,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
128,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,NULL
129,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
130,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
131,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
132,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
133,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
134,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
135,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
136,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
137,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
138,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Bareland
139,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
140,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
141,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
142,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
143,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
144,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
145,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
146,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
147,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
148,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
149,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
150,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
151,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Forest,NULL
152,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Forest,Grassland
153,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Forest,Forest
154,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
155,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
156,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
157,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
158,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
159,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
160,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
161,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
162,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Forest,Grassland
163,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
164,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
165,NULL,NULL,Built-up,Water,Non_Wetland,Shrubland,Shrubland,Grassland
166,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Shrubland,Grassland
167,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
168,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
169,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
170,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
171,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
172,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
173,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
174,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
175,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
176,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
177,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
178,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
179,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
180,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
181,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
182,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
183,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
184,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
185,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
186,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
187,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
188,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
189,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
190,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
191,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
192,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
193,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
194,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
195,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
196,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
197,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
198,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
199,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
200,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
201,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
202,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
203,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
204,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
205,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
206,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
207,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
208,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
209,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
210,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
211,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
212,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
213,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
214,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
215,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
216,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
217,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
218,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
219,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Grassland,Grassland
220,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
221,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
222,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
223,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
224,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
225,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
226,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
227,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
229,NULL,Bareland,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
230,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
231,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
232,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
233,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
234,NULL,Water,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
235,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
236,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
237,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
239,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
240,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
241,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
242,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
243,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
244,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
245,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
246,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
247,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
248,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
249,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
250,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
251,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
252,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
253,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
254,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
255,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
256,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
257,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
258,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
259,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
260,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
261,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
262,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
263,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
264,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
265,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
266,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
267,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
268,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
269,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
270,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
271,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
272,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
273,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
274,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
275,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
276,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
277,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
278,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
279,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
280,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
281,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
282,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
283,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
284,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
285,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
286,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
287,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
288,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
289,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
290,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
291,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
292,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
293,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
294,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
295,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
296,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
297,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
298,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
299,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
300,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
301,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
302,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
303,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
304,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
305,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
306,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
307,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
308,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
309,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
310,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
311,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Bareland
312,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
313,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
314,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
315,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
316,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
317,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
318,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
319,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
320,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
321,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
322,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
323,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
324,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
