Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KLG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KLG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KLG_M_R
1114,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1115,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1116,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1117,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1118,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
1119,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
1120,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
1121,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Cropland
1122,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
1123,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
1124,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
1125,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
1126,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1127,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1128,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1129,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
1130,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1131,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
1132,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
1133,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
1134,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
1135,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
1136,Grassland,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
1137,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
1138,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1139,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1140,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
1141,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1142,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1143,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1144,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
1145,Grassland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
1146,Grassland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
1147,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1148,Grassland,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
1149,Grassland,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
1150,Grassland,Forest,Water,NULL,Water,NULL,NULL,NULL
1151,Grassland,Forest,Water,NULL,Water,NULL,NULL,Grassland
1152,Grassland,Forest,Water,NULL,Water,NULL,NULL,Water
1153,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
1154,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
1155,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Bareland
1156,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Water
1157,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
1158,Grassland,Forest,Water,Water,Water,NULL,NULL,Grassland
1159,Grassland,Forest,Water,Water,Water,NULL,NULL,Wetland
1160,Grassland,Forest,Water,Water,Water,NULL,NULL,Bareland
1161,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
1162,Grassland,Forest,Water,Water,Water,NULL,NULL,Forest
1163,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1164,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1165,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1166,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1167,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1168,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
1169,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1170,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
1171,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1172,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1173,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
1174,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
1175,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
1176,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1177,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1178,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1179,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
1180,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1181,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1182,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
1183,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1184,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1185,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
1186,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
1187,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
1188,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
1189,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1190,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
1191,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
1192,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
1193,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
1194,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
1195,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
1196,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1197,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1198,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1199,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
1200,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1201,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1202,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1203,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1204,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
1205,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1206,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1207,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1208,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1209,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
1210,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
1211,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1212,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
1213,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
1214,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
1215,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
1216,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
1217,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1218,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1219,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1220,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
1221,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1222,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
1223,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1224,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
1225,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1226,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1227,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1228,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
1229,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
1230,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
1231,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
1232,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
1233,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
1234,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
1235,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
1236,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
1237,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1238,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1239,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
1240,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1241,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1242,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
1243,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1244,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
1245,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1246,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1247,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1248,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1249,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
1250,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
1251,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
1252,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
1253,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
1254,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
1255,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
1256,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
1257,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
1258,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
1259,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
1260,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
1261,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
1262,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
1263,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
1264,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
1265,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1266,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
1267,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1268,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1269,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
1270,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1271,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
1272,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
1273,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
1274,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
1275,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
1276,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
1277,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
1278,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
1279,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
1280,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
1281,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1282,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
1283,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
1284,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
1285,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
1286,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
1287,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1288,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1289,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
1290,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
1291,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
1292,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
1293,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
1294,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
1295,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1296,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1297,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1298,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1299,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
1300,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1301,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
1302,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
1303,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
1304,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
1305,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
1306,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
1307,Cropland,NULL,Water,NULL,Water,NULL,NULL,NULL
1308,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
1309,Cropland,NULL,Water,NULL,Water,NULL,NULL,Cropland
1310,Cropland,NULL,Water,NULL,Water,NULL,NULL,Wetland
1311,Cropland,NULL,Water,NULL,Water,NULL,NULL,Bareland
1312,Cropland,NULL,Water,NULL,Water,NULL,NULL,Water
1313,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
1314,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
1315,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
1316,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
1317,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Water
1318,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
1319,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
1320,Cropland,NULL,Water,Water,Water,NULL,NULL,Cropland
1321,Cropland,NULL,Water,Water,Water,NULL,NULL,Wetland
1322,Cropland,NULL,Water,Water,Water,NULL,NULL,Bareland
1323,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
1324,Cropland,NULL,Water,Water,Water,NULL,NULL,Forest
1325,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1326,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1327,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1328,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1329,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1330,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1331,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
1332,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1333,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
1334,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1335,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
1336,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
1337,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
1338,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
1339,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1340,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
1341,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1342,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
1343,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
1344,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
1345,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
1346,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
1347,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1348,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1349,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1350,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
1351,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1352,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1353,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
1354,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1355,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
1356,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1357,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
1358,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
1359,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
1360,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
1361,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1362,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,NULL
1363,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
1364,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
1365,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
1366,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
1367,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
1368,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Forest
1369,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1370,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1371,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1372,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
1373,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1374,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1375,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
1376,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1377,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
1378,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1379,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1380,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1381,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
1382,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
1383,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
1384,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1385,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
1386,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
1387,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
1388,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
1389,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
1390,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1391,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1392,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1393,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
1394,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
1395,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
1396,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
1397,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1398,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
1399,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1400,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1401,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1402,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
1403,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
1404,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,NULL
1405,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
1406,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
1407,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
1408,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
1409,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
1410,Cropland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
1411,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
1412,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1413,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
1414,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
1415,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1416,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1417,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
1418,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1419,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
1420,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1421,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
1422,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1423,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
1424,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
1425,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
1426,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,NULL
1427,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
1428,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
1429,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
1430,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
1431,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
1432,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
1433,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
1434,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
1435,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
1436,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
1437,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
1438,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Built-up
1439,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
1440,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
1441,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
1442,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1443,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
1444,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1445,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1446,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
1447,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
