Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NBE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NBE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NBE_M_R
45,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
47,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
48,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
49,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
50,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
51,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
52,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
53,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
54,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
55,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
57,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
63,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
71,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
75,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
76,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
77,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
78,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
81,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
83,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
84,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
85,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
86,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
87,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
89,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
91,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
92,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
94,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
95,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
96,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
99,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
101,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
103,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
106,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
108,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
109,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
110,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
111,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
112,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
113,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
114,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
115,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
117,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
119,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
120,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
121,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
123,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
124,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
126,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
127,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
128,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
130,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
131,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
132,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
133,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
135,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
136,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
137,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
138,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
140,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
141,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
142,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
144,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
145,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
146,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
147,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
149,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
150,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
151,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
153,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
155,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
156,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
157,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
158,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
159,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
160,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
161,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
162,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
163,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
164,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
166,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
167,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
168,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Bareland
170,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
172,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
174,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
175,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
176,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
177,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
178,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
179,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
180,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
181,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
182,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
183,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
184,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
186,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
187,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
188,NULL,Water,Water,Water,Water,NULL,NULL,Forest
189,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
192,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
194,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
196,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
197,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
199,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
200,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
201,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
202,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
203,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
204,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
205,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
206,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
207,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
208,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
209,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
211,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
213,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
214,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
215,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
216,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
217,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
218,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
219,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
220,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
221,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
222,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
224,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
225,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
226,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
227,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
228,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
229,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
230,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
231,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
232,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
233,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
234,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
235,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
236,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
237,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
238,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
239,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
240,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
241,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
242,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
243,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
244,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
245,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
246,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
247,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
248,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
249,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
250,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
251,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
252,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
253,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
254,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
255,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
256,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
257,Grassland,NULL,Water,NULL,Water,NULL,NULL,Bareland
258,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
259,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
260,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
261,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
262,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
263,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
264,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
265,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
266,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
267,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
268,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
269,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
270,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
271,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
272,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
273,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
274,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
275,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
276,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
277,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
278,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
279,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
280,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
281,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
282,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
283,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
284,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
285,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
286,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
287,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
288,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
289,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
290,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
291,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
292,Grassland,Cropland,Water,Water,Water,NULL,NULL,Grassland
293,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
294,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
295,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
296,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
297,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
298,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
299,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
300,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
301,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
302,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
303,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
304,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
305,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
306,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
307,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
308,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
309,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
310,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
311,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
312,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
313,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
314,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Forest
315,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
316,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
317,Grassland,Wetland,Water,Water,Water,NULL,NULL,Grassland
318,Grassland,Wetland,Water,Water,Water,NULL,NULL,Forest
319,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
320,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
321,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
322,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
323,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
324,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
325,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
326,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
327,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
328,Grassland,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
329,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
330,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
331,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
332,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
333,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
334,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
335,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
336,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
337,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
338,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
