Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGU_M_R
46,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
47,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
48,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
49,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
50,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
51,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
52,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
53,NULL,NULL,Water,NULL,Water,Wetland,NULL,Grassland
54,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
55,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
56,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
57,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
58,NULL,NULL,Water,Water,Water,Water,Wetland,Forest
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
60,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
61,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
62,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
63,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
64,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Built-up
65,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
66,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
67,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
68,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
69,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
70,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
71,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
72,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Built-up
73,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
74,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
75,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
76,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Grassland
77,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Bareland,Grassland
79,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
80,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
81,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
82,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
83,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
84,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
85,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
86,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
87,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
88,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
89,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
90,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
91,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
92,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
93,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Water
94,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
95,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
96,NULL,Wetland,Water,NULL,Water,Water,Wetland,Water
97,NULL,Wetland,Water,NULL,Water,Water,Wetland,Forest
98,NULL,Wetland,Water,Water,Water,Water,Wetland,Forest
99,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
100,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
101,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
102,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
103,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
104,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
105,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Water,Forest
106,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
107,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
108,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
109,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
110,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
111,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
112,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
113,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
114,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
115,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
116,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Water,Forest
117,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
118,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,Forest
119,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
120,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
121,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
122,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
123,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
124,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
125,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
126,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
127,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
128,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
130,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
133,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
134,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
135,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
136,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
137,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
138,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
139,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
140,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
141,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
142,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Bareland,Forest
143,NULL,Built-up,Shrubland,Water,Non_Wetland,Water,Built-up,Grassland
144,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
145,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
146,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
147,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
148,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
149,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
150,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
151,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
152,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
153,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
154,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
155,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
156,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
157,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
158,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Built-up
159,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
160,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
161,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Built-up,Forest
162,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
163,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
164,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
165,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
166,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
167,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
168,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
169,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
170,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
171,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
172,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
173,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
174,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
175,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
176,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
177,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
178,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
179,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
180,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
181,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
182,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Bareland,Forest
183,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
184,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,Forest
185,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,Forest
186,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
187,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,Forest
188,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
189,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Forest
190,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Bareland,Grassland
191,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Bareland,Forest
192,NULL,Built-up,Wetland,NULL,Wetland,Forest,Grassland,Forest
193,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
194,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
195,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
196,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
197,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Bareland,Forest
198,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Built-up,Forest
199,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Water,Water
200,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
201,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
202,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
203,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Bareland,Forest
204,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
205,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
206,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
207,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
208,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
209,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
210,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
211,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
212,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
213,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
214,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
215,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Forest
216,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
217,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
218,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
219,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
220,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
221,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
222,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Forest,Forest
223,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
224,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
225,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
226,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
227,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
228,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
229,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
230,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
231,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
232,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
233,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
234,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
235,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
236,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
237,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
238,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
239,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
240,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
241,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
242,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
243,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
244,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
245,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Water
246,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
247,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Water,Forest
248,NULL,Built-up,Water,NULL,Water,Grassland,Bareland,Forest
249,NULL,Built-up,Water,NULL,Water,Wetland,Wetland,Forest
250,NULL,Built-up,Water,NULL,Water,Wetland,Bareland,Grassland
251,NULL,Built-up,Water,NULL,Water,Wetland,Water,Forest
252,NULL,Built-up,Water,NULL,Water,Bareland,Water,Water
253,NULL,Built-up,Water,NULL,Water,Built-up,Bareland,Forest
254,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Grassland
255,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Bareland
256,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Forest
257,NULL,Built-up,Water,NULL,Water,Built-up,Water,Grassland
258,NULL,Built-up,Water,NULL,Water,Built-up,Water,Water
259,NULL,Built-up,Water,NULL,Water,Built-up,Water,Forest
260,NULL,Built-up,Water,NULL,Water,Water,Water,Water
261,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
262,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
264,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
265,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
266,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
267,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
268,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
269,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
270,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Built-up
271,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
272,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
273,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Forest
274,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
275,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
276,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
277,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
278,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
279,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
280,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
281,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Grassland
282,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Forest
283,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
284,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,Forest
285,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
286,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
287,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
288,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
289,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
290,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
291,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
292,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
293,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
294,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Built-up
295,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
296,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
297,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Water,Forest
298,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
299,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Built-up
300,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
301,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
302,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
303,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Built-up
304,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
305,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
306,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
307,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
308,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Built-up,Forest
309,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
310,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
311,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
312,NULL,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
313,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
314,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
315,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
316,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
317,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
318,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
319,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
320,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
321,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
322,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Grassland
323,NULL,Water,Water,Water,Water,Water,Water,Water
324,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
325,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
326,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
327,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
328,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
329,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
330,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
