Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTG_M_R
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
58,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
63,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
67,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
68,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
69,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
70,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
71,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
72,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
73,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
75,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
76,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
79,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
80,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
83,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
84,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
85,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
86,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
87,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
88,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
89,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
90,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
91,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
92,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
93,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
94,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
95,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
96,NULL,NULL,Water,Water,Water,NULL,NULL,Water
97,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
104,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
106,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
111,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
112,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
115,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
117,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
118,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
119,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
120,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
121,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
122,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
123,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
124,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
130,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
131,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
133,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
134,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
135,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
136,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
137,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
138,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
139,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
140,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
141,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
143,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
145,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
146,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
148,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
149,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
151,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
152,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
153,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
154,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
156,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
157,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
158,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
159,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
161,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
162,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
163,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
164,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
165,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
166,NULL,Cropland,Water,Water,Water,NULL,NULL,Bareland
167,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
168,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
169,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
171,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
172,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
173,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
176,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
177,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
178,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
179,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
182,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
185,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
186,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
187,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
188,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
189,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Water
190,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Forest
191,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
192,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
195,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
196,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
199,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
200,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
201,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
202,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
204,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
205,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
206,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
207,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
208,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
209,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
210,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
211,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
212,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
213,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
214,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
216,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
217,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
219,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
220,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
222,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
223,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
224,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
225,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
226,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
227,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Water
228,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
229,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
230,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
231,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
232,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
233,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
234,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
235,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
236,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
237,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
238,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
239,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
240,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
241,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
242,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
243,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
244,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
245,NULL,Wetland,Water,NULL,Water,NULL,NULL,Bareland
246,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
247,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
248,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
249,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
250,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
251,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
252,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
253,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
254,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
255,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
256,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
257,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
258,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
259,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
260,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
262,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
263,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
264,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
265,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
267,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
268,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
269,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
270,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
271,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
272,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
273,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
274,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
275,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
276,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
278,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
279,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Forest
280,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
281,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
282,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
283,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
284,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
285,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
286,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
287,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
288,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
289,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
290,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
291,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
292,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
293,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
295,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
296,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
297,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
298,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
299,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
300,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
301,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
302,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
303,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
304,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
305,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
306,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
307,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
308,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
309,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
310,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
311,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
312,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
313,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
314,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
315,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
316,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
317,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
318,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
319,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
320,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
321,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
323,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
324,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
325,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
326,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
327,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Water
328,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
329,NULL,Bareland,Water,Water,Water,NULL,NULL,Wetland
330,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
331,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
332,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
333,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
334,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
335,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
336,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
337,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
338,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
339,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
340,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
341,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
342,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
